"","team","score","seed"
"1","Ohio State","75",1
"2","UTSA","46",16
"3","George Mason","61",8
"4","Villanova","57",9
"5","West Virginia","84",5
"6","Clemson","76",12
"7","Kentucky","59",4
"8","Princeton","57",13
"9","Xavier","55",6
"10","Marquette","66",11
"11","Syracuse","77",3
"12","Indiana State","60",14
"13","Washington","68",7
"14","Georgia","65",10
"15","UNC","102",2
"16","LIU-Brooklyn","87",15
"17","Pitt","74",1
"18","North Carolina-Asheville","51",16
"19","Butler","60",8
"20","Old Dominion","58",9
"21","Kansas State","73",5
"22","Utah State","68",12
"23","Wisconsin","72",4
"24","Belmont","58",13
"25","St. John's (NY)","71",6
"26","Gonzaga","86",11
"27","BYU","74",3
"28","Wofford","66",14
"29","UCLA","78",7
"30","Michigan State","76",10
"31","Florida","79",2
"32","UCSB","51",15
"33","Kansas","72",1
"34","Boston University","53",16
"35","UNLV","62",8
"36","Illinois","73",9
"37","Vanderbilt","66",5
"38","Richmond","69",12
"39","Louisville","61",4
"40","Morehead State","62",13
"41","Georgetown","56",6
"42","VCU","74",11
"43","Purdue","65",3
"44","St. Peter's","43",14
"45","Texas A&M","50",7
"46","Florida State","57",10
"47","Notre Dame","69",2
"48","Akron","56",15
"49","Duke","87",1
"50","Hampton","45",16
"51","Michigan","75",8
"52","Tennessee","45",9
"53","Arizona","77",5
"54","Memphis","75",12
"55","Texas","85",4
"56","Oakland","81",13
"57","Cincinnati","78",6
"58","Missouri","63",11
"59","UConn","81",3
"60","Bucknell","52",14
"61","Temple","66",7
"62","Penn State","64",10
"63","San Diego State","68",2
"64","Northern Colorado","50",15
