"","team","score","seed"
"1","Indiana","83",1
"2","James Madison","62",16
"3","North Carolina State","72",8
"4","Temple","76",9
"5","UNLV","61",5
"6","University of California","64",12
"7","Syracuse","81",4
"8","Montana","34",13
"9","Butler","68",6
"10","Bucknell","56",11
"11","Marquette","59",3
"12","Davidson","58",14
"13","Illinois","57",7
"14","Colorado","49",10
"15","Miami (FL)","78",2
"16","Pacific","49",15
"17","Louisville","79",1
"18","North Carolina A&T","48",16
"19","Colorado State","84",8
"20","Missouri","72",9
"21","Oklahoma State","55",5
"22","Oregon","68",12
"23","Saint Louis","64",4
"24","New Mexico State","44",13
"25","Memphis","54",6
"26","Saint Mary's (CA)","52",11
"27","Michigan State","65",3
"28","Valparaiso","54",14
"29","Creighton","67",7
"30","Cincinnati","63",10
"31","Duke","73",2
"32","Albany (NY)","61",15
"33","Kansas","64",1
"34","Western Kentucky","57",16
"35","UNC","78",8
"36","Villanova","71",9
"37","VCU","88",5
"38","Akron","42",12
"39","Michigan","71",4
"40","South Dakota State","56",13
"41","UCLA","63",6
"42","Minnesota","83",11
"43","Florida","79",3
"44","Northwestern State","47",14
"45","San Diego State","70",7
"46","Oklahoma","55",10
"47","Georgetown","68",2
"48","Florida Gulf Coast","78",15
"49","Gonzaga","64",1
"50","Southern","58",16
"51","Pitt","55",8
"52","Wichita State","73",9
"53","Wisconsin","46",5
"54","Ole Miss","57",12
"55","Kansas State","61",4
"56","La Salle","63",13
"57","Arizona","81",6
"58","Belmont","64",11
"59","New Mexico","62",3
"60","Harvard","68",14
"61","Notre Dame","58",7
"62","Iowa State","76",10
"63","Ohio State","95",2
"64","Iona","70",15
