"","team","score","seed"
"1","Maryland","85",1
"2","Siena","70",16
"3","Wisconsin","80",8
"4","St. John's (NY)","70",9
"5","Marquette","69",5
"6","Tulsa","71",12
"7","Kentucky","83",4
"8","Valparaiso","68",13
"9","Texas Tech","68",6
"10","Southern Illinois","76",11
"11","Georgia","85",3
"12","Murray State","68",14
"13","North Carolina State","69",7
"14","Michigan State","58",10
"15","UConn","78",2
"16","Hampton","67",15
"17","Kansas","70",1
"18","Holy Cross","59",16
"19","Stanford","84",8
"20","Western Kentucky","68",9
"21","Florida","82",5
"22","Creighton","83",12
"23","Illinois","93",4
"24","San Diego State","64",13
"25","Texas","70",6
"26","Boston College","57",11
"27","Mississippi State","70",3
"28","McNeese State","58",14
"29","Wake Forest","83",7
"30","Pepperdine","74",10
"31","Oregon","81",2
"32","Montana","62",15
"33","Duke","84",1
"34","Winthrop","37",16
"35","Notre Dame","82",8
"36","Charlotte","63",9
"37","Indiana","75",5
"38","Utah","56",12
"39","USC","89",4
"40","North Carolina-Wilmington","93",13
"41","University of California","82",6
"42","Penn","75",11
"43","Pitt","71",3
"44","Central Connecticut","54",14
"45","Oklahoma State","61",7
"46","Kent State","69",10
"47","Alabama","86",2
"48","Florida Atlantic","78",15
"49","Cincinnati","90",1
"50","Boston University","52",16
"51","UCLA","80",8
"52","Ole Miss","58",9
"53","Miami (FL)","80",5
"54","Missouri","93",12
"55","Ohio State","69",4
"56","Davidson","64",13
"57","Gonzaga","66",6
"58","Wyoming","73",11
"59","Arizona","86",3
"60","UCSB","81",14
"61","Xavier","70",7
"62","Hawaii","58",10
"63","Oklahoma","71",2
"64","UIC","63",15
