"","team","score","seed"
"1","Duke","73",1
"2","Arkansas-Pine Bluff","44",16
"3","University of California","77",8
"4","Louisville","62",9
"5","Texas A&M","69",5
"6","Utah State","53",12
"7","Purdue","72",4
"8","Siena","64",13
"9","Notre Dame","50",6
"10","Old Dominion","51",11
"11","Baylor","68",3
"12","Sam Houston State","59",14
"13","Richmond","71",7
"14","Saint Mary's (CA)","80",10
"15","Villanova","73",2
"16","Robert Morris","70",15
"17","Kentucky","100",1
"18","ETSU","71",16
"19","Texas","80",8
"20","Wake Forest","81",9
"21","Temple","65",5
"22","Cornell","78",12
"23","Wisconsin","53",4
"24","Wofford","49",13
"25","Marquette","78",6
"26","Washington","80",11
"27","New Mexico","62",3
"28","Montana","57",14
"29","Clemson","78",7
"30","Missouri","86",10
"31","West Virginia","77",2
"32","Morgan State","50",15
"33","Kansas","90",1
"34","Lehigh","74",16
"35","UNLV","66",8
"36","Northern Iowa","69",9
"37","Michigan State","70",5
"38","New Mexico State","67",12
"39","Maryland","89",4
"40","Houston","77",13
"41","Tennessee","62",6
"42","San Diego State","59",11
"43","Georgetown","83",3
"44","Ohio","97",14
"45","Oklahoma State","59",7
"46","Georgia Tech","64",10
"47","Ohio State","68",2
"48","UCSB","51",15
"49","Syracuse","79",1
"50","Vermont","56",16
"51","Gonzaga","67",8
"52","Florida State","60",9
"53","Butler","77",5
"54","UTEP","59",12
"55","Vanderbilt","65",4
"56","Murray State","66",13
"57","Xavier","65",6
"58","Minnesota","54",11
"59","Pitt","89",3
"60","Oakland","66",14
"61","BYU","99",7
"62","Florida","92",10
"63","Kansas State","82",2
"64","North Texas","62",15
