"","team","score","seed"
"1","Kansas","107",1
"2","Niagara","67",16
"3","Kentucky","67",8
"4","Villanova","58",9
"5","Virginia Tech","54",5
"6","Illinois","52",12
"7","Southern Illinois","61",4
"8","Holy Cross","51",13
"9","Duke","77",6
"10","VCU","79",11
"11","Pitt","79",3
"12","Wright State","58",14
"13","Indiana","70",7
"14","Gonzaga","57",10
"15","UCLA","70",2
"16","Weber State","42",15
"17","UNC","86",1
"18","Eastern Kentucky","65",16
"19","Marquette","49",8
"20","Michigan State","61",9
"21","USC","77",5
"22","Arkansas","60",12
"23","Texas","79",4
"24","New Mexico State","67",13
"25","Vanderbilt","77",6
"26","George Washington","44",11
"27","Washington State","70",3
"28","Oral Roberts","54",14
"29","Boston College","84",7
"30","Texas Tech","75",10
"31","Georgetown","80",2
"32","Belmont","55",15
"33","Florida","112",1
"34","Jackson State","69",16
"35","Arizona","63",8
"36","Purdue","72",9
"37","Butler","57",5
"38","Old Dominion","46",12
"39","Maryland","82",4
"40","Davidson","70",13
"41","Notre Dame","64",6
"42","Winthrop","74",11
"43","Oregon","58",3
"44","Miami (OH)","56",14
"45","UNLV","67",7
"46","Georgia Tech","63",10
"47","Wisconsin","76",2
"48","Texas A&M-Corpus Christi","63",15
"49","Ohio State","78",1
"50","Central Connecticut","57",16
"51","BYU","77",8
"52","Xavier","79",9
"53","Tennessee","121",5
"54","Long Beach State","86",12
"55","Virginia","84",4
"56","Albany (NY)","57",13
"57","Louisville","78",6
"58","Stanford","58",11
"59","Texas A&M","68",3
"60","Penn","52",14
"61","Nevada","77",7
"62","Creighton","71",10
"63","Memphis","73",2
"64","North Texas","58",15
