"","team","score","seed"
"1","Syracuse","72",1
"2","North Carolina-Asheville","65",16
"3","Kansas State","70",8
"4","Southern Miss","64",9
"5","Vanderbilt","79",5
"6","Harvard","70",12
"7","Wisconsin","73",4
"8","Montana","49",13
"9","Cincinnati","65",6
"10","Texas","59",11
"11","Florida State","66",3
"12","St. Bonaventure","63",14
"13","Gonzaga","77",7
"14","West Virginia","54",10
"15","Ohio State","78",2
"16","Loyola (MD)","59",15
"17","UNC","77",1
"18","Vermont","58",16
"19","Creighton","58",8
"20","Alabama","57",9
"21","Temple","44",5
"22","South Florida","58",12
"23","Michigan","60",4
"24","Ohio","65",13
"25","San Diego State","65",6
"26","North Carolina State","79",11
"27","Georgetown","74",3
"28","Belmont","59",14
"29","Saint Mary's (CA)","69",7
"30","Purdue","72",10
"31","Kansas","65",2
"32","Detroit","50",15
"33","Kentucky","81",1
"34","Western Kentucky","66",16
"35","Iowa State","77",8
"36","UConn","64",9
"37","Wichita State","59",5
"38","VCU","62",12
"39","Indiana","79",4
"40","New Mexico State","66",13
"41","UNLV","64",6
"42","Colorado","68",11
"43","Baylor","68",3
"44","South Dakota State","60",14
"45","Notre Dame","63",7
"46","Xavier","67",10
"47","Duke","70",2
"48","Lehigh","75",15
"49","Michigan State","89",1
"50","LIU-Brooklyn","67",16
"51","Memphis","54",8
"52","Saint Louis","61",9
"53","New Mexico","75",5
"54","Long Beach State","68",12
"55","Louisville","69",4
"56","Davidson","62",13
"57","Murray State","58",6
"58","Colorado State","41",11
"59","Marquette","88",3
"60","BYU","68",14
"61","Florida","71",7
"62","Virginia","45",10
"63","Missouri","84",2
"64","Norfolk State","86",15
