"","team","score","seed"
"1","Kentucky","96",1
"2","Florida A&M","76",16
"3","Washington","100",8
"4","Alabama-Birmingham","102",9
"5","Providence","58",5
"6","Pacific","66",12
"7","Kansas","78",4
"8","UIC","53",13
"9","Boston College","58",6
"10","Utah","51",11
"11","Georgia Tech","65",3
"12","Northern Iowa","60",14
"13","Michigan State","66",7
"14","Nevada","72",10
"15","Gonzaga","76",2
"16","Valparaiso","49",15
"17","Duke","96",1
"18","Alabama State","61",16
"19","Seton Hall","80",8
"20","Arizona","76",9
"21","Illinois","72",5
"22","Murray State","53",12
"23","Cincinnati","80",4
"24","ETSU","77",13
"25","UNC","63",6
"26","Air Force","52",11
"27","Texas","66",3
"28","Princeton","49",14
"29","Xavier","80",7
"30","Louisville","70",10
"31","Mississippi State","85",2
"32","Monmouth","52",15
"33","St. Joseph's","82",1
"34","Liberty","63",16
"35","Texas Tech","76",8
"36","Charlotte","73",9
"37","Florida","60",5
"38","Manhattan","75",12
"39","Wake Forest","79",4
"40","VCU","78",13
"41","Wisconsin","76",6
"42","Richmond","64",11
"43","Pitt","53",3
"44","UCF","44",14
"45","Memphis","59",7
"46","South Carolina","43",10
"47","Oklahoma State","75",2
"48","Eastern Washington","56",15
"49","Stanford","71",1
"50","UTSA","45",16
"51","Alabama","65",8
"52","Southern Illinois","64",9
"53","Syracuse","80",5
"54","BYU","75",12
"55","Maryland","86",4
"56","UTEP","83",13
"57","Vanderbilt","71",6
"58","Western Michigan","58",11
"59","North Carolina State","61",3
"60","Louisiana-Lafayette","52",14
"61","DePaul","76",7
"62","Dayton","69",10
"63","UConn","70",2
"64","Vermont","53",15
