"","team","score","seed"
"1","UNC","96",1
"2","Oakland","68",16
"3","Minnesota","53",8
"4","Iowa State","64",9
"5","Villanova","55",5
"6","New Mexico","47",12
"7","Florida","67",4
"8","Ohio","62",13
"9","Wisconsin","57",6
"10","Northern Iowa","52",11
"11","Kansas","63",3
"12","Bucknell","64",14
"13","Charlotte","63",7
"14","North Carolina State","75",10
"15","UConn","77",2
"16","UCF","71",15
"17","Washington","88",1
"18","Montana","77",16
"19","Pacific","79",8
"20","Pitt","71",9
"21","Georgia Tech","80",5
"22","George Washington","68",12
"23","Louisville","68",4
"24","Louisiana-Lafayette","62",13
"25","Texas Tech","78",6
"26","UCLA","66",11
"27","Gonzaga","74",3
"28","Winthrop","64",14
"29","West Virginia","63",7
"30","Creighton","61",10
"31","Wake Forest","70",2
"32","Chattanooga","54",15
"33","Duke","57",1
"34","Delaware State","46",16
"35","Stanford","70",8
"36","Mississippi State","93",9
"37","Michigan State","89",5
"38","Old Dominion","81",12
"39","Syracuse","57",4
"40","Vermont","60",13
"41","Utah","60",6
"42","UTEP","54",11
"43","Oklahoma","84",3
"44","Niagara","67",14
"45","Cincinnati","76",7
"46","Iowa","64",10
"47","Kentucky","72",2
"48","Eastern Kentucky","64",15
"49","Illinois","67",1
"50","Fairleigh Dickinson","55",16
"51","Texas","57",8
"52","Nevada","61",9
"53","Alabama","73",5
"54","Milwaukee","83",12
"55","Boston College","85",4
"56","Penn","65",13
"57","LSU","68",6
"58","Alabama-Birmingham","82",11
"59","Arizona","66",3
"60","Utah State","53",14
"61","Southern Illinois","65",7
"62","Saint Mary's (CA)","56",10
"63","Oklahoma State","63",2
"64","Southeastern Louisiana","50",15
