"","team","score","seed"
"1","Villanova","58",1
"2","Monmouth","45",16
"3","Arizona","94",8
"4","Wisconsin","75",9
"5","Nevada","79",5
"6","Montana","87",12
"7","Boston College","88",4
"8","Pacific","76",13
"9","Oklahoma","74",6
"10","Milwaukee","82",11
"11","Florida","76",3
"12","South Alabama","50",14
"13","Georgetown","54",7
"14","Northern Iowa","49",10
"15","Ohio State","70",2
"16","Davidson","62",15
"17","Duke","70",1
"18","Southern","54",16
"19","George Washington","88",8
"20","North Carolina-Wilmington","85",9
"21","Syracuse","58",5
"22","Texas A&M","66",12
"23","LSU","80",4
"24","Iona","64",13
"25","West Virginia","64",6
"26","Southern Illinois","46",11
"27","Iowa","63",3
"28","Northwestern State","64",14
"29","University of California","52",7
"30","North Carolina State","58",10
"31","Texas","60",2
"32","Penn","52",15
"33","Memphis","94",1
"34","Oral Roberts","78",16
"35","Arkansas","55",8
"36","Bucknell","59",9
"37","Pitt","79",5
"38","Kent State","64",12
"39","Kansas","73",4
"40","Bradley","77",13
"41","Indiana","87",6
"42","San Diego State","83",11
"43","Gonzaga","79",3
"44","Xavier","75",14
"45","Marquette","85",7
"46","Alabama","90",10
"47","UCLA","78",2
"48","Belmont","44",15
"49","UConn","72",1
"50","Albany (NY)","59",16
"51","Kentucky","69",8
"52","Alabama-Birmingham","64",9
"53","Washington","75",5
"54","Utah State","61",12
"55","Illinois","78",4
"56","Air Force","69",13
"57","Michigan State","65",6
"58","George Mason","75",11
"59","UNC","69",3
"60","Murray State","65",14
"61","Wichita State","86",7
"62","Seton Hall","66",10
"63","Tennessee","63",2
"64","Winthrop","61",15
