"","team","score","seed"
"1","Louisville","74",1
"2","Morehead State","54",16
"3","Ohio State","72",8
"4","Siena","74",9
"5","Utah","71",5
"6","Arizona","84",12
"7","Wake Forest","69",4
"8","Cleveland State","84",13
"9","West Virginia","60",6
"10","Dayton","68",11
"11","Kansas","84",3
"12","North Dakota State","74",14
"13","Boston College","55",7
"14","USC","72",10
"15","Michigan State","77",2
"16","Robert Morris","62",15
"17","Pitt","72",1
"18","ETSU","62",16
"19","Oklahoma State","77",8
"20","Tennessee","75",9
"21","Florida State","59",5
"22","Wisconsin","61",12
"23","Xavier","77",4
"24","Portland State","59",13
"25","UCLA","65",6
"26","VCU","64",11
"27","Villanova","80",3
"28","American","67",14
"29","Texas","76",7
"30","Minnesota","62",10
"31","Duke","86",2
"32","Binghamton","62",15
"33","UNC","101",1
"34","Radford","58",16
"35","LSU","75",8
"36","Butler","71",9
"37","Illinois","72",5
"38","Western Kentucky","76",12
"39","Gonzaga","77",4
"40","Akron","64",13
"41","Arizona State","66",6
"42","Temple","57",11
"43","Syracuse","59",3
"44","Stephen F. Austin","44",14
"45","Clemson","59",7
"46","Michigan","62",10
"47","Oklahoma","82",2
"48","Morgan State","54",15
"49","UConn","103",1
"50","Chattanooga","47",16
"51","BYU","66",8
"52","Texas A&M","79",9
"53","Purdue","61",5
"54","Northern Iowa","56",12
"55","Washington","71",4
"56","Mississippi State","58",13
"57","Marquette","58",6
"58","Utah State","57",11
"59","Missouri","78",3
"60","Cornell","59",14
"61","University of California","71",7
"62","Maryland","84",10
"63","Memphis","81",2
"64","Cal State Northridge","70",15
