"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"182","TCU",-0.83,101.7,102.5,66.4,-0.003
"183","Valparaiso",-0.9,106.5,107.4,70.3,0.014
"184","Portland St.",-0.97,108.5,109.4,70.2,-0.074
"185","Lehigh",-0.99,101.6,102.6,71.9,0.018
"186","Quinnipiac",-1.02,100,101,70.9,-0.022
"187","Robert Morris",-1.08,96.1,97.2,69.5,0.075
"188","Stony Brook",-1.11,98.4,99.5,68.5,0.052
"189","Davidson",-1.19,99.6,100.8,68.8,0.01
"190","Eastern Michigan",-1.21,96.5,97.7,68.2,-0.009
"191","LSU",-1.36,95.8,97.2,64.9,-0.006
"192","Rider",-1.4,99.8,101.2,70.3,0.074
"193","Denver",-1.41,102.9,104.3,61.6,0.018
"194","Indiana",-1.55,97.7,99.3,70.1,-0.047
"195","Montana St.",-1.71,99.3,101.1,66.6,0.017
"196","Central Michigan",-1.78,97.6,99.4,66.8,-0.017
"197","The Citadel",-1.89,96.5,98.4,62,-0.021
"198","UTSA",-2.14,100.1,102.3,66.1,0.033
"199","Manhattan",-2.25,95.6,97.9,69.5,-0.11
"200","Bowling Green",-2.84,97.4,100.3,66.4,0.052
"201","Arkansas St.",-2.84,95,97.8,69.6,0.002
"202","Canisius",-2.86,96.6,99.4,68.4,-0.003
"203","Southeastern Louisiana",-2.95,97.9,100.8,69.3,-0.007
"204","San Francisco",-3.07,97.3,100.4,69,0.007
"205","Mercer",-3.23,103.9,107.1,71.6,-0.014
"206","Florida Atlantic",-3.24,99.8,103.1,70.7,-0.039
"207","Austin Peay",-3.46,100.2,103.6,69,0.081
"208","Georgia St.",-3.55,96,99.6,64.7,-0.058
"209","San Diego",-3.6,94.7,98.3,65.1,-0.046
"210","Cal St. Fullerton",-3.77,99.1,102.9,70.4,0.039
"211","Eastern Illinois",-3.88,96.2,100.1,66.3,0.092
"212","Maine",-3.98,90.9,94.9,67.2,0.123
"213","Loyola MD",-3.98,95.5,99.5,68.6,-0.032
"214","UNC Wilmington",-4.02,94.9,98.9,70.6,-0.059
"215","James Madison",-4.11,97.6,101.7,69.7,-0.001
"216","Louisiana Lafayette",-4.13,96.2,100.3,68.3,-0.066
"217","Loyola Chicago",-4.25,98.1,102.3,66.1,0.059
"218","Radford",-4.83,91.8,96.6,71,0.067
"219","South Dakota St.",-4.96,102,107,69.9,-0.049
"220","Evansville",-5.26,94.5,99.8,68.1,-0.055
"221","Northern Arizona",-5.33,95.4,100.7,68.7,0.087
"222","Ball St.",-5.36,91,96.4,65.3,0.052
"223","Cal St. Northridge",-5.4,94.3,99.7,74,-0.018
"224","Tulane",-5.46,91.5,97,68.2,-0.071
"225","Winthrop",-5.61,87.4,93,66.9,0.05
