"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kentucky",36.9,119.4,82.5,63,0.048
"2","Wisconsin",33.7,127,93.3,59.4,0.015
"3","Duke",32.46,122.5,90,66.1,0.068
"4","Arizona",32.4,117.9,85.5,66,-0.032
"5","Villanova",30.65,120.6,89.9,64.9,0.031
"6","Virginia",30.08,113.6,83.5,58.9,0.023
"7","Gonzaga",27.76,119.7,92,65.4,0.019
"8","Utah",27.26,114.5,87.2,61.8,-0.053
"9","Notre Dame",24.95,123.4,98.5,63.9,0.062
"10","North Carolina",23.85,117.1,93.2,69.2,-0.026
"11","Oklahoma",22.76,110.4,87.7,67,-0.044
"12","Kansas",22.7,112.5,89.8,67.2,0.071
"13","Wichita St.",22.16,113.7,91.6,62.8,0.022
"14","Baylor",22.11,114.5,92.4,62.3,-0.035
"15","Michigan St.",21.7,114.5,92.8,63.2,-0.017
"16","Iowa St.",21.45,116.9,95.5,69.9,0.006
"17","Louisville",21.22,108.2,86.9,65.1,0.027
"18","Northern Iowa",20.91,114.1,93.2,58.5,0.018
"19","Ohio St.",20.77,113.6,92.8,65.6,-0.042
"20","Butler",20.09,108.1,88,63.9,-0.022
"21","Xavier",19.48,114.6,95.1,65.4,-0.062
"22","Georgetown",19.1,112.1,93,64.5,0
"23","Iowa",19.02,112,93,64.2,-0.007
"24","Texas",18.9,110.3,91.4,62.6,-0.079
"25","West Virginia",17.62,110.5,92.8,68.4,0.087
"26","SMU",17.5,111,93.5,63.4,-0.004
"27","Providence",16.72,110.5,93.8,65.8,0.039
"28","BYU",16.67,117.2,100.5,70.6,-0.055
"29","Arkansas",16.42,112.7,96.2,69.7,0.045
"30","VCU",16.27,109,92.8,66.6,0.044
"31","San Diego St.",15.93,102.8,86.9,61.1,0.026
"32","North Carolina St.",15.93,112.8,96.8,64.5,-0.003
"33","Maryland",15.72,109.3,93.5,64.5,0.128
"34","Florida",15.38,105.2,89.8,63.2,-0.117
"35","Georgia",15.09,107.4,92.3,64.7,0.001
"36","Vanderbilt",14.98,113.6,98.6,63.5,-0.11
"37","Davidson",14.97,117.6,102.7,67.1,0.056
"38","Oklahoma St.",14.89,109.6,94.7,63.9,-0.045
"39","Stanford",14.77,111.6,96.9,65.7,0.006
"40","UCLA",14.68,110.8,96.1,66.6,0.032
"41","Miami FL",14.51,110.5,96,62.9,0.022
"42","Dayton",14.23,107.2,93,64.3,0.022
"43","Cincinnati",14.14,106,91.9,60,-0.015
"44","Purdue",13.96,108.8,94.9,64.9,-0.006
"45","Oregon",13.91,113.1,99.2,67.1,0.119
"46","Mississippi",13.88,112.5,98.6,66.9,-0.032
"47","Boise St.",13.82,109.7,95.9,63.1,0.009
"48","Indiana",13.81,117.7,103.9,66.8,-0.043
"49","LSU",13.77,106.7,93,69.4,-0.043
