"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Louisville",32.9,116,83.1,66.8,-0.016
"2","Florida",31.18,115.5,84.3,63.4,-0.089
"3","Indiana",29.28,119,89.8,67.1,-0.021
"4","Michigan",27.8,120.2,92.4,65.1,-0.006
"5","Gonzaga",27.79,118.6,90.9,64.5,0.026
"6","Duke",26.95,117.3,90.4,68.2,0.033
"7","Ohio St.",25.4,113.4,88,64.6,0.02
"8","Kansas",25.17,110.9,85.7,67.7,0.01
"9","Syracuse",24.78,111.4,86.7,64.4,-0.003
"10","Michigan St.",24.14,110.8,86.7,64.5,0.001
"11","Pittsburgh",24.13,113.8,89.7,61,-0.058
"12","Wisconsin",22.51,106.4,83.9,61.9,-0.033
"13","Miami FL",22.36,111.9,89.5,63.8,0.029
"14","Arizona",21.86,113.5,91.7,66.7,-0.011
"15","Creighton",21.7,116.4,94.7,65.2,-0.009
"16","Georgetown",21.2,105.8,84.6,62.5,0.039
"17","Wichita St.",20.27,110,89.8,65.3,-0.002
"18","VCU",20.23,112.2,91.9,67.8,0.002
"19","Saint Louis",19.99,106.8,86.8,65.2,0
"20","Minnesota",19.82,112.9,93.1,63.6,-0.036
"21","Saint Mary's",19.31,114.3,95,64.2,0.024
"22","Colorado St.",19.1,116.2,97.1,64.9,0.02
"23","New Mexico",19,108,89,65.1,0.074
"24","Oklahoma St.",18.66,107.2,88.5,67.4,-0.016
"25","Missouri",18.54,113.2,94.6,68.2,-0.032
"26","Marquette",18.29,111.5,93.2,63.9,0.09
"27","Kansas St.",18.13,111.7,93.6,63,0.051
"28","Baylor",17.84,112.5,94.6,68.1,-0.09
"29","Iowa",17.77,108,90.2,67,-0.029
"30","Iowa St.",17.58,115.7,98.1,69.8,-0.046
"31","San Diego St.",17.4,105.9,88.5,66.8,-0.049
"32","North Carolina",17.13,110.4,93.3,70.9,0.038
"33","Mississippi",16.95,110.5,93.6,70.1,-0.011
"34","North Carolina St.",16.95,115,98,68.4,-0.031
"35","Oregon",16.75,104.9,88.1,68.9,0.053
"36","Notre Dame",16.62,112.7,96.1,62.2,0.046
"37","Memphis",16.29,105.6,89.3,69.6,0.057
"38","UNLV",16.04,104.2,88.2,69.1,-0.015
"39","Illinois",15.78,108.7,92.9,65.7,0.042
"40","Cincinnati",15.6,104.1,88.5,63.9,-0.012
"41","Virginia",15.46,105.6,90.2,61.2,-0.066
"42","Butler",15.38,108.7,93.4,65,0.088
"43","Belmont",14.92,109.7,94.8,67.5,0.013
"44","Middle Tennessee",14.72,105.3,90.6,65.1,0.052
"45","Colorado",14.57,104.7,90.1,65.2,0.03
"46","UCLA",14.49,109.2,94.7,69.4,0.068
"47","Denver",14.31,108.1,93.8,59.5,-0.044
"48","Stanford",14.14,108,93.8,68,-0.075
"49","Connecticut",14.04,108,94,65.1,0.012
"50","La Salle",13.83,110,96.2,66.2,0.052
"51","Oklahoma",13.77,109.3,95.5,66.6,0.004
"52","Maryland",13.6,105.3,91.7,67.5,-0.032
"53","Villanova",13.57,104.4,90.8,67.5,0.011
"54","Boise St.",13.51,111.3,97.8,66.3,0.005
"55","Kentucky",13.22,109.5,96.3,66.2,-0.005
"56","California",13.06,105.4,92.3,66.4,0.041
"57","BYU",13.05,108.4,95.3,70.8,-0.015
"58","Bucknell",12.71,105.4,92.7,63.3,-0.014
"59","Temple",12.67,109.5,96.8,67.6,0.038
"60","Stony Brook",12.29,104.8,92.5,64.4,-0.034
"61","Southern Miss",12.2,108.6,96.4,65.3,0.027
"62","Akron",11.53,104.9,93.4,66.8,0.085
"63","Alabama",11.46,101.9,90.4,62.1,0.001
"64","Illinois St.",11.46,107.7,96.3,69.8,-0.093
"65","Valparaiso",11.4,108.8,97.4,65.6,0.021
"66","Davidson",11.38,110.2,98.9,64.8,-0.002
"67","Dayton",11.31,110.7,99.4,66.1,-0.1
"68","Northern Iowa",10.85,104.9,94.1,63.6,-0.033
"69","Providence",10.75,106,95.3,66.1,-0.026
"70","Stephen F. Austin",10.73,98.7,88,61.3,-0.021
"71","Weber St.",10.63,107.4,96.7,65.2,-0.016
"72","Arizona St.",10.46,106.5,96,66.9,-0.014
"73","Tennessee",10.45,107.3,96.8,63.5,0.006
"74","Purdue",10.26,105.1,94.8,66.4,-0.059
"75","North Dakota St.",10.1,103.7,93.6,61.1,-0.015
"76","Santa Clara",9.73,109.1,99.4,68.6,0.047
"77","Detroit",9.6,111.8,102.1,70.2,-0.044
"78","Xavier",9.51,104.1,94.6,63.3,-0.055
"79","Saint Joseph's",9.37,107.1,97.8,63.2,-0.026
"80","Arkansas",9.28,104.8,95.5,70.3,0.004
"81","Washington",9.17,105.8,96.6,66.1,0
"82","Ohio",9.05,104.8,95.7,67.9,0.02
"83","Louisiana Tech",8.08,99.9,91.8,69.7,0.082
"84","Richmond",8.06,108.1,100.1,64.1,-0.016
"85","Evansville",8.06,104.5,96.5,65.8,-0.011
"86","Massachusetts",7.9,105.5,97.6,70.9,0.08
"87","Princeton",7.89,106.9,99,60.9,-0.071
"88","New Mexico St.",7.72,102.9,95.2,65.1,0.04
"89","Iona",7.46,112.5,105,70.6,-0.07
"90","Washington St.",7.42,105.7,98.3,62.3,-0.134
"91","Indiana St.",7.32,101.1,93.8,65.7,0.041
"92","Lehigh",7.29,107.1,99.8,66.9,-0.003
"93","Harvard",7.09,106.3,99.3,64.4,0.038
"94","Texas",6.99,100.7,93.7,66.2,-0.023
"95","Texas A&M",6.83,103.3,96.4,61.7,-0.013
"96","South Dakota St.",6.81,110.1,103.3,63.9,0.03
"97","Vanderbilt",6.77,100.7,94,61.6,-0.026
"98","Oregon St.",6.74,107.5,100.8,68.3,-0.12
"99","Air Force",6.73,109.9,103.2,64.7,0.034
"100","Wyoming",6.52,101.2,94.7,61.4,0.046
"101","St. John's",6.36,98.5,92.1,67.7,0.058
"102","Georgia Tech",6.36,98,91.7,66.4,-0.037
"103","LSU",6.35,103.8,97.4,69,0.06
"104","USC",6.32,101.4,95,67.2,-0.015
"105","Florida Gulf Coast",6.25,103.1,96.8,69.2,0.039
"106","Rutgers",6.1,105.6,99.5,64.7,0.015
"107","Boston College",6.02,108,102,64,0.026
"108","Utah St.",5.58,107.8,102.2,62.4,0.024
"109","Fresno St.",5.42,97.9,92.5,61.8,-0.062
"110","Eastern Kentucky",5.41,108.8,103.4,65.4,0.029
"111","Clemson",5.32,99.3,93.9,62.3,-0.111
"112","George Washington",5.31,98.5,93.2,68,-0.085
"113","UTEP",5.24,101.9,96.6,61.7,0.001
"114","Georgia",5.22,100,94.8,62.5,-0.002
"115","Utah",5.11,102.9,97.8,62.9,-0.027
"116","Canisius",5.06,109.4,104.3,66.9,-0.015
"117","Seton Hall",4.96,102.4,97.4,65,-0.026
"118","Drake",4.55,105.3,100.7,68.7,0.002
"119","St. Bonaventure",4.49,107.8,103.3,67.1,-0.039
"120","Florida St.",4.46,105.3,100.8,65.9,0.085
"121","Kent St.",4.43,106,101.5,66.5,-0.019
"122","Wright St.",4.28,96.1,91.9,63.4,0.009
"123","West Virginia",4.19,103.1,98.9,65,-0.042
"124","Loyola MD",4.14,102.7,98.5,64.4,0.039
"125","East Carolina",4.04,107.2,103.2,69.3,0.046
"126","Green Bay",3.96,102.6,98.6,64.1,-0.05
"127","Pacific",3.96,104.4,100.4,63.5,0.074
"128","Mercer",3.95,102.2,98.2,63,0.027
"129","Charlotte",3.87,99.5,95.7,68,0.133
"130","UCF",3.41,104.9,101.5,66.1,0.05
"131","Murray St.",3.38,103.8,100.4,66.6,-0.012
"132","Northwestern",3.2,102.5,99.3,61.8,-0.023
"133","George Mason",3.18,101.8,98.6,66.7,-0.007
"134","Vermont",3.14,101.2,98,62.4,-0.005
"135","San Francisco",3.13,105.1,102,66.7,-0.041
"136","Nebraska",3.01,100.2,97.2,62.1,0.104
"137","Wake Forest",2.89,99.6,96.7,69.2,-0.007
"138","Northwestern St.",2.87,104.9,102,72.7,0.075
"139","Niagara",2.81,105.1,102.3,69,0.012
"140","Western Michigan",2.62,100.8,98.2,66.1,0.062
"141","South Florida",2.61,100.4,97.8,60.3,-0.008
"142","Robert Morris",2.28,103.2,100.9,65.5,0.038
"143","Oral Roberts",2.25,104.7,102.5,66.2,-0.027
"144","Boston University",2.23,103.2,101,65.7,-0.035
"145","Montana",2.18,103.2,101,64.1,0.176
"146","Tulane",1.87,105.4,103.5,65.7,-0.052
"147","UC Irvine",1.86,99.3,97.4,66.6,0.018
"148","Arkansas St.",1.76,96.9,95.2,65.8,-0.033
"149","UT Arlington",1.41,97.1,95.7,66.5,0.043
"150","Albany",1.35,100.7,99.4,63,0.082
"151","Fairfield",1.24,96.1,94.9,62.2,-0.002
"152","Cal Poly",1.19,104.6,103.4,60.1,0.031
"153","College of Charleston",1.09,100.9,99.8,64.3,0.091
"154","Manhattan",0.92,93.5,92.6,62.3,-0.022
"155","Western Illinois",0.69,95.4,94.7,58.2,0.048
"156","Long Beach St.",0.63,103.9,103.3,67.1,0.106
"157","Army",0.61,103.4,102.8,67.8,-0.083
"158","Texas Southern",0.61,103.5,102.9,64.6,-0.061
"159","Bradley",0.58,102.5,101.9,66.7,0.043
"160","Rider",0.58,96.9,96.3,65.9,0.049
"161","Penn St.",0.53,100.1,99.5,65.2,0.019
"162","Southern",0.5,97.4,96.9,64.8,-0.03
"163","UAB",0.37,99,98.7,70.6,0.003
"164","North Carolina Central",0.31,97.4,97.1,64.2,0.026
"165","Tennessee St.",0.22,103,102.8,68.3,0.038
"166","Delaware",0.11,102.6,102.4,67.1,0.078
"167","Loyola Chicago",0.08,101.2,101.1,63.7,-0.082
"168","Drexel",0.06,100.1,100,61.9,-0.088
"169","Virginia Tech",-0.1,105.2,105.3,67.6,0.031
"170","San Diego",-0.15,100.9,101.1,64.2,0.039
"171","Lafayette",-0.25,104.1,104.3,66,0.047
"172","Nevada",-0.31,103.1,103.4,66.9,0.038
"173","Western Kentucky",-0.41,99.9,100.3,66.3,0.03
"174","DePaul",-0.42,103.5,103.9,71.4,-0.049
"175","Towson",-0.43,101.1,101.5,65.9,0.054
"176","Bryant",-0.54,107.5,108,66.6,0.044
"177","Southern Illinois",-0.75,100.8,101.5,63.1,0.046
"178","Charleston Southern",-0.76,100.5,101.3,67.5,-0.059
"179","Northeastern",-0.78,104.6,105.3,64.3,0.079
"180","Houston",-0.82,106.2,107,69.8,-0.007
"181","Tulsa",-0.86,97.6,98.5,67.5,0.051
"182","James Madison",-0.91,98.4,99.3,64.5,0.063
"183","Illinois Chicago",-1.18,96.8,98,64.2,0.041
"184","Wagner",-1.22,95.3,96.5,67.7,0.054
"185","SMU",-1.25,98.9,100.1,63.9,-0.07
"186","Toledo",-1.3,102.3,103.6,67,0.012
"187","FIU",-1.37,99.8,101.1,69,0.069
"188","Georgia St.",-1.38,103.7,105.1,64,-0.05
"189","Buffalo",-1.4,101.5,102.9,65.3,-0.068
"190","Gardner Webb",-1.61,96.1,97.7,63.3,-0.043
"191","Youngstown St.",-1.95,100.9,102.9,68,0.024
"192","LIU Brooklyn",-2.12,108.6,110.7,68.9,0.016
"193","Rhode Island",-2.23,98.6,100.8,63.3,-0.043
"194","South Alabama",-2.31,97.2,99.5,68.3,0.044
"195","USC Upstate",-2.35,101.1,103.4,66.5,-0.076
"196","Columbia",-2.39,99.2,101.6,61.8,-0.12
"197","Auburn",-2.83,96.9,99.7,66.8,-0.117
"198","Yale",-2.93,100.8,103.7,64.2,0.032
"199","Idaho",-2.95,107.9,110.9,63.2,-0.001
"200","Oakland",-3.06,105.4,108.5,69.4,0.041
"201","Cal St. Fullerton",-3.07,105.3,108.4,69.6,-0.097
"202","Morgan St.",-3.17,97.6,100.8,67.1,-0.042
"203","UNC Asheville",-3.22,99.5,102.7,69.2,-0.076
"204","Jacksonville St.",-3.42,100.6,104,62.7,0.087
"205","Loyola Marymount",-3.47,96.6,100.1,65.2,-0.016
"206","Elon",-3.48,97.2,100.7,66.4,0.055
"207","Quinnipiac",-3.55,100.3,103.9,67.2,-0.032
"208","Savannah St.",-3.56,86.4,90,63.1,0.043
"209","South Carolina",-3.63,99.8,103.5,66.5,0.028
"210","Hawaii",-3.71,100.9,104.6,69.4,0.01
"211","Mount St. Mary's",-3.8,100.7,104.5,67.5,0.117
"212","Missouri St.",-3.87,99,102.9,61.2,0.023
"213","Bowling Green",-3.87,95,98.9,64.4,-0.091
"214","William & Mary",-3.99,104.7,108.7,63.5,-0.064
"215","UC Davis",-4.05,102.7,106.7,67.4,-0.009
"216","Norfolk St.",-4.25,94.4,98.7,68.6,0.112
"217","Marshall",-4.31,100.3,104.7,68.2,-0.009
"218","High Point",-4.33,98.3,102.6,66.6,-0.061
"219","Cal St. Northridge",-4.54,102.1,106.6,70.5,-0.018
"220","UC Santa Barbara",-4.75,96.7,101.5,64,-0.04
"221","Pepperdine",-4.75,96.8,101.6,63.9,0.026
"222","Arkansas Little Rock",-4.76,95.6,100.4,68.2,0.06
"223","St. Francis NY",-4.79,101.2,106,67.1,-0.068
"224","Southeast Missouri St.",-4.84,102,106.9,68.5,-0.033
"225","Morehead St.",-4.97,97.7,102.7,69.7,0.033
"226","Hartford",-5.23,92.1,97.3,64.1,0.08
"227","North Carolina A&T",-5.28,91.4,96.7,66.6,0.037
"228","Sam Houston St.",-5.43,92.3,97.7,63.4,-0.019
"229","Seattle",-5.69,92.1,97.8,69.8,-0.174
"230","Louisiana Lafayette",-5.75,98.6,104.4,70,-0.048
"231","Coastal Carolina",-5.83,95.9,101.7,65.2,-0.075
"232","Eastern Michigan",-5.93,91.3,97.2,60.3,0.017
"233","Brown",-5.93,93.9,99.9,64.7,0.041
"234","Stetson",-5.94,99.4,105.3,68.6,0.016
"235","Florida Atlantic",-6.08,97.6,103.6,65.4,0.011
"236","Holy Cross",-6.47,97,103.5,62.9,0.002
"237","Cal St. Bakersfield",-6.53,96.2,102.7,66.3,0.006
"238","Marist",-6.58,96.8,103.4,67.9,-0.052
"239","Texas Tech",-6.68,98.6,105.3,67.7,0.024
"240","Duquesne",-6.75,98.7,105.5,69.4,0.022
