"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Duke",34.14,118.9,84.7,75.9,-0.027
"2","Cincinnati",30.15,116,85.9,68.6,0.002
"3","Maryland",29.24,117.2,88,74.7,0.025
"4","Kansas",28.95,116.7,87.8,78.4,0.023
"5","Oklahoma",26.02,113,87,68.2,0.044
"6","Indiana",24.8,112,87.2,66.8,-0.049
"7","Florida",24.75,113,88.3,70.9,-0.072
"8","Illinois",23.19,113.6,90.4,70.4,0.016
"9","Oregon",22.93,117.2,94.3,73.2,-0.041
"10","Kentucky",22.21,111.4,89.2,69.8,-0.028
"11","Marquette",21.42,111.3,89.8,66.4,0.007
"12","USC",20.66,110.7,90,71.8,-0.051
"13","Arizona",20.52,117.2,96.7,73,0.08
"14","Kent St.",20.42,114.8,94.3,66,0.008
"15","Stanford",20.3,114.6,94.3,71.4,-0.02
"16","Pittsburgh",19.94,110.1,90.2,65.5,0.001
"17","Ohio St.",19.77,114.4,94.6,67.6,0.005
"18","Connecticut",19.33,110.3,91,70.8,0.063
"19","Notre Dame",19.24,114,94.8,70.2,-0.086
"20","South Carolina",19.16,105.1,85.9,67,-0.073
"21","North Carolina St.",19.13,111.1,92,69.1,0.012
"22","Alabama",18.73,111.9,93.2,69.1,0.076
"23","Xavier",18.59,109.1,90.5,67.7,0.052
"24","Gonzaga",18.49,113.4,94.9,70.6,0.049
"25","Georgia",18.47,114.6,96.1,70.4,-0.02
"26","Mississippi St.",18.25,109.3,91,69.2,0.107
"27","Butler",17.69,109.8,92.2,63.4,-0.051
"28","Texas",17.64,113.9,96.3,70,-0.021
"29","Missouri",17.43,114.2,96.7,71.4,-0.01
"30","Wake Forest",17.36,116.5,99.1,71.9,0.007
"31","Texas Tech",17.17,112.4,95.3,71.8,0.062
"32","Michigan St.",16.85,110.8,94,65.2,-0.026
"33","Memphis",16.68,110.5,93.9,71.8,-0.008
"34","Mississippi",16.67,111.2,94.5,66.4,-0.04
"35","UCLA",16.3,111.6,95.3,69.7,0.049
"36","Georgetown",16.1,108.5,92.4,73,-0.093
"37","California",16.01,107.7,91.7,68.3,0.089
"38","Miami FL",15.77,108.3,92.5,70.6,0.017
"39","Oklahoma St.",15.74,105.7,90,67.9,0.048
"40","Charlotte",15.72,112.1,96.4,68.4,-0.007
"41","Tulsa",15.59,114,98.4,71,0.001
"42","Dayton",15.57,110.9,95.3,67.4,-0.042
"43","Minnesota",14.55,111.5,96.9,69.7,-0.044
"44","Western Kentucky",14.5,108.3,93.8,69,0.06
"45","Utah",14.11,109.4,95.2,63.6,0.011
"46","Iowa",13.67,108.3,94.6,69.8,-0.059
