"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Kansas",34.39,116.7,82.3,69.9,0.012
"2","Memphis",30.78,114,83.2,71.1,0.012
"3","North Carolina",29.56,118.2,88.6,75.7,0.05
"4","UCLA",29.27,113.9,84.6,67.3,0.047
"5","Wisconsin",26.24,109.8,83.6,64.2,0.043
"6","Duke",25.84,112.2,86.4,75.1,-0.006
"7","Georgetown",24.96,110.7,85.7,63.8,0.029
"8","Louisville",24.9,109.4,84.5,68.4,-0.057
"9","Texas",24.52,116.2,91.7,67.4,0.046
"10","Washington St.",23.77,111.1,87.4,61.7,-0.003
"11","Davidson",23.01,112.8,89.8,69.1,-0.036
"12","Stanford",22.23,109.2,86.9,66.6,0.039
"13","Marquette",21.74,110.7,88.9,70.3,-0.027
"14","Tennessee",21.73,112.4,90.6,73.5,0.11
"15","Xavier",21.61,113.4,91.8,66.8,0.054
"16","Clemson",21.61,110,88.4,71.9,-0.045
"17","Drake",20.86,115.2,94.3,66.4,0.012
"18","West Virginia",20.72,110.1,89.3,67.3,-0.017
"19","Michigan St.",20.54,110.9,90.4,66.8,0.033
"20","Butler",19.56,112.4,92.8,62.7,0.003
"21","Texas A&M",19.53,108,88.5,65.6,0.005
"22","Pittsburgh",19.47,111.8,92.4,67.5,0.028
"23","Notre Dame",18.67,110.9,92.3,72.6,0.043
"24","Arizona",18.64,112.5,93.9,66.7,-0.077
"25","Kansas St.",18.54,110,91.4,72.9,-0.048
"26","Gonzaga",18.54,109.9,91.4,69.4,-0.03
"27","Connecticut",18.41,110.5,92.1,71,0
"28","USC",18.19,106.5,88.3,68,-0.004
"29","Indiana",17.96,110.7,92.7,69,0.038
"30","Purdue",17.87,106.6,88.7,69.5,-0.024
"31","Ohio St.",17.33,105.8,88.5,67.6,-0.026
"32","New Mexico",16.78,107.3,90.5,67.6,-0.045
"33","Mississippi St.",16.27,103.6,87.3,70.4,-0.042
"34","Virginia Tech",15.91,103.3,87.4,69.1,-0.048
"35","BYU",15.4,103.4,88,71,0.027
"36","Oregon",15.3,114.9,99.6,68.7,-0.034
"37","Florida",15.09,111.7,96.6,68.6,-0.042
"38","Miami FL",15.02,108.2,93.2,69.4,-0.003
"39","Nebraska",14.94,104.5,89.5,65.1,-0.041
"40","Arkansas",14.83,107.8,93,70,0.009
"41","Baylor",14.51,111.4,96.9,73,-0.028
"42","Saint Mary's",14.4,105.6,91.2,69.6,0.03
