"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Louisville",30.4,118.3,87.9,68.9,-0.044
"2","Arizona",30.12,115.9,85.8,64.4,0.014
"3","Florida",28.55,116,87.4,62.9,0.053
"4","Virginia",26.45,114.1,87.7,61.2,0.013
"5","Wisconsin",25.83,121.4,95.6,63.9,0.019
"6","Wichita St.",25.36,117.1,91.8,64.9,-0.009
"7","Kansas",24.55,118.7,94.1,68.5,-0.05
"8","Duke",24.22,124.1,99.9,65.9,-0.035
"9","Michigan St.",23.92,118,94.1,66,-0.003
"10","Tennessee",23.67,117.3,93.6,63.2,-0.098
"11","Villanova",23.63,115.7,92.1,67.8,0.075
"12","Michigan",23.44,123.3,99.9,62.9,0.048
"13","Kentucky",22.57,117.8,95.3,65.7,-0.025
"14","UCLA",22.52,118.1,95.6,69.9,-0.019
"15","Connecticut",22.11,113,90.9,65.2,0.08
"16","Pittsburgh",21.88,116.3,94.4,63.4,-0.038
"17","Creighton",21.69,123.6,102,65.2,0.024
"18","Syracuse",21.59,114,92.5,61.1,0.017
"19","Ohio St.",21.31,108.6,87.3,65.8,-0.043
"20","Iowa St.",21.05,118.3,97.2,71.7,0.064
"21","Oklahoma St.",20.93,115.4,94.4,69,-0.109
"22","Iowa",20.41,119.6,99.2,69.9,-0.116
"23","San Diego St.",20.37,109.8,89.4,63.8,0.068
"24","Gonzaga",20.14,113.4,93.3,67,0.016
"25","VCU",19.8,108.6,88.8,70.2,-0.058
"26","Baylor",19.34,118.3,98.9,63.6,0.012
"27","Cincinnati",19.24,109,89.8,63,0.036
"28","Oregon",19,118.3,99.3,69.7,-0.037
"29","North Carolina",18.44,112.1,93.6,70.9,0.001
"30","Oklahoma",17.85,117.3,99.4,71.1,-0.022
"31","SMU",17.67,110.8,93.1,66,-0.043
"32","Harvard",17.58,112.2,94.7,65.4,0.02
"33","New Mexico",17.17,112.9,95.7,66,0.033
"34","Stanford",16.04,111.8,95.8,67,0.016
"35","Saint Louis",15.71,105.2,89.5,67.4,0.04
"36","Memphis",15.21,111.8,96.5,69.3,0.048
"37","Louisiana Tech",15.06,109.8,94.8,71.4,0.002
"38","Florida St.",14.85,111.7,96.8,66.6,-0.005
"39","Arizona St.",14.85,110.6,95.8,68.9,0.003
"40","Utah",14.8,110.1,95.3,65.6,-0.052
"41","Texas",14.51,111.2,96.7,68.6,0.093
"42","Dayton",14.24,113.2,99,65.5,0.038
"43","Maryland",14.21,108.7,94.5,68.6,-0.074
"44","Arkansas",14.13,110.5,96.4,72.2,-0.033
"45","Kansas St.",14.06,107.2,93.1,65.5,0.002
"46","Minnesota",13.91,113.2,99.3,64.8,0.044
"47","Providence",13.79,113.9,100.2,64.9,0.052
"48","BYU",13.77,113.9,100.1,72.8,-0.003
"49","George Washington",13.76,110.2,96.5,67.6,0.057
"50","Massachusetts",13.44,109.4,95.9,71.8,0.065
"51","Clemson",13.38,106.5,93.2,60.6,0.009
"52","Illinois",13.09,105.9,92.8,63,0.007
"53","St. John's",13.08,107.9,94.8,67.9,-0.045
"54","Xavier",13.08,112.2,99.1,65.9,0.018
"55","Saint Joseph's",12.91,111.7,98.8,66,0.079
"56","Nebraska",12.65,108.2,95.5,65.9,0.047
"57","Georgetown",12.38,112.5,100.1,65.1,-0.022
"58","West Virginia",12.24,114.8,102.6,68.2,-0.065
"59","LSU",12.1,110.1,98,70,-0.009
"60","California",11.99,111.1,99.1,66.6,0.017
"61","North Dakota St.",11.75,114.9,103.1,64.1,0.089
"62","North Carolina St.",11.57,113.4,101.8,65.8,0.065
"63","Indiana",11.53,107.2,95.7,68.3,-0.069
"64","Southern Miss",11.45,110.3,98.8,64.8,0.103
"65","Saint Mary's",11.4,112,100.6,63.4,0.014
"66","Georgia St.",11.29,115,103.7,65.7,-0.025
"67","Colorado",11.21,107,95.8,66.7,0.12
"68","Marquette",11.04,109.1,98.1,66.1,-0.051
"69","Stephen F. Austin",10.85,111.7,100.9,63.8,0.073
"70","Missouri",10.83,113.5,102.6,66.2,0.062
"71","Green Bay",10.81,108.2,97.4,67.3,0.037
"72","New Mexico St.",10.57,112.3,101.7,66.9,-0.029
"73","Boise St.",10.56,114.1,103.5,65.7,-0.056
"74","Manhattan",10.18,106.6,96.4,69.6,-0.008
"75","Vermont",10.18,109.3,99.1,63.7,-0.064
"76","Iona",10.14,118.1,107.9,70.3,-0.024
"77","Miami FL",9.86,108.6,98.7,58.7,-0.045
"78","Georgia",9.41,108.4,99,65.2,0.033
"79","UNLV",9.16,107.5,98.3,66.9,-0.047
"80","Penn St.",8.96,109.7,100.8,66.5,-0.048
"81","Texas Tech",8.96,110.8,101.9,62.4,-0.054
"82","Tulsa",8.92,105.5,96.6,68.7,-0.023
"83","Mississippi",8.86,110.6,101.8,69.4,-0.005
"84","St. Bonaventure",8.77,110.6,101.8,68,-0.065
"85","Cleveland St.",8.68,110,101.3,64.3,-0.052
"86","Alabama",8.53,107.2,98.7,64.1,-0.092
"87","Mercer",8.38,110.2,101.8,65.5,0.022
"88","San Francisco",8.27,111.9,103.7,65.6,0.051
"89","Middle Tennessee",8.23,104.7,96.5,64.7,0.047
"90","UC Irvine",8.18,103.3,95.1,64.8,-0.02
"91","North Carolina Central",7.98,108.1,100.1,64.3,0.041
"92","Richmond",7.96,104.6,96.7,64.3,0.026
"93","Purdue",7.88,107.9,100,68.3,-0.039
"94","Northern Iowa",7.84,112.4,104.6,65.9,-0.08
"95","Seton Hall",7.84,108.1,100.3,66,-0.06
"96","Notre Dame",7.7,112.9,105.2,64.6,-0.063
"97","Belmont",7.08,113.2,106.1,69.3,0.058
"98","Washington",6.75,111.2,104.4,68.3,0.036
"99","Butler",6.73,105.4,98.6,63.9,-0.057
"100","Princeton",6.43,105.8,99.3,65,0.014
"101","Buffalo",6.36,109.2,102.8,68,-0.033
"102","UC Santa Barbara",6.27,110.1,103.8,63.5,0.056
"103","UTEP",5.96,104.7,98.7,64.8,0.015
"104","Toledo",5.95,114.4,108.5,68.6,0.112
"105","La Salle",5.86,105.7,99.8,64.8,0.001
"106","Delaware",5.84,111.4,105.6,71.5,0.064
"107","Oregon St.",5.81,111.8,106,67.9,0.004
"108","Indiana St.",5.6,106.2,100.6,67,0.083
"109","Vanderbilt",5.47,103.5,98,64.2,0.018
"110","Portland",5.4,108.6,103.2,66.8,-0.109
"111","Texas A&M",5.39,100.8,95.4,63.8,-0.012
"112","South Carolina",5.32,106.9,101.5,67,-0.052
"113","Louisiana Lafayette",5.19,109.7,104.5,70.4,0.038
"114","Georgia Tech",5.18,104.2,99,65.3,-0.002
"115","Rhode Island",5.07,103.8,98.7,66.6,-0.068
"116","Fresno St.",5.06,109.7,104.6,66.8,0.012
"117","Wyoming",4.97,104.9,99.9,61.1,-0.053
"118","Wake Forest",4.96,106,101,68,0.058
"119","Columbia",4.67,107,102.4,61.9,-0.013
"120","American",4.56,102.8,98.3,61.5,0.008
"121","Utah St.",4.49,109.3,104.8,63.7,0.01
"122","Auburn",4.42,109.2,104.8,67.4,-0.025
"123","Davidson",4.22,112.7,108.4,67.7,-0.013
"124","Canisius",4.11,111.8,107.7,67.6,0.022
"125","Eastern Kentucky",3.95,111.7,107.8,66.6,0.037
"126","Boston University",3.85,105.7,101.9,66.5,0.077
"127","Ohio",3.74,105.9,102.2,66.5,0.035
"128","Colorado St.",3.52,110,106.4,66.2,-0.073
"129","Drexel",3.5,104.6,101.1,64,-0.031
"130","Towson",3.44,110.1,106.6,65.5,0.08
"131","Wright St.",3.38,99.8,96.4,65.5,-0.062
"132","Western Michigan",3.35,105.7,102.4,66.7,0.098
"133","Houston",3.35,110.5,107.1,67,0.056
"134","Northwestern",3.32,97.6,94.3,62.5,0.033
"135","Murray St.",3.23,108.4,105.2,68,0.033
"136","Eastern Michigan",3.15,97.9,94.7,64.8,0.019
"137","Hawaii",3.05,110.4,107.3,68.5,-0.045
"138","San Diego",2.97,104.9,101.9,63.7,-0.019
"139","Denver",2.86,110,107.1,59.6,-0.03
"140","South Dakota St.",2.77,106.4,103.7,67.1,-0.002
"141","George Mason",2.68,105.2,102.5,67.2,-0.036
"142","Boston College",2.43,113.7,111.2,63.2,-0.074
"143","Long Beach St.",2.19,104.3,102.2,66.6,-0.024
"144","Nevada",2.17,108.8,106.7,65.4,0.027
"145","IPFW",2.09,109.5,107.4,67.4,0.062
"146","Akron",2.08,104.3,102.2,65.8,0.074
"147","Pacific",1.99,109,107,67.5,0.056
"148","Illinois St.",1.96,101.3,99.3,68,0.029
"149","Quinnipiac",1.9,110.6,108.7,70.2,0.055
"150","Temple",1.68,110.1,108.5,68.2,-0.078
"151","Duquesne",1.53,110,108.5,68,-0.053
"152","USC",1.52,102.9,101.4,70.2,-0.015
"153","Yale",1.29,102.3,101,65.3,0.08
"154","Santa Clara",1.18,106.7,105.5,65.5,-0.043
"155","UCF",1.06,106.6,105.6,67.7,-0.047
"156","UAB",0.99,103.6,102.6,68.8,-0.009
"157","Holy Cross",0.99,103.9,102.9,64.3,0.027
"158","Missouri St.",0.98,105.9,104.9,64.7,0.113
"159","Bucknell",0.93,102.4,101.5,64.5,-0.041
"160","Pepperdine",0.92,107.2,106.3,66.5,0.025
"161","Arkansas St.",0.61,106,105.4,68.4,0.004
"162","Brown",0.6,100.5,99.9,69.6,-0.118
"163","Valparaiso",0.55,103.6,103.1,65.4,-0.027
"164","Siena",0.31,101.1,100.8,66.7,0.041
"165","Southern Illinois",0.18,105.5,105.3,63.3,-0.061
"166","USC Upstate",0.11,104.4,104.3,66.3,-0.058
"167","William & Mary",0.11,112,111.9,65.2,0.095
"168","Milwaukee",0.11,104.1,104,67.6,0.118
"169","Stony Brook",0.04,104.8,104.8,66.2,0.015
"170","Rutgers",-0.42,105.8,106.3,68.5,-0.012
"171","Weber St.",-0.57,105.8,106.4,64.7,-0.008
"172","Charlotte",-0.57,102.1,102.6,69.4,0.046
"173","Robert Morris",-0.64,105.2,105.9,66.5,0.093
"174","Virginia Tech",-0.72,99.5,100.3,64,-0.081
"175","Old Dominion",-0.73,100.1,100.8,64.2,0.005
"176","Cal Poly",-0.77,103,103.8,61,-0.044
"177","Nebraska Omaha",-0.83,104,104.8,73.9,-0.053
"178","Loyola Marymount",-0.91,105.1,106,69.5,0.047
"179","Western Kentucky",-0.97,100.5,101.5,66.2,0.113
"180","Albany",-1.02,102.2,103.3,63.6,0.003
"181","Morehead St.",-1.04,102.4,103.4,69.4,0.038
"182","Florida Gulf Coast",-1.05,99.4,100.5,68.2,0.011
"183","DePaul",-1.2,105.5,106.7,67.2,0.032
"184","Colgate",-1.28,107.9,109.2,63.7,-0.149
"185","Youngstown St.",-1.28,107.4,108.6,67.9,-0.053
"186","Northwestern St.",-1.29,108,109.3,75.7,-0.019
"187","Drake",-1.46,104.5,105.9,64.7,0.024
"188","Oral Roberts",-1.52,107.5,109,64.7,-0.058
"189","Wagner",-1.7,98,99.7,68.8,0.017
"190","Washington St.",-1.84,101.2,103,62.6,-0.043
"191","South Florida",-1.91,101.7,103.6,65.9,0.017
"192","Wofford",-1.95,100,101.9,62.3,0.025
"193","Kent St.",-2.13,103.6,105.7,66.4,-0.022
"194","Oakland",-2.13,109.2,111.4,69,0.025
"195","Detroit",-2.2,100.8,103,67.9,-0.049
"196","Sam Houston St.",-2.53,105.2,107.8,66.1,0.074
"197","Bryant",-2.53,105.4,108,67.3,0.03
"198","Southern",-2.61,97,99.6,67.4,-0.035
"199","St. Francis NY",-2.7,98.3,101,66.7,0.007
"200","College of Charleston",-2.84,97.4,100.3,62.6,-0.068
"201","Fordham",-2.88,108.2,111.1,69.1,-0.036
"202","Elon",-2.96,104,107,66.6,0.034
"203","Northeastern",-3.17,100.8,103.9,65.1,-0.047
"204","Utah Valley",-3.18,102.3,105.4,63.1,0.121
"205","Mississippi St.",-3.36,99.7,103.1,68.6,0.032
"206","Marist",-3.89,101,104.9,66.5,-0.021
"207","Bowling Green",-3.92,92.4,96.4,66.7,-0.028
