"","team","seed","score","point_diff","result","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S","AdjEM","AdjO","AdjD","AdjT","luck"
"52","UNLV",7,67,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.49,108,91.5,68.1,0.098
"53","USC",5,77,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.45,107,90.5,69.1,0.017
"54","Vanderbilt",6,77,33,1,22,12,0.647,12.76,7.79,2594,2387,1.08671973188102,NA,0.567,15.86,110.5,94.7,69.3,0.008
"55","VCU",11,79,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,111.7,97.6,67.9,0.003
"56","Villanova",9,58,-9,0,22,11,0.667,16.13,9.16,2392,2132,1.1219512195122,NA,0.546,19.72,108.3,88.6,68.9,-0.036
"57","Virginia",4,84,27,1,21,11,0.656,12.89,7.96,2463,2267,1.08645787384208,NA,0.552,15.08,108.8,93.7,71.6,0.007
"58","Virginia Tech",5,54,2,1,22,12,0.647,14.35,8.26,2428,2181,1.11325080238423,NA,0.54,17.02,108.2,91.1,66.5,-0.004
"59","Washington State",3,70,16,1,26,8,0.765,13.33,6,2273,2024,1.12302371541502,NA,0.552,NA,NA,NA,NA,NA
"60","Weber State",15,42,-28,0,20,12,0.625,-4.03,-3.33,2266,2214,1.02348690153568,NA,0.577,NA,NA,NA,NA,NA
"61","Winthrop",11,74,10,1,29,5,0.853,9.17,-1.2,2545,2088,1.21886973180077,NA,0.564,14.37,107.5,93.1,66.8,0.055
"62","Wisconsin",2,76,13,1,30,6,0.833,19.28,6.95,2527,2083,1.21315410465675,NA,0.552,24.88,110.7,85.9,65.9,0.034
"63","Wright State",14,58,-21,0,23,10,0.697,1.94,-0.31,2125,2051,1.03607996099464,NA,0.527,NA,NA,NA,NA,NA
"64","Xavier",9,79,2,1,25,9,0.735,14.18,3.39,2595,2228,1.16472172351885,NA,0.593,17.85,112.8,95,68.3,-0.047
