"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Duke","Arkansas-Pine Bluff",NA,NA,NA,NA,NA,17,-11,0.346,33.5,16.89,915,254,0.27178982280868,0.055,-15,29,"X"
"2","University of California","Louisville",NA,NA,NA,NA,NA,4,-2,0.0800000000000001,3.21,0.27,198,83,0.0451441619536401,0.0249999999999999,-1,15,"X"
"3","Texas A&M","Utah State",NA,NA,NA,NA,NA,-3,2,-0.0650000000000001,1.62,8.57,-133,95,-0.11356291051867,-0.0469999999999999,-7,16,"X"
"4","Purdue","Siena",7.9,-0.600000000000009,-8.5,-2.3,0.043,2,-1,0.0349999999999999,9.04,9.98,-87,-82,0.00330347923456009,0.00600000000000001,-9,8,"X"
"5","Notre Dame","Old Dominion",0.199999999999999,10.7,10.5,0.200000000000003,-0.078,-4,3,-0.093,1.75,4.44,220,324,-0.0661022553092501,0.0589999999999999,-5,-1,"Y"
"6","Baylor","Sam Houston State",NA,NA,NA,NA,NA,3,0,0.02,14.26,11.4,155,78,0.02779932112505,0.013,-11,9,"X"
"7","Richmond","Saint Mary's (CA)",NA,NA,NA,NA,NA,-2,3,-0.081,-3.35,1.23,-241,-62,-0.0763853596441602,-0.0489999999999999,-3,-9,"Y"
"8","Villanova","Robert Morris",21.75,16.7,-5,4.7,-0.05,2,-4,0.101,20.43,13.9,301,98,0.0827985447786499,0.0419999999999999,-13,3,"X"
"9","Kentucky","ETSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,29,"X"
"10","Texas","Wake Forest",6.52,6.09999999999999,-0.399999999999991,3.2,-0.083,4,-1,0.0609999999999999,7.11,-1.47,504,226,0.11226502152092,0.03,-1,-1,"Y"
"11","Temple","Cornell",3.97,-9.30000000000001,-13.2,-3.1,0.01,0,1,-0.024,3.68,5.18,-323,-205,-0.04037098806476,-0.086,-7,-13,"Y"
"12","Wisconsin","Wofford",13.21,10.6,-2.60000000000001,-5,0.011,-2,0,-0.016,13.41,10.23,-194,-256,0.05051636219911,0.017,-9,4,"X"
"13","Marquette","Washington",1.52,3.60000000000001,2,-8.90000000000001,-0.092,-4,2,-0.075,-0.470000000000001,0.74,-366,-321,-0.00122508426405998,0.0239999999999999,-5,-2,"Y"
"14","New Mexico","Montana",7.83,6.5,-1.40000000000001,5.19999999999999,0.138,8,-5,0.169,8.56,6.19,427,392,-0.00790816326530996,-0.0379999999999999,-11,5,"X"
"15","Clemson","Missouri",-0.629999999999999,-0.799999999999997,-0.0999999999999943,-0.600000000000009,-0.006,-2,0,-0.02,-1.68,1.54,-277,-187,-0.0285041222437701,-0.001,-3,-8,"Y"
