"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","UNC","Oakland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,28,"X"
"2","Minnesota","Iowa State",NA,NA,NA,NA,NA,2,-1,0.043,0.690000000000001,-1.44,63,7,0.0276473329598399,0.035,-1,-11,"Y"
"3","Villanova","New Mexico",9.13,1.5,-7.69999999999999,1.5,-0.053,-2,1,-0.038,7.97,6.92,-156,-125,-0.00457681038644009,-0.0569999999999999,-7,8,"X"
"4","Florida","Ohio",15.23,6.10000000000001,-9.10000000000001,0.0999999999999943,-0.07,3,-3,0.094,14.82,5.32,150,-154,0.15449279058541,0.0269999999999999,-9,5,"X"
"5","Wisconsin","Northern Iowa",7.36,-0.200000000000003,-7.60000000000001,-2.2,0.078,4,-2,0.079,6.62,4.3,-21,-80,0.03220349065415,-0.0269999999999999,-5,5,"X"
"6","Kansas","Bucknell",16.05,13.3,-2.7,3.40000000000001,-0.056,0,-3,0.0700000000000001,18.56,13.04,154,10,0.07322292910632,0.0139999999999999,-11,-1,"Y"
"7","Charlotte","North Carolina State",NA,NA,NA,NA,NA,0,-6,0.124,-6.53,-5.19,-302,-221,-0.02752084261611,-0.0299999999999999,-3,-12,"Y"
"8","UConn","UCF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,6,"X"
"9","Washington","Montana",24.39,20.6,-3.80000000000001,3.2,0.01,11,-7,0.248,23.4,11.15,874,464,0.15625858226106,0.0239999999999999,-15,11,"X"
"10","Pacific","Pitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,8,"X"
"11","Georgia Tech","George Washington",4.78,-1.3,-6.10000000000001,-1.2,-0.024,-2,4,-0.108,6.59,8.73,63,112,-0.0304289721172002,-0.018,-7,12,"X"
"12","Louisville","Louisiana-Lafayette",NA,NA,NA,NA,NA,13,-6,0.223,16.86,4.27,827,327,0.19698010169879,0.0559999999999999,-9,6,"X"
"13","Texas Tech","UCLA",4.57,1.59999999999999,-2.89999999999999,0,0.002,4,0,0.046,7.08,2.02,397,209,0.07956508583268,0.00700000000000001,-5,12,"X"
"14","Gonzaga","Winthrop",12.64,18.1,5.39999999999999,3.7,-0.051,-1,-1,0.021,12.82,11.02,209,198,-0.00818673725417995,0.0469999999999999,-11,10,"X"
"15","West Virginia","Creighton",0.700000000000001,0.200000000000003,-0.399999999999991,0.200000000000003,0.114,1,0,0.01,1.62,3.78,80,149,-0.03541921329186,-0.003,-3,2,"X"
"16","Wake Forest","Chattanooga",24.26,24.3,0.100000000000009,1.60000000000001,-0.014,7,-5,0.173,21.61,13.86,548,407,0.03981092424281,0.0459999999999999,-13,16,"X"
"17","Duke","Delaware State",NA,NA,NA,NA,NA,8,-8,0.242,29.69,16.93,538,117,0.19535426877286,0.023,-15,11,"X"
"18","Stanford","Mississippi State",NA,NA,NA,NA,NA,-5,2,-0.0950000000000001,-3.45,2.08,-293,-111,-0.0801654410613599,-0.011,-1,-23,"Y"
"19","Michigan State","Old Dominion",NA,NA,NA,NA,NA,-2,1,-0.0359999999999999,14.5,10,160,80,0.0307982892512799,0.0549999999999999,-7,8,"X"
"20","Syracuse","Vermont",7.18,3.30000000000001,-3.8,1.8,-0.029,2,0,0.013,8.15,8.78,249,210,0.00274267948768014,0.011,-9,-3,"Y"
"21","Utah","UTEP",8.49,0.5,-8.10000000000001,-6.4,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,"X"
"22","Oklahoma","Niagara",16.67,-1.2,-17.9,-4.3,0.022,5,-2,0.091,16.84,11.92,-57,-263,0.1086241935037,0.005,-11,17,"X"
"23","Cincinnati","Iowa",3.06,0.0999999999999943,-2.90000000000001,0.599999999999994,0.029,4,-4,0.122,2.67,-2.6,98,-91,0.0923102776949898,-0.016,-3,12,"X"
"24","Kentucky","Eastern Kentucky",21.7,9.8,-12,0.5,-0.069,6,-3,0.114,21.84,13.28,247,49,0.0911155124113501,-0.00600000000000001,-13,8,"X"
"25","Illinois","Fairleigh Dickinson",34.5,20.5,-14,-5.3,-0.004,17,-11,0.343,28.23,15.38,570,72,0.20747162157742,0.0509999999999999,-15,12,"X"
"26","Texas","Nevada",4.77,9.5,4.8,1.09999999999999,-0.097,-5,4,-0.136,6.24,4.54,159,150,-0.00474244271575985,0.029,-1,-4,"Y"
"27","Alabama","Milwaukee",5.69,8.59999999999999,2.90000000000001,-4.59999999999999,-0.046,-2,2,-0.0629999999999999,6.33,5.37,26,24,-0.000948029295180008,0.0439999999999999,-7,-10,"Y"
"28","Boston College","Penn",8.51,11.8,3.3,-2.30000000000001,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,20,"X"
"29","LSU","Alabama-Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-14,"Y"
"30","Arizona","Utah State",NA,NA,NA,NA,NA,6,-1,0.0610000000000001,5.25,9.5,633,731,-0.1096269150263,-0.034,-11,13,"X"
"31","Southern Illinois","Saint Mary's (CA)",NA,NA,NA,NA,NA,2,-1,0.036,4.85,2.72,-8,-55,0.0244579568649301,-0.00800000000000001,-3,9,"X"
"32","Oklahoma State","Southeastern Louisiana",NA,NA,NA,NA,NA,2,-2,0.0610000000000001,22.26,14.9,498,309,0.0689149959794502,0.074,-13,13,"X"
