"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Louisville","Morehead State",NA,NA,NA,NA,NA,11,-10,0.282,24.01,12.02,237,-124,0.1600975488202,0.016,-15,20,"X"
"2","Ohio State","Siena",NA,NA,NA,NA,NA,-5,3,-0.104,4.43,7.24,-503,-416,-0.0221235705499701,0.0399999999999999,-1,-2,"Y"
"3","Utah","Arizona",1.87,-6.8,-8.7,0.300000000000011,-0.006,3,-4,0.106,0.709999999999999,-3.08,-108,-226,0.0583516101989099,0.022,-7,-13,"Y"
"4","Wake Forest","Cleveland State",NA,NA,NA,NA,NA,-2,-4,0.0710000000000001,8.66,5.24,55,-10,0.03016137468721,0.0489999999999999,-9,-15,"Y"
"5","West Virginia","Dayton",13.61,10.6,-2.89999999999999,0,-0.176,-4,4,-0.114,11.41,6.58,182,13,0.0776038877958001,0.019,-5,-8,"Y"
"6","Kansas","North Dakota State",NA,NA,NA,NA,NA,1,1,-0.017,11.84,10.62,15,11,0.000945791362560122,-0.014,-11,10,"X"
"7","Boston College","USC",-6.95,3.2,10.1,1.60000000000001,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-17,"Y"
"8","Michigan State","Robert Morris",NA,NA,NA,NA,NA,7,-4,0.13,18.41,14.6,270,132,0.0527574698029198,-0.0289999999999999,-13,15,"X"
"9","Pitt","ETSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,10,"X"
"10","Oklahoma State","Tennessee",NA,NA,NA,NA,NA,2,-1,0.039,0.18,-0.27,165,143,0.00398679674957991,0.0399999999999999,-1,2,"X"
"11","Florida State","Wisconsin",NA,NA,NA,NA,NA,5,-3,0.108,-1.06,-0.52,286,323,-0.02782833639398,-0.001,-7,-2,"Y"
"12","Xavier","Portland State",NA,NA,NA,NA,NA,4,-2,0.0740000000000001,13.31,7.81,91,-97,0.08990613060852,-0.002,-9,18,"X"
"13","UCLA","VCU",10.2,10,-0.200000000000003,-0.799999999999997,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,1,"X"
"14","Villanova","American",18.68,8.39999999999999,-10.3,8.4,-0.072,6,0,0.039,17.5,14.21,854,669,0.0482195680195698,-0.001,-11,13,"X"
"15","Texas","Minnesota",4.15,4.3,0.200000000000003,1.69999999999999,-0.078,1,1,-0.01,3.51,0.899999999999999,343,264,0.0255236769184302,-0.012,-3,14,"X"
"16","Duke","Binghamton",24.8,15.4,-9.39999999999999,-0.200000000000003,-0.078,7,-2,0.0920000000000001,23.37,14.69,628,283,0.1369845377489,0.018,-13,24,"X"
"17","UNC","Radford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,43,"X"
"18","LSU","Butler",-0.949999999999999,1,2,3.7,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,4,"X"
"19","Illinois","Western Kentucky",10.37,-4.60000000000001,-14.9,-2.59999999999999,-0.091,-1,1,-0.029,10.7,7.96,-250,-334,0.05648410091879,-0.015,-7,-4,"Y"
"20","Gonzaga","Akron",17.06,14,-3.09999999999999,2.60000000000001,0.017,5,-7,0.185,14.58,5.56,281,-29,0.14617135046863,0.0579999999999999,-9,13,"X"
"21","Arizona State","Temple",NA,NA,NA,NA,NA,3,-2,0.0669999999999999,7.65,3.92,95,-41,0.0658123938652799,0.0589999999999999,-5,9,"X"
"22","Syracuse","Stephen F. Austin",15.2,19.6,4.5,6.59999999999999,-0.027,4,2,-0.013,16.14,12.69,947,930,-0.0515611663387099,0.0529999999999999,-11,15,"X"
"23","Clemson","Michigan",4.7,4,-0.700000000000003,6.59999999999999,-0.037,2,-5,0.119,3.66,-3.15,166,-36,0.0937447135054701,0.013,-3,-3,"Y"
"24","Oklahoma","Morgan State",NA,NA,NA,NA,NA,7,-6,0.176,20.36,13.41,500,248,0.0966410549463801,0.088,-13,28,"X"
"25","UConn","Chattanooga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,56,"X"
"26","BYU","Texas A&M",5.05,1.3,-3.7,3.60000000000001,-0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-13,"Y"
"27","Purdue","Northern Iowa",11.88,-0.200000000000003,-12.1,4.5,-0.066,4,-1,0.0539999999999999,10.81,4.93,265,54,0.0938955432245001,-0.0299999999999999,-7,5,"X"
"28","Washington","Mississippi State",NA,NA,NA,NA,NA,3,-4,0.104,7.68,3.57,73,-48,0.0513508037652,-0.01,-9,13,"X"
"29","Marquette","Utah State",NA,NA,NA,NA,NA,-5,5,-0.143,5.73,7.8,205,263,-0.0420467608769499,-0.0339999999999999,-5,1,"X"
"30","Missouri","Cornell",19.29,8.59999999999999,-10.7,5.2,0.036,10,-3,0.139,16.85,10.73,815,564,0.06767852772008,-0.0179999999999999,-11,19,"X"
"31","University of California","Maryland",NA,NA,NA,NA,NA,1,-3,0.0670000000000001,2.2,-1.78,-40,-148,0.05006162682812,0.0659999999999999,-3,-13,"Y"
"32","Memphis","Cal State Northridge",NA,NA,NA,NA,NA,16,-10,0.344,18.27,4.77,497,-2,0.22936374101983,-0.00700000000000001,-13,11,"X"
