"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","UNC","Florida Gulf Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,16,"X"
"2","USC","Providence",-0.26,4,4.19999999999999,2.59999999999999,-0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,"Y"
"3","Indiana","Chattanooga",16.48,14.3,-2.2,1.8,-0.132,-2,2,-0.0579999999999999,16.35,10.36,239,83,0.0596192582235802,0.047,-7,25,"X"
"4","Kentucky","Stony Brook",16.98,14.5,-2.5,0.299999999999997,-0.095,1,2,-0.038,16.48,14.12,346,336,-0.02184663373756,0.0159999999999999,-9,28,"X"
"5","Notre Dame","Michigan",2.42,5.90000000000001,3.5,-1.09999999999999,0.042,1,-1,0.028,0.35,1.65,48,115,-0.0306582922186598,0,-5,7,"X"
"6","West Virginia","Stephen F. Austin",8.8,3.10000000000001,-5.7,2,-0.004,-2,3,-0.081,12.38,15.25,21,182,-0.08976727856455,-0.0409999999999999,-11,-14,"Y"
"7","Wisconsin","Pitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,4,"X"
"8","Xavier","Weber State",NA,NA,NA,NA,NA,2,-3,0.081,18.4,13.56,75,48,0.00856524022053007,-0.0289999999999999,-13,18,"X"
"9","Oregon","Holy Cross",34.03,21.9,-12.1,4.19999999999999,-0.023,16,-13,0.387,29.25,14.75,723,169,0.21664249291607,0.047,-15,39,"X"
"10","St. Joseph's","Cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,2,"X"
"11","Baylor","Yale",4.69,8.5,3.8,0.399999999999991,-0.039,-1,5,-0.12,7.05,10.79,373,452,-0.06672681871621,0,-7,-4,"Y"
"12","Duke","North Carolina-Wilmington",NA,NA,NA,NA,NA,0,3,-0.0640000000000001,12.98,10.24,300,230,0.0178996911618601,0.0269999999999999,-9,8,"X"
"13","Texas","Northern Iowa",5.03,3.40000000000001,-1.59999999999999,2.3,0.009,-3,0,-0.033,6.02,7.27,-120,-50,-0.02941222385206,-0.0459999999999999,-5,-3,"Y"
"14","Texas A&M","Green Bay",17.54,5.5,-12.1,-8.2,-0.05,5,-4,0.118,17.29,9.12,-185,-422,0.10434832971702,0.00900000000000001,-11,27,"X"
"15","Oregon State","VCU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-8,"Y"
"16","Oklahoma","Cal State Bakersfield",NA,NA,NA,NA,NA,5,-1,0.0570000000000001,17.18,16.29,543,525,-0.02172192436801,0.0459999999999999,-13,14,"X"
"17","Kansas","Austin Peay",34.74,15.7,-19.1,-1,-0.016,15,-13,0.368,29.91,14.2,349,-195,0.210987116611902,0.0429999999999999,-15,26,"X"
"18","Colorado","UConn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-7,"Y"
"19","Maryland","South Dakota State",NA,NA,NA,NA,NA,1,1,-0.015,11.27,9.53,134,84,0.0166774611399001,0.0359999999999999,-7,5,"X"
"20","University of California","Hawaii",NA,NA,NA,NA,NA,-5,5,-0.148,6.36,8.91,-75,22,-0.0438731641307,-0.005,-9,-11,"Y"
"21","Arizona","Wichita State",NA,NA,NA,NA,NA,-1,0,-0.00800000000000001,1.4,2.99,200,276,-0.0592034178679202,0.0439999999999999,-5,-10,"Y"
"22","Miami (FL)","Buffalo",NA,NA,NA,NA,NA,7,-7,0.2,17.18,9.79,-76,-275,0.0876771073029101,0.0419999999999999,-11,7,"X"
"23","Iowa","Temple",11.43,9.09999999999999,-2.2,2.7,-0.166,1,-1,0.031,9.32,2.14,294,57,0.10321567996926,0.048,-3,2,"X"
"24","Villanova","North Carolina-Asheville",NA,NA,NA,NA,NA,13,-7,0.228,22.98,12.96,566,230,0.12278188270268,0.0559999999999999,-13,30,"X"
"25","Virginia","Hampton",37.07,20.9,-16.1,-9.7,-0.197,8,-3,0.128,30.78,19.57,263,-148,0.18477176831607,0.078,-15,36,"X"
"26","Texas Tech","Butler",-3.54,-4.90000000000001,-1.3,-2,0.037,-3,2,-0.0730000000000001,-4.05,2.7,-333,-108,-0.0945679449529,-0.0169999999999999,-1,-10,"Y"
"27","Purdue","Arkansas-Little Rock",NA,NA,NA,NA,NA,-4,4,-0.114,13.05,9.22,239,152,0.0269358099224299,0.0179999999999999,-7,-2,"Y"
"28","Iowa State","Iona",NA,NA,NA,NA,NA,1,1,-0.01,13.34,11.94,234,174,0.01807029200909,0.024,-9,13,"X"
"29","Seton Hall","Gonzaga",-2.56,-5.2,-2.7,2.60000000000001,0.054,-3,1,-0.043,-2.26,4.05,-318,-55,-0.10924666348027,-0.0579999999999999,-5,-16,"Y"
"30","Utah","Fresno State",NA,NA,NA,NA,NA,2,-1,0.036,10.23,6.55,148,27,0.04768548797326,0.0639999999999999,-11,11,"X"
"31","Dayton","Syracuse",-5.93,-6.09999999999999,-0.0999999999999943,3.10000000000001,0.109,2,-6,0.136,-3.28,-4.99,-196,-233,0.0250044639586799,0.013,-3,-19,"Y"
"32","Michigan State","Middle Tennessee",NA,NA,NA,NA,NA,4,-4,0.115,19.93,7.64,254,-165,0.1905710245913,0.0509999999999999,-13,-9,"Y"
