"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","UNC","Mount St. Mary's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,39,"X"
"2","Indiana","Arkansas",3.13,2.90000000000001,-0.299999999999997,-1,0.029,2,-4,0.101,3.3,-0.65,-117,-236,0.0643929052314101,0.0199999999999999,-1,-14,"Y"
"3","Notre Dame","George Mason",9.18,4.10000000000001,-5,7.8,0.052,2,-3,0.082,10.08,7.78,252,173,0.02616612022395,0,-7,18,"X"
"4","Washington State","Winthrop",NA,NA,NA,NA,NA,4,-3,0.096,12.74,7.8,120,-15,0.0691749888683899,0.0559999999999999,-9,31,"X"
"5","Oklahoma","St. Joseph's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,8,"X"
"6","Louisville","Boise State",NA,NA,NA,NA,NA,2,0,0.015,17.4,10.07,-156,-352,0.10086907888894,-0.0429999999999999,-11,18,"X"
"7","Butler","South Alabama",8.06,4,-4.10000000000001,-5.59999999999999,0.003,4,-3,0.094,5.24,3.85,-139,-173,0.0300520819958801,0.003,-3,20,"X"
"8","Tennessee","American",20.03,9,-11.1,10,0.065,10,-7,0.225,20.28,11.84,806,470,0.1250998027485,-0.0109999999999999,-13,15,"X"
"9","Kansas","Portland State",NA,NA,NA,NA,NA,14,-7,0.228,25.18,11.21,783,215,0.22338077389682,0.022,-15,24,"X"
"10","UNLV","Kent State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,13,"X"
"11","Clemson","Villanova",7.77,4.40000000000001,-3.39999999999999,0.900000000000006,-0.082,2,-3,0.077,7.05,1.39,146,-59,0.0876118475315,0.002,-7,-6,"Y"
"12","Vanderbilt","Siena",4.46,3.60000000000001,-0.800000000000011,0.600000000000009,0.074,3,-3,0.089,6.9,7.16,108,117,-0.00722545988787004,0.0359999999999999,-9,-21,"Y"
"13","USC","Kansas State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-13,"Y"
"14","Wisconsin","Cal State Fullerton",NA,NA,NA,NA,NA,7,-4,0.134,13.95,9.79,-279,-440,0.11052749950802,-0.0239999999999999,-11,15,"X"
"15","Gonzaga","Davidson",-4.47,-2.89999999999999,1.60000000000001,0.300000000000011,0.006,-4,1,-0.048,0.880000000000001,0.49,-279,-168,-0.03414919553881,0.011,-3,-6,"Y"
"16","Georgetown","UMBC",21.18,2.2,-19.1,-3.2,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,19,"X"
"17","Memphis","Texas-Arlington",NA,NA,NA,NA,NA,17,-10,0.314,26.6,10.38,774,203,0.22518693528395,-0.012,-15,24,"X"
"18","Mississippi State","Oregon",NA,NA,NA,NA,NA,5,-3,0.113,1.74,-1.91,39,-93,0.0615659303046001,-0.0369999999999999,-1,7,"X"
"19","Michigan State","Temple",NA,NA,NA,NA,NA,6,-4,0.132,8.16,3.11,107,-82,0.08578977732284,-0.0149999999999999,-7,11,"X"
"20","Pitt","Oral Roberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,19,"X"
"21","Marquette","Kentucky",12,6.10000000000001,-6,4.7,-0.038,7,-3,0.133,9.43,1,534,235,0.12719337589753,-0.0259999999999999,-5,8,"X"
"22","Stanford","Cornell",17.83,2.8,-15.1,-4.2,-0.048,6,2,-0.00800000000000001,15.55,11.69,417,299,0.03783481070942,-0.0559999999999999,-11,24,"X"
"23","Miami (FL)","Saint Mary's (CA)",NA,NA,NA,NA,NA,-2,4,-0.105,0.99,6.77,121,272,-0.0876030337840501,-0.013,-3,14,"X"
"24","Texas","Austin Peay",24.8,15.2,-9.59999999999999,-1.39999999999999,-0.038,7,-4,0.13,20.34,13.83,278,-10,0.11692590069417,-0.013,-13,20,"X"
"25","UCLA","Mississippi Valley State",NA,NA,NA,NA,NA,18,-12,0.382,36.99,17.21,831,126,0.309999200031994,0.0770000000000001,-15,41,"X"
"26","BYU","Texas A&M",-4.13,-4.59999999999999,-0.5,5.40000000000001,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-5,"Y"
"27","Drake","Western Kentucky",6.5,6.8,0.299999999999997,-4.5,0.032,-1,-2,0.0419999999999999,4.74,3.91,-345,-353,0.0312759457182499,0.005,-7,-2,"Y"
"28","UConn","San Diego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-1,"Y"
"29","Purdue","Baylor",3.36,-4.80000000000001,-8.2,-3.5,0.004,4,-2,0.079,1.64,0.15,-234,-274,0.0298978504859699,-0.031,-5,11,"X"
"30","Xavier","Georgia",13.72,13.2,-0.5,-1.2,0.086,13,-10,0.311,9.93,-1.56,466,57,0.17401049002443,0.073,-11,12,"X"
"31","West Virginia","Arizona",2.08,-2.40000000000001,-4.60000000000001,0.599999999999994,0.06,7,-4,0.144,3.42,-3.06,326,76,0.10392157741832,-0.0349999999999999,-3,10,"X"
"32","Duke","Belmont",22.43,6.7,-15.7,2.89999999999999,-0.081,3,-3,0.089,21.64,12.72,116,-136,0.11174035695863,0.005,-13,1,"X"
