"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Kentucky","Florida A&M",32,15.2,-16.9,-5.09999999999999,0.027,12,-12,0.375,28.68,16.49,54,-336,0.187308050371554,0.023,-15,20,"X"
"2","Washington","Alabama-Birmingham",NA,NA,NA,NA,NA,-3,2,-0.075,-2.3,0.8,129,231,-0.0499848855332301,0.035,-1,-2,"Y"
"3","Providence","Pacific",9.19,3.90000000000001,-5.3,1.10000000000001,-0.095,-5,1,-0.0680000000000001,9.11,7.26,-212,-230,0.0199218461653199,-0.0169999999999999,-7,-8,"Y"
"4","Kansas","UIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,25,"X"
"5","Boston College","Utah",1.04,0.299999999999997,-0.700000000000003,3.60000000000001,-0.017,0,1,-0.021,0.620000000000001,2.64,178,255,-0.0509610532187101,-0.0329999999999999,-5,7,"X"
"6","Georgia Tech","Northern Iowa",15.54,6.19999999999999,-9.30000000000001,4.80000000000001,-0.015,7,0,0.0599999999999999,13.79,8.01,764,537,0.0751652963277001,0.00700000000000001,-11,5,"X"
"7","Michigan State","Nevada",NA,NA,NA,NA,NA,-7,3,-0.135,-2.76,2.56,-441,-232,-0.0868647882855602,0.0539999999999999,-3,-6,"Y"
"8","Gonzaga","Valparaiso",24.26,20.4,-3.89999999999999,-2.7,-0.054,10,-10,0.322,19.03,3.31,319,-149,0.22859802340421,0.071,-13,27,"X"
"9","Duke","Alabama State",NA,NA,NA,NA,NA,15,-9,0.322,36.77,21.64,1050,493,0.232468575902983,0.0579999999999999,-15,35,"X"
"10","Seton Hall","Arizona",1.18,-6.30000000000001,-7.5,-7.7,0.068,1,0,0.01,-1.02,1.15,-386,-326,-0.0118309679776301,-0.0379999999999999,-1,4,"X"
"11","Illinois","Murray State",NA,NA,NA,NA,NA,-2,1,-0.0359999999999999,9.71,10.28,-328,-265,-0.00919468112181998,-0.0259999999999999,-7,19,"X"
"12","Cincinnati","ETSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,3,"X"
"13","UNC","Air Force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,11,"X"
"14","Texas","Princeton",16.38,8.7,-7.7,8.5,0.004,5,0,0.044,16.98,11.72,769,604,0.04594150754028,-0.0439999999999999,-11,17,"X"
"15","Xavier","Louisville",-0.209999999999997,6.8,7,-3.30000000000001,0.056,6,1,0.0359999999999999,-4.76,-1.13,440,493,-0.0625076138417,0.011,-3,10,"X"
"16","Mississippi State","Monmouth",NA,NA,NA,NA,NA,5,-8,0.231,21.62,11.74,65,-229,0.14861173161359,0.021,-13,33,"X"
"17","St. Joseph's","Liberty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,19,"X"
"18","Texas Tech","Charlotte",2.7,-1.90000000000001,-4.59999999999999,-2.69999999999999,-0.005,2,2,-0.0239999999999999,2.47,3.51,116,121,-0.00781441713385989,-0.00600000000000001,-1,3,"X"
"19","Florida","Manhattan",4.7,7.7,3,0.299999999999997,-0.035,-5,5,-0.161,7,10.45,58,165,-0.0624453515513601,0.0399999999999999,-7,-15,"Y"
"20","Wake Forest","VCU",12.33,17.1,4.7,4.80000000000001,-0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,1,"X"
"21","Wisconsin","Richmond",10.27,9.5,-0.799999999999997,-2,0.06,5,-6,0.175,8.89,2.42,61,-141,0.11730429128593,0.037,-5,12,"X"
"22","Pitt","UCF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,9,"X"
