"","team","seed","score","point_diff","result","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Akron",12,42,-46,0,26,7,0.788,8.11,0.18,2369,2071,1.14389183969097,66.4,0.539,11.53,104.9,93.4,66.8,0.085
"2","Albany (NY)",15,61,-12,0,24,11,0.686,-0.87,-4.53,2251,2123,1.06029203956665,62.8,0.541,NA,NA,NA,NA,NA
"3","Arizona",6,81,17,1,27,8,0.771,17.3,7.47,2570,2226,1.15453728661276,66.8,0.565,21.86,113.5,91.7,66.7,-0.011
"4","Belmont",11,64,-17,0,26,7,0.788,10.37,-0.96,2533,2129,1.18976045091592,68.1,0.594,14.92,109.7,94.8,67.5,0.013
"5","Bucknell",11,56,-12,0,28,6,0.824,6.95,-1.96,2277,1966,1.15818921668362,62.6,0.538,12.71,105.4,92.7,63.3,-0.014
"6","Butler",6,68,12,1,27,9,0.75,10.99,6.08,2495,2299,1.0852544584602,64.9,0.546,15.38,108.7,93.4,65,0.088
"7","Cincinnati",10,63,-4,0,22,12,0.647,14.46,6.93,2262,2006,1.12761714855434,64.9,0.493,15.6,104.1,88.5,63.9,-0.012
"8","Colorado",10,49,-8,0,21,12,0.636,11.95,7.95,2230,2098,1.06291706387035,65.6,0.522,14.57,104.7,90.1,65.2,0.03
"9","Colorado State",8,84,12,1,26,9,0.743,13.65,5.89,2553,2229,1.14535666218035,64.6,0.539,NA,NA,NA,NA,NA
"10","Creighton",7,67,4,1,28,8,0.778,16.44,5.16,2680,2274,1.17854001759015,65,0.612,21.7,116.4,94.7,65.2,-0.009
"11","Davidson",14,58,-1,0,26,8,0.765,7.27,-3.45,2490,2110,1.18009478672986,64.8,0.58,11.38,110.2,98.9,64.8,-0.002
"12","Duke",2,73,12,1,30,6,0.833,21.43,9.54,2778,2350,1.18212765957447,68.2,0.576,26.95,117.3,90.4,68.2,0.033
"13","Florida",3,79,32,1,29,8,0.784,23.86,6.83,2642,2012,1.31312127236581,62.9,0.573,31.18,115.5,84.3,63.4,-0.089
"14","Florida Gulf Coast",15,78,10,1,26,11,0.703,2.76,-2.07,2696,2469,1.09194005670312,69.5,0.548,6.25,103.1,96.8,69.2,0.039
"15","Georgetown",2,68,-10,0,25,7,0.781,15.84,7.59,2070,1806,1.14617940199336,62.4,0.541,21.2,105.8,84.6,62.5,0.039
"16","Gonzaga",1,64,6,1,32,3,0.914,20.47,4.18,2696,2095,1.28687350835322,65.3,0.585,27.79,118.6,90.9,64.5,0.026
"17","Harvard",14,68,6,1,20,10,0.667,3.95,0.16,2049,1924,1.06496881496882,63.8,0.583,7.09,106.3,99.3,64.4,0.038
"18","Illinois",7,57,8,1,23,13,0.639,13.23,10.08,2465,2332,1.05703259005146,65.5,0.516,15.78,108.7,92.9,65.7,0.042
"19","Indiana",1,83,21,1,29,7,0.806,24.9,8.38,2831,2236,1.26610017889088,67.1,0.59,29.28,119,89.8,67.1,-0.021
"20","Iona",15,70,-25,0,20,14,0.588,4.04,-0.02,2733,2595,1.05317919075145,70.5,0.562,7.46,112.5,105,70.6,-0.07
"21","Iowa State",10,76,18,1,23,12,0.657,14.5,6.13,2779,2486,1.1178600160901,70,0.569,NA,NA,NA,NA,NA
"22","James Madison",16,62,-21,0,21,15,0.583,-1.73,-2.28,2346,2326,1.00859845227859,64.1,0.514,-0.91,98.4,99.3,64.5,0.063
"23","Kansas",1,64,7,1,31,6,0.838,20.79,7.54,2782,2292,1.21378708551483,67.8,0.572,25.17,110.9,85.7,67.7,0.01
"24","Kansas State",4,61,-2,0,27,8,0.771,13.53,6.53,2414,2115,1.14137115839244,63.6,0.524,NA,NA,NA,NA,NA
"25","La Salle",13,63,2,1,24,10,0.706,10.14,4.46,2450,2257,1.08551174124945,66.5,0.552,13.83,110,96.2,66.2,0.052
"26","Louisville",1,79,31,1,35,5,0.875,24.81,9.13,2978,2351,1.2666950233943,66.4,0.544,32.9,116,83.1,66.8,-0.016
"27","Marquette",3,59,1,1,26,9,0.743,14.04,8.58,2382,2191,1.08717480602465,63.4,0.541,18.29,111.5,93.2,63.9,0.09
"28","Memphis",6,54,2,1,31,5,0.861,12.26,2.7,2681,2337,1.1471972614463,69.5,0.55,16.29,105.6,89.3,69.6,0.057
"29","Miami (FL)",2,78,29,1,29,7,0.806,16.99,7.88,2509,2181,1.15038972948189,64,0.548,NA,NA,NA,NA,NA
"30","Michigan",4,71,15,1,31,8,0.795,21.28,10.05,2932,2467,1.18848804215647,64.1,0.572,27.8,120.2,92.4,65.1,-0.006
"31","Michigan State",3,65,11,1,27,9,0.75,18.64,10.55,2448,2129,1.14983560356975,64.7,0.542,NA,NA,NA,NA,NA
"32","Minnesota",11,83,20,1,21,13,0.618,16.83,10.31,2337,2115,1.10496453900709,63.5,0.531,19.82,112.9,93.1,63.6,-0.036
"33","Missouri",9,72,-12,0,23,11,0.676,15.41,6,2588,2268,1.14109347442681,68.2,0.551,18.54,113.2,94.6,68.2,-0.032
"34","Montana",13,34,-47,0,25,7,0.781,-1.11,-4.21,2238,2096,1.06774809160305,63.8,0.576,2.18,103.2,101,64.1,0.176
"35","New Mexico",3,62,-6,0,29,6,0.829,13.28,6.63,2355,2122,1.10980207351555,64.7,0.533,19,108,89,65.1,0.074
"36","New Mexico State",13,44,-20,0,24,11,0.686,5.11,0.7,2355,2175,1.08275862068966,65.2,0.528,NA,NA,NA,NA,NA
"37","North Carolina A&T",16,48,-31,0,20,17,0.541,-6.94,-6.3,2299,2291,1.00349192492361,67.1,0.497,-5.28,91.4,96.7,66.6,0.037
"38","North Carolina State",8,72,-4,0,24,11,0.686,14.32,7.17,2708,2458,1.10170870626526,68.6,0.571,NA,NA,NA,NA,NA
"39","Northwestern State",14,47,-32,0,23,9,0.719,0.41,-3.77,2559,2285,1.1199124726477,74.4,0.539,NA,NA,NA,NA,NA
"40","Notre Dame",7,58,-18,0,25,10,0.714,13.74,7.22,2450,2222,1.1026102610261,62,0.551,16.62,112.7,96.1,62.2,0.046
"41","Ohio State",2,95,25,1,29,8,0.784,20.19,9.32,2599,2197,1.18297678652708,64.2,0.541,NA,NA,NA,NA,NA
"42","Oklahoma",10,55,-15,0,20,12,0.625,11.4,7.09,2260,2122,1.06503298774741,66.8,0.524,13.77,109.3,95.5,66.6,0.004
"43","Oklahoma State",5,55,-13,0,24,9,0.727,15.57,6.73,2371,2079,1.14045214045214,67.3,0.536,NA,NA,NA,NA,NA
"44","Ole Miss",12,57,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Oregon",12,68,13,1,28,9,0.757,13.82,5.77,2650,2352,1.12670068027211,68.8,0.531,16.75,104.9,88.1,68.9,0.053
"46","Pacific",15,49,-29,0,22,13,0.629,1.96,1.05,2344,2238,1.047363717605,63.3,0.542,3.96,104.4,100.4,63.5,0.074
"47","Pitt",8,55,-18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Saint Louis",4,64,20,1,28,7,0.8,14.33,4.28,2388,2036,1.17288801571709,64.7,0.545,19.99,106.8,86.8,65.2,0
"49","Saint Mary's (CA)",11,52,-2,0,28,7,0.8,14.51,3.31,2610,2203,1.18474807081253,64.5,0.573,NA,NA,NA,NA,NA
"50","San Diego State",7,70,15,1,23,11,0.676,13.01,6.19,2356,2077,1.13432835820896,66.6,0.524,NA,NA,NA,NA,NA
"51","South Dakota State",13,56,-15,0,25,10,0.714,2.36,-3.27,2568,2300,1.11652173913043,64,0.574,NA,NA,NA,NA,NA
"52","Southern",16,58,-6,0,23,10,0.697,-2.61,-10.31,2223,1890,1.17619047619048,65.5,0.533,0.5,97.4,96.9,64.8,-0.03
"53","Syracuse",4,81,47,1,30,10,0.75,20.3,8.57,2816,2347,1.1998295696634,65.2,0.523,24.78,111.4,86.7,64.4,-0.003
"54","Temple",9,76,4,1,24,10,0.706,9.52,5.2,2456,2309,1.06366392377653,67.6,0.529,12.67,109.5,96.8,67.6,0.038
"55","UCLA",6,63,-20,0,25,10,0.714,12.88,7.82,2604,2427,1.07292954264524,69.6,0.528,14.49,109.2,94.7,69.4,0.068
"56","UNC",8,78,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","University of California",12,64,3,1,21,12,0.636,10.65,7.77,2218,2123,1.04474799811587,66.5,0.515,NA,NA,NA,NA,NA
"58","UNLV",5,61,-3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.04,104.2,88.2,69.1,-0.015
"59","Valparaiso",14,54,-11,0,26,8,0.765,7.15,-1.13,2420,2119,1.14204813591317,65.1,0.594,11.4,108.8,97.4,65.6,0.021
"60","VCU",5,88,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.23,112.2,91.9,67.8,0.002
"61","Villanova",9,71,-7,0,20,14,0.588,10.74,8.53,2307,2214,1.0420054200542,67.4,0.529,13.57,104.4,90.8,67.5,0.011
"62","Western Kentucky",16,57,-7,0,20,16,0.556,-0.65,-1.14,2409,2364,1.01903553299492,67,0.52,-0.41,99.9,100.3,66.3,0.03
"63","Wichita State",9,73,18,1,30,9,0.769,14.68,6.09,2720,2385,1.14046121593291,64.9,0.535,NA,NA,NA,NA,NA
"64","Wisconsin",5,46,-11,0,23,12,0.657,18.76,9.73,2274,1958,1.16138917262513,61.4,0.508,22.51,106.4,83.9,61.9,-0.033
