"","team","seed","score","point_diff","result","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Alabama-Birmingham",14,60,1,1,20,16,0.556,1.94,1.62,2476,2452,1.00978792822186,65.9,0.52,NA,NA,NA,NA,NA
"2","Albany (NY)",14,60,-9,0,24,9,0.727,-0.34,-5.18,2156,1996,1.08016032064128,61.2,0.546,NA,NA,NA,NA,NA
"3","Arizona",2,93,21,1,34,4,0.895,24.33,7.41,2911,2268,1.28350970017637,66.5,0.575,32.4,117.9,85.5,66,-0.032
"4","Arkansas",5,56,3,1,27,9,0.75,14.07,6.79,2787,2525,1.10376237623762,70.1,0.539,16.42,112.7,96.2,69.7,0.045
"5","Baylor",3,56,-1,0,24,10,0.706,17.85,9.33,2349,2048,1.14697265625,62.8,0.53,22.11,114.5,92.4,62.3,-0.035
"6","Belmont",15,67,-12,0,22,11,0.667,0.35,-2.77,2450,2330,1.05150214592275,67.5,0.589,2.29,108.1,105.8,67.2,0.066
"7","Buffalo",12,62,-6,0,23,10,0.697,7.93,1.6,2462,2253,1.09276520195295,68.7,0.533,11.84,109.2,97.3,68.7,0.001
"8","Butler",6,56,8,1,23,11,0.676,16.64,8.62,2346,2073,1.13169319826339,64.2,0.522,20.09,108.1,88,63.9,-0.022
"9","Cincinnati",8,66,1,1,23,11,0.676,10.72,4.4,2113,1898,1.11327713382508,59.6,0.527,14.14,106,91.9,60,-0.015
"10","Coastal Carolina",16,72,-14,0,24,10,0.706,-1.02,-6.18,2438,2121,1.14945780292315,65.2,0.537,2.37,104.7,102.3,64.8,0.006
"11","Davidson",10,52,-31,0,24,8,0.75,11.97,3.19,2529,2221,1.13867627194957,67.2,0.578,14.97,117.6,102.7,67.1,0.056
"12","Dayton",11,66,13,1,27,9,0.75,10.98,4.06,2439,2190,1.11369863013699,64.2,0.565,14.23,107.2,93,64.3,0.022
"13","Duke",1,85,29,1,35,4,0.897,24.97,9.87,3091,2502,1.23541167066347,65.9,0.593,32.46,122.5,90,66.1,0.068
