"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Texas","North Carolina-Asheville",NA,NA,NA,NA,NA,11,-10,0.319,32.1,14.88,298,-214,0.215428729549309,0,-15,21,"X"
"2","LSU","Purdue",0.619999999999997,4.2,3.60000000000001,-2.10000000000001,-0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-24,"Y"
"3","UConn","BYU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,5,"X"
"4","Stanford","San Diego",6.24,5.09999999999999,-1.2,-4.60000000000001,0.062,6,-3,0.127,7.79,5.63,126,87,0.0152677713862401,-0.0339999999999999,-9,8,"X"
"5","Maryland","North Carolina-Wilmington",NA,NA,NA,NA,NA,-3,3,-0.097,12.04,10.36,258,206,0.0063742898971002,0.001,-5,2,"X"
"6","Xavier","Troy",NA,NA,NA,NA,NA,0,0,0,13.22,9.41,-74,-147,0.0435489838277801,0.016,-11,12,"X"
"7","Michigan State","Colorado",NA,NA,NA,NA,NA,2,1,0.004,3.3,1.71,-38,-108,0.03611232670377,0.03,-3,15,"X"
"8","Florida","Sam Houston State",NA,NA,NA,NA,NA,2,1,-0.00900000000000001,20.19,14.63,299,177,0.0473547400022398,0.0219999999999999,-13,30,"X"
"9","Oklahoma","South Carolina State",NA,NA,NA,NA,NA,7,-4,0.149,28.06,18.67,154,-168,0.158846410025,-0.004,-15,17,"X"
"10","University of California","North Carolina State",NA,NA,NA,NA,NA,4,-4,0.129,0.00999999999999979,0.00999999999999979,55,55,-0.00155643344689982,-0.0269999999999999,-1,2,"X"
"11","Mississippi State","Butler",NA,NA,NA,NA,NA,-6,4,-0.141,8.54,5.77,-78,-134,0.0390905887649799,-0.0399999999999999,-7,-1,"Y"
"12","Louisville","Austin Peay",19.67,15,-4.60000000000001,6.3,-0.2,2,-1,0.039,20.65,8.82,408,96,0.13986967213524,0.0099999999999999,-9,22,"X"
"13","Oklahoma State","Penn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,14,"X"
"14","Syracuse","Manhattan",12.99,9.09999999999999,-3.8,2.19999999999999,0.069,7,-2,0.09,13.24,11.01,511,394,0.02957744069975,0.001,-11,11,"X"
"15","St. Joseph's","Auburn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,"Y"
"16","Wake Forest","ETSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,3,"X"
"17","Kentucky","IUPUI",28.1,13,-15.1,0.300000000000011,-0.021,12,-10,0.301,24.9,11.13,359,-97,0.19778491550826,0.0219999999999999,-15,31,"X"
"18","Oregon","Utah",0.130000000000001,4.7,4.5,10.5,-0.036,-2,2,-0.0610000000000001,3.05,0.86,498,436,0.00750017021383997,0.0139999999999999,-1,-2,"Y"
"19","Wisconsin","Weber State",NA,NA,NA,NA,NA,-2,2,-0.0629999999999999,12.92,8.52,-135,-265,0.0827084300619398,-0.0109999999999999,-7,7,"X"
"20","Dayton","Tulsa",1.54,9.2,7.60000000000001,-3.90000000000001,0.146,1,-4,0.103,0.59,2.88,-241,-148,-0.0371671308193999,0.002,-9,-13,"Y"
"21","Missouri","Southern Illinois",5.54,1.7,-3.8,-0.899999999999991,-0.019,-2,4,-0.107,6.3,7.78,82,118,-0.0209189685345199,-0.021,-5,1,"X"
"22","Marquette","Holy Cross",10.61,14.8,4.09999999999999,0.900000000000006,0.00600000000000001,1,1,-0.021,11.02,12.66,409,471,-0.0675632743070198,0.0279999999999999,-11,4,"X"
"23","Indiana","Alabama",-0.100000000000001,3.2,3.3,-1.09999999999999,0.065,4,1,0.032,-0.729999999999999,0.41,374,393,-0.0188380330795199,0.021,-3,5,"X"
"24","Pitt","Wagner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,26,"X"
"25","Arizona","Vermont",24.74,14.3,-10.4,8.39999999999999,-0.026,7,-8,0.239,24.74,13.8,450,151,0.12699781909504,0.026,-15,29,"X"
"26","Cincinnati","Gonzaga",-0.870000000000001,-8.2,-7.3,-0.900000000000006,-0.048,-7,3,-0.141,0.640000000000001,3.65,-604,-483,-0.0344488410206101,-0.07,-1,-5,"Y"
"27","Notre Dame","Milwaukee",7.14,7.19999999999999,0.0999999999999943,-0.700000000000003,-0.016,0,2,-0.044,9.61,8.62,226,186,0.00868438050239018,-0.0079999999999999,-7,1,"X"
"28","Illinois","Western Kentucky",12.37,4.89999999999999,-7.60000000000001,0.100000000000009,-0.065,1,-2,0.054,12.11,5.36,-42,-224,0.1046166517822,0.0199999999999999,-9,5,"X"
"29","Creighton","Central Michigan",7.41,2.8,-4.59999999999999,-3.3,-0.112,4,-2,0.072,8.48,-0.76,135,-144,0.13247315274884,-0.021,-5,-6,"Y"
"30","Duke","Colorado State",NA,NA,NA,NA,NA,7,-7,0.212,14.48,3.97,227,-65,0.12810841788863,-0.0229999999999999,-11,10,"X"
"31","Memphis","Arizona State",NA,NA,NA,NA,NA,3,-5,0.142,-1.78,-4,-232,-264,0.0282050535314,-0.029,-3,-13,"Y"
"32","Kansas","Utah State",NA,NA,NA,NA,NA,6,-1,0.0620000000000001,20.84,11.96,944,562,0.12597086408469,0.017,-13,3,"X"
