"","team","seed","score","point_diff","result","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Air Force",13,69,-9,0,24,7,0.774,10.2,2.49,1990,1695,1.1740412979351,NA,0.609,14.63,110.3,95.7,58.1,-0.001
"2","Alabama",10,90,5,1,18,13,0.581,10.79,8.08,2178,2094,1.04011461318052,NA,0.547,12.15,109.1,96.9,66.2,0.005
"3","Alabama-Birmingham",9,64,-5,0,24,7,0.774,9.64,1.57,2306,2035,1.13316953316953,NA,0.539,NA,NA,NA,NA,NA
"4","Albany (NY)",16,59,-13,0,21,11,0.656,-0.44,-4.25,2194,2065,1.06246973365617,NA,0.553,NA,NA,NA,NA,NA
"5","Arizona",8,94,19,1,20,13,0.606,15.12,10.09,2433,2267,1.07322452580503,NA,0.517,16.85,108.2,91.3,71,-0.038
"6","Arkansas",8,55,-4,0,22,10,0.688,15.01,6.17,2359,2076,1.13631984585742,NA,0.541,18.07,108.5,90.4,69.6,-0.061
"7","Belmont",15,44,-34,0,20,11,0.645,-3.53,-6.72,2499,2356,1.0606960950764,NA,0.588,-0.73,103.6,104.3,72.1,0.025
"8","Boston College",4,88,12,1,28,8,0.778,13.79,6.1,2671,2383,1.12085606378514,NA,0.567,18.19,113.8,95.6,65.3,0.024
"9","Bradley",13,77,4,1,22,11,0.667,11.78,5.38,2359,2148,1.09823091247672,NA,0.524,16.12,104.3,88.2,71.6,-0.019
"10","Bucknell",9,59,4,1,27,5,0.844,7.29,-2.29,2114,1785,1.1843137254902,NA,0.563,12.38,102.3,89.9,64.6,0.093
"11","Davidson",15,62,-8,0,20,11,0.645,1.89,-3.04,2403,2137,1.12447356106692,NA,0.56,4.79,106.6,101.8,69,-0.024
"12","Duke",1,70,16,1,32,4,0.889,21.77,8.77,2921,2453,1.19078679168365,NA,0.598,26.98,115.7,88.7,73,0.048
"13","Florida",3,76,26,1,33,6,0.846,20.21,5.49,3052,2478,1.2316384180791,NA,0.603,27.56,113.8,86.2,69.8,-0.011
"14","George Mason",11,75,10,1,27,8,0.771,12.11,2.77,2429,2102,1.15556612749762,NA,0.56,17.85,106.5,88.7,65.5,0.017
"15","George Washington",8,88,3,1,27,3,0.9,9.63,-0.33,2360,2026,1.16485686080948,NA,0.543,14.37,107.2,92.8,73.5,0.105
"16","Georgetown",7,54,5,1,23,10,0.697,13.98,6.92,2177,1944,1.11985596707819,NA,0.562,20.74,112.1,91.4,61,-0.026
"17","Gonzaga",3,79,4,1,29,4,0.879,12.32,5.02,2643,2402,1.10033305578684,NA,0.579,15.32,114.9,99.6,70,0.036
"18","Illinois",4,78,9,1,26,7,0.788,17.2,6.29,2311,1937,1.19308208569954,NA,0.543,22.71,110.6,87.9,65.2,-0.019
"19","Indiana",6,87,4,1,19,12,0.613,12.1,7.36,2231,2084,1.07053742802303,NA,0.564,15.22,106.4,91.2,69.7,-0.011
"20","Iona",13,64,-16,0,23,8,0.742,6.86,-0.78,2475,2238,1.1058981233244,NA,0.565,11.1,105.8,94.7,73.2,0.024
"21","Iowa",3,63,-1,0,25,9,0.735,14.18,6.8,2254,2003,1.12531203195207,NA,0.525,17.83,100.3,82.5,67.6,0.047
"22","Kansas",4,73,-4,0,25,8,0.758,20.02,7.6,2480,2024,1.22529644268775,NA,0.553,22.69,106.5,83.8,71,-0.043
"23","Kent State",12,64,-15,0,25,9,0.735,6.27,0,2458,2239,1.09781152300134,NA,0.548,NA,NA,NA,NA,NA
"24","Kentucky",8,69,5,1,22,13,0.629,13.12,8.88,2477,2316,1.06951640759931,NA,0.537,16.68,110.7,94,67.3,0
"25","LSU",4,80,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.52,106.1,84.5,70.5,0.008
"26","Marquette",7,85,-5,0,20,11,0.645,11.33,8.16,2325,2150,1.08139534883721,NA,0.558,15.03,108.6,93.5,71,-0.011
"27","Memphis",1,94,16,1,33,4,0.892,18.81,4.24,2961,2422,1.22254335260116,NA,0.544,23.01,109.1,86.1,74.6,-0.007
"28","Michigan State",6,65,-10,0,22,12,0.647,12.24,7.27,2520,2334,1.07969151670951,NA,0.572,NA,NA,NA,NA,NA
"29","Milwaukee",11,82,8,1,22,9,0.71,7.65,1.47,2294,2061,1.11305191654537,NA,0.528,11.59,104.6,93,70.7,0.017
"30","Monmouth",16,45,-13,0,19,15,0.559,-2.99,-4.05,2191,2155,1.01670533642691,NA,0.53,-0.72,92.1,92.8,67.8,0.019
"31","Montana",12,87,8,1,24,7,0.774,4.86,-0.96,2449,2202,1.11217075386013,NA,0.586,8.83,108.3,99.5,69.5,0.056
"32","Murray State",14,65,-4,0,24,7,0.774,4.16,-5.07,2203,1901,1.15886375591794,NA,0.536,NA,NA,NA,NA,NA
"33","Nevada",5,79,-8,0,27,6,0.818,10.16,2.26,2401,2103,1.14170233000476,NA,0.54,14.8,106,91.2,68.9,0.025
"34","North Carolina State",10,58,6,1,22,10,0.688,12.7,5.63,2383,2157,1.10477515067223,NA,0.588,NA,NA,NA,NA,NA
"35","North Carolina-Wilmington",9,85,-3,0,25,8,0.758,8.9,0.57,2250,1975,1.13924050632911,NA,0.523,NA,NA,NA,NA,NA
"36","Northern Iowa",10,49,-5,0,23,10,0.697,11.55,5.13,2165,1907,1.13529103303618,NA,0.555,15.52,105.8,90.3,62.3,-0.025
"37","Northwestern State",14,64,1,1,26,8,0.765,4.01,-1.38,2573,2365,1.08794926004228,NA,0.547,NA,NA,NA,NA,NA
"38","Ohio State",2,70,8,1,26,6,0.813,16.08,5.9,2363,2037,1.16003927344134,NA,0.568,NA,NA,NA,NA,NA
"39","Oklahoma",6,74,-8,0,20,9,0.69,11.89,6.79,1995,1847,1.08012994044396,NA,0.541,13.73,109.1,95.4,65.3,0.05
"40","Oral Roberts",16,78,-16,0,21,12,0.636,3.23,-2.35,2472,2248,1.09964412811388,NA,0.554,5.56,103.4,97.9,70.1,-0.034
"41","Pacific",13,76,-12,0,24,8,0.75,6.93,-1.57,2377,2047,1.16121152906693,NA,0.581,10.59,106,95.4,66.1,0.011
"42","Penn",15,52,-8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,98.1,91,67.3,-0.029
"43","Pitt",5,79,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","San Diego State",11,83,-4,0,24,9,0.727,9.81,3.65,2456,2223,1.10481331533963,NA,0.561,NA,NA,NA,NA,NA
