"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"1","Maryland","Siena",30.44,18.6,-11.8,5.8,0.095,15,-15,0.417,26.24,13.09,543,70,0.18495803010516,0.0449999999999999,-15,15,"X"
"2","Wisconsin","St. John's (NY)",NA,NA,NA,NA,NA,-1,1,-0.031,2.29,2.92,-106,-101,-0.00133192057240983,0.0590000000000001,-1,10,"X"
"3","Marquette","Tulsa",5.83,-2.7,-8.60000000000001,-4.59999999999999,0.006,-1,0,-0.00600000000000001,4.5,2.47,-313,-359,0.0504735345221601,-0.0249999999999999,-7,-2,"Y"
"4","Kentucky","Valparaiso",8.55,2.2,-6.39999999999999,-0.600000000000009,0.003,-3,2,-0.0700000000000001,9.77,13.23,-104,3,-0.0492571875249599,-0.017,-9,15,"X"
"5","Texas Tech","Southern Illinois",3.71,5.30000000000001,1.7,0.299999999999997,0.027,-5,1,-0.0590000000000001,4.93,5.55,-185,-133,-0.0157003292492,0,-5,-8,"Y"
"6","Georgia","Murray State",NA,NA,NA,NA,NA,3,-3,0.094,14.03,11.18,-70,-78,0.00593523875080004,0.00700000000000001,-11,17,"X"
"7","North Carolina State","Michigan State",NA,NA,NA,NA,NA,4,-1,0.0630000000000001,0.949999999999999,-1.43,415,326,0.0263247282608701,0.0089999999999999,-3,11,"X"
"8","UConn","Hampton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,11,"X"
"9","Kansas","Holy Cross",29.25,20.7,-8.5,14.1,0.071,15,-11,0.347,26,14.45,1282,797,0.15856323233215,0.081,-15,11,"X"
"10","Stanford","Western Kentucky",5.8,6.3,0.5,2.40000000000001,-0.08,-8,6,-0.208,6.57,9.31,-71,111,-0.09387152415961,-0.0189999999999999,-1,16,"X"
"11","Florida","Creighton",12.93,3.7,-9.2,2.40000000000001,-0.101,-1,0,-0.00900000000000001,13.89,6.99,74,-133,0.10686061507411,-0.00199999999999989,-7,-1,"Y"
"12","Illinois","San Diego State",NA,NA,NA,NA,NA,5,-3,0.107,11.51,3.92,253,30,0.09350451021288,0.0349999999999999,-9,29,"X"
"13","Texas","Boston College",7.69,6.7,-1,-0.299999999999997,-0.061,2,0,0.022,5.36,4.07,303,232,0.0245195831085199,0.019,-5,13,"X"
"14","Mississippi State","McNeese State",NA,NA,NA,NA,NA,6,-1,0.0710000000000001,15.01,13.13,480,425,0.00515530322922997,0.031,-11,12,"X"
"15","Wake Forest","Pepperdine",5.66,7.59999999999999,1.89999999999999,-2.09999999999999,-0.055,-1,4,-0.092,6.66,6.92,270,301,-0.0217402539262499,0.0229999999999999,-3,9,"X"
"16","Oregon","Montana",27.42,16.9,-10.5,2.8,-0.094,10,-6,0.227,23.87,8.64,776,275,0.199554138996227,0.0499999999999999,-13,19,"X"
"17","Duke","Winthrop",39.47,23.7,-15.8,7.90000000000001,-0.066,12,-8,0.273,35.45,17.37,1020,403,0.24874927797694,0.082,-15,47,"X"
"18","Notre Dame","Charlotte",3.52,1.90000000000001,-1.60000000000001,1.8,-0.079,4,-1,0.0670000000000001,2.09,-2.51,396,199,0.0809760909814898,0.005,-1,19,"X"
"19","Indiana","Utah",10.69,2.59999999999999,-8,3.2,-0.06,4,3,-0.0239999999999999,8.51,6.9,589,477,0.02831215996529,-0.0169999999999999,-7,19,"X"
"20","USC","North Carolina-Wilmington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-4,"Y"
"21","University of California","Penn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,7,"X"
"22","Pitt","Central Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,17,"X"
"23","Oklahoma State","Kent State",NA,NA,NA,NA,NA,-7,3,-0.114,0.720000000000001,4.7,-439,-255,-0.0667128723348001,-0.036,-3,-8,"Y"
"24","Alabama","Florida Atlantic",21.21,14.4,-6.8,-2.5,0.015,8,-4,0.158,20.88,13,355,99,0.10839242479138,0.038,-13,8,"X"
"25","Cincinnati","Boston University",32.94,16.9,-16,2.69999999999999,-0.1,9,-6,0.198,29.06,14.39,591,68,0.24571066924901,0.037,-15,38,"X"
"26","UCLA","Ole Miss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,22,"X"
"27","Miami (FL)","Missouri",NA,NA,NA,NA,NA,0,-4,0.083,-1.23,-1.29,-482,-454,0.00855458170729007,-0.017,-7,-13,"Y"
"28","Ohio State","Davidson",NA,NA,NA,NA,NA,3,-2,0.073,15.54,6.55,170,32,0.06531112610159,0.0339999999999999,-9,5,"X"
"29","Gonzaga","Wyoming",7.47,7.7,0.300000000000011,1.09999999999999,0.017,7,-5,0.169,5.28,-1.98,353,68,0.12688744825398,0.0339999999999999,-5,-7,"Y"
"30","Arizona","UCSB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,5,"X"
"31","Xavier","Hawaii",5.47,1,-4.5,0.100000000000009,0.045,-1,0,-0.005,4.09,2.94,-50,-78,0.0193309267238,0.002,-3,12,"X"
"32","Oklahoma","UIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,8,"X"
