"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",18,12,0.6,8.61,2.61,1835,1629,1.12645794966237,NA,0.568
"2","Akron",19,10,0.655,7.03,1.67,2082,1902,1.09463722397476,NA,0.544
"3","Alabama A&M",18,14,0.563,-11.96,-12.86,2229,2169,1.02766251728907,NA,0.486
"4","Alabama-Birmingham",22,11,0.667,10.42,4.78,2557,2371,1.0784479122733,NA,0.541
"5","Alabama State",15,15,0.5,-14.99,-11.66,1739,1839,0.945622620989668,NA,0.47
"6","Alabama",24,8,0.75,16.74,6.81,2426,2083,1.16466634661546,NA,0.594
"7","Albany (NY)",13,15,0.464,-2.63,-5.31,1886,1811,1.04141358365544,NA,0.539
"8","Alcorn State",7,22,0.241,-23.59,-11.31,1677,2016,0.831845238095238,NA,0.458
"9","American",16,12,0.571,-3.19,-4.3,1881,1850,1.01675675675676,NA,0.543
"10","Appalachian State",18,12,0.6,-3.76,-4.04,2192,2070,1.05893719806763,NA,0.535
"11","Arizona State",18,14,0.563,9.21,5.36,2433,2310,1.05324675324675,NA,0.551
"12","Arizona",30,7,0.811,18,8.03,2948,2579,1.14307871267933,NA,0.57
"13","Arkansas-Little Rock",18,10,0.643,-0.46,0.9,1891,1870,1.01122994652406,NA,0.544
"14","Arkansas-Pine Bluff",7,21,0.25,-20.71,-10.29,1654,1898,0.871443624868282,NA,0.456
"15","Arkansas State",16,13,0.552,-1.17,-1.86,2207,2097,1.05245588936576,NA,0.537
"16","Arkansas",18,12,0.6,12.33,3.6,2147,1885,1.13899204244032,NA,0.539
"17","Army",3,24,0.111,-20.27,-5.39,1510,1832,0.824235807860262,NA,0.51
"18","Auburn",14,17,0.452,2.06,6.6,2191,2332,0.939536878216124,NA,0.53
"19","Austin Peay",13,19,0.406,-3.76,-1.97,2090,2147,0.973451327433628,NA,0.523
"20","Ball State",15,13,0.536,4.27,3.31,1990,1911,1.04133961276818,NA,0.533
"21","Baylor",9,19,0.321,-2.79,4.1,1863,2008,0.927788844621514,NA,0.551
"22","Belmont",14,16,0.467,-7.08,-7.32,2108,2101,1.00333174678724,NA,0.541
"23","Bethune-Cookman",13,17,0.433,-15.87,-11.67,1931,2057,0.938745746232377,NA,0.511
"24","Binghamton",12,17,0.414,-4.46,-2.57,1784,1839,0.970092441544318,NA,0.486
"25","Birmingham-Southern",16,14,0.533,-7.24,-8.24,1974,1893,1.04278922345483,NA,0.56
"26","Boise State",16,18,0.471,-2.96,0.61,2393,2524,0.948098256735341,NA,0.526
"27","Boston College",25,5,0.833,14.38,6.41,2174,1935,1.1235142118863,NA,0.536
"28","Boston University",20,9,0.69,3.24,-3.86,1822,1616,1.12747524752475,NA,0.507
"29","Bowling Green State",18,11,0.621,1.98,1.76,2023,1990,1.01658291457286,NA,0.586
"30","Bradley",13,15,0.464,3.23,4.55,1959,1996,0.981462925851703,NA,0.519
"31","Brigham Young",9,21,0.3,1.02,6.69,1972,2070,0.952657004830918,NA,0.519
"32","Brown",12,16,0.429,-7.29,-5.54,1849,1898,0.97418335089568,NA,0.525
"33","Bucknell",23,10,0.697,2.12,-2.19,2097,1946,1.0775950668037,NA,0.551
"34","Buffalo",23,10,0.697,5.96,2.39,2462,2344,1.05034129692833,NA,0.538
"35","Butler",13,15,0.464,0.62,-0.85,1811,1709,1.05968402574605,NA,0.572
"36","Cal Poly",5,22,0.185,-12.76,-0.55,1834,2147,0.854215183977643,NA,0.528
"37","Cal State Fullerton",21,11,0.656,0.31,-0.83,2408,2289,1.0519877675841,NA,0.53
"38","Cal State Northridge",18,13,0.581,1.74,-0.98,2229,2085,1.06906474820144,NA,0.543
"39","UC-Irvine",16,13,0.552,-2.8,-1.8,1991,1962,1.01478083588175,NA,0.545
"40","UC-Riverside",9,19,0.321,-8.51,-1.27,1745,1876,0.930170575692964,NA,0.508
"41","UC-Santa Barbara",11,18,0.379,-4.14,-0.4,1718,1823,0.94240263302249,NA,0.501
"42","University of California",13,16,0.448,2.59,5.97,1956,2054,0.952288218111003,NA,0.508
"43","Campbell",2,25,0.074,-20.8,-6.58,1681,2065,0.814043583535109,NA,0.478
"44","Canisius",11,18,0.379,-8.79,-4.52,2089,2213,0.943967464979666,NA,0.522
"45","Centenary (LA)",3,24,0.111,-16.77,-1.84,1734,2103,0.82453637660485,NA,0.521
"46","Central Connecticut State",12,16,0.429,-8.26,-7.23,1919,1948,0.985112936344969,NA,0.543
"47","Central Florida",24,9,0.727,-4.91,-7.78,2304,2152,1.07063197026022,NA,0.573
"48","Central Michigan",10,18,0.357,-7.35,2.92,1855,2102,0.882492863939106,NA,0.517
"49","Charleston Southern",13,17,0.433,-12.49,-6.53,1762,1913,0.921066387872452,NA,0.505
"50","Charlotte",21,8,0.724,9.63,3.97,2257,2093,1.07835642618251,NA,0.534
"51","Chattanooga",20,11,0.645,-1.37,-3.59,2253,2034,1.10766961651917,NA,0.538
"52","Chicago State",9,19,0.321,-7.44,-1.29,1808,1980,0.913131313131313,NA,0.506
"53","Cincinnati",25,8,0.758,17.64,6.74,2505,2130,1.17605633802817,NA,0.535
"54","Citadel",12,16,0.429,-13.98,-6.65,1868,1953,0.956477214541731,NA,0.498
"55","Clemson",16,16,0.5,11.23,8.86,2294,2218,1.03426510369702,NA,0.517
"56","Cleveland State",9,17,0.346,-4.7,0.52,1772,1872,0.946581196581197,NA,0.523
"57","Coastal Carolina",10,19,0.345,-11.9,-6.63,1976,2068,0.955512572533849,NA,0.512
"58","Colgate",12,16,0.429,-8.62,-4.97,1848,1904,0.970588235294118,NA,0.526
"59","College of Charleston",18,10,0.643,-0.66,-4.98,2018,1897,1.06378492356352,NA,0.511
"60","Colorado State",11,17,0.393,2.36,3.88,1966,1943,1.01183736489964,NA,0.563
"61","Colorado",14,16,0.467,4.91,8.5,2147,2218,0.967989179440938,NA,0.521
"62","Columbia",12,15,0.444,-8.56,-6.56,1734,1773,0.978003384094755,NA,0.528
"63","Connecticut",23,8,0.742,18.82,7.62,2419,2072,1.16747104247104,NA,0.54
"64","Coppin State",14,15,0.483,-8.51,-6.16,1765,1833,0.962902345881069,NA,0.479
"65","Cornell",13,14,0.481,-7.65,-5.46,1733,1788,0.96923937360179,NA,0.551
"66","Creighton",23,11,0.676,10.14,3.84,2421,2207,1.0969642048029,NA,0.567
"67","Dartmouth",10,17,0.37,-11.2,-4.12,1568,1740,0.901149425287356,NA,0.499
"68","Davidson",23,9,0.719,1.64,-1.08,2316,2102,1.10180780209324,NA,0.551
"69","Dayton",18,11,0.621,3.52,0.38,1877,1786,1.05095184770437,NA,0.521
"70","Delaware State",19,14,0.576,-6.68,-6.89,2043,2036,1.00343811394892,NA,0.537
"71","Delaware",11,20,0.355,-5.66,-2.47,2017,2116,0.953213610586011,NA,0.513
"72","Denver",20,11,0.645,4.56,-0.44,2266,2076,1.09152215799615,NA,0.561
"73","DePaul",20,11,0.645,8.95,4.62,2120,1986,1.067472306143,NA,0.524
"74","Detroit Mercy",14,16,0.467,1.63,1.01,1840,1809,1.0171365395246,NA,0.506
"75","Drake",13,16,0.448,2.26,4.57,2010,2077,0.967741935483871,NA,0.527
"76","Drexel",17,12,0.586,1.82,-1.91,2022,1914,1.0564263322884,NA,0.535
"77","Duke",27,6,0.818,23.01,10.04,2581,2153,1.19879238272178,NA,0.56
"78","Duquesne",8,22,0.267,-6.6,0.9,2014,2239,0.899508709245199,NA,0.507
"79","East Carolina",9,19,0.321,-2.61,5.7,1793,1934,0.927094105480869,NA,0.472
"80","East Tennessee State",10,19,0.345,-9.8,-3.3,2228,2283,0.975908891809023,NA,0.535
"81","Eastern Illinois",12,16,0.429,-7.75,-3.08,1914,2016,0.949404761904762,NA,0.545
"82","Eastern Kentucky",22,9,0.71,-2.68,-5.18,2256,2078,1.08565928777671,NA,0.554
"83","Eastern Michigan",12,18,0.4,-2.37,0.78,2178,2204,0.988203266787659,NA,0.54
"84","Eastern Washington",8,20,0.286,-8.61,-2.35,1736,1893,0.917062863180137,NA,0.509
"85","Elon",8,23,0.258,-10.93,-2.79,1868,2090,0.89377990430622,NA,0.492
"86","Evansville",11,17,0.393,0.81,2.91,1986,2045,0.971149144254279,NA,0.553
"87","Fairfield",15,15,0.5,-2.19,-3.23,2041,2010,1.01542288557214,NA,0.511
"88","Fairleigh Dickinson",20,13,0.606,-4.13,-6.91,2432,2310,1.05281385281385,NA,0.534
"89","Florida A&M",14,15,0.483,-15.06,-9.24,1972,2141,0.921064922933209,NA,0.506
"90","Florida Atlantic",10,17,0.37,-9.02,-7.13,2073,2124,0.975988700564972,NA,0.522
"91","Florida International",13,17,0.433,-3.9,0.34,2028,2136,0.949438202247191,NA,0.522
"92","Florida State",12,19,0.387,6.82,8.99,2128,2170,0.980645161290323,NA,0.541
"93","Florida",24,8,0.75,20.18,7.12,2438,2020,1.20693069306931,NA,0.583
"94","Fordham",13,16,0.448,-1.79,-0.34,1829,1871,0.977552111170497,NA,0.511
"95","Fresno State",16,14,0.533,1.14,0.31,2143,2109,1.01612138454244,NA,0.526
"96","Furman",16,13,0.552,-3.96,-3.72,2120,1903,1.11403047819233,NA,0.575
"97","Gardner-Webb",18,12,0.6,-5.88,-8.1,2172,2055,1.05693430656934,NA,0.526
"98","George Mason",16,13,0.552,0.93,-2.83,2127,2018,1.05401387512389,NA,0.544
"99","George Washington",22,8,0.733,10.62,1.05,2308,2021,1.14200890648194,NA,0.555
"100","Georgetown",19,13,0.594,9.86,6.54,2061,1955,1.0542199488491,NA,0.557
"101","Georgia Southern",18,13,0.581,-2.32,-5.32,2506,2331,1.07507507507508,NA,0.52
"102","Georgia State",14,15,0.483,-8.08,-5.66,2049,2097,0.977110157367668,NA,0.531
"103","Georgia Tech",20,12,0.625,17.21,9.78,2371,2133,1.11157993436474,NA,0.537
"104","Georgia",8,20,0.286,-1.22,6.46,1683,1898,0.886722866174921,NA,0.481
"105","Gonzaga",26,5,0.839,13.3,4.37,2454,2159,1.13663733209819,NA,0.59
"106","Grambling",14,12,0.538,-17.12,-12.75,1732,1806,0.959025470653378,NA,0.488
"107","Green Bay",17,11,0.607,-1.95,-0.09,1883,1927,0.97716658017644,NA,0.549
"108","Hampton",17,13,0.567,-9.2,-10.96,1973,1920,1.02760416666667,NA,0.511
"109","Hartford",8,20,0.286,-15.12,-4.23,1665,1954,0.852098259979529,NA,0.457
