"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",10,21,0.323,-2.99,2.37,1821,1936,0.940599173553719,NA,0.547
"2","Akron",23,13,0.639,3.37,-2.01,2403,2171,1.10686319668356,NA,0.522
"3","Alabama A&M",8,19,0.296,-19.72,-11.63,1761,1954,0.901228249744115,NA,0.471
"4","Alabama-Birmingham",22,12,0.647,10.05,3.67,2461,2244,1.09670231729055,NA,0.546
"5","Alabama State",22,10,0.688,-6.13,-11.2,2202,2025,1.08740740740741,NA,0.539
"6","Alabama",18,14,0.563,5.49,3.99,2349,2254,1.04214729370009,NA,0.522
"7","Albany (NY)",15,16,0.484,-6.63,-4.11,1984,2038,0.973503434739941,NA,0.498
"8","Alcorn State",6,25,0.194,-25.55,-10.26,2156,2588,0.833075734157651,NA,0.482
"9","American",24,8,0.75,-0.05,-5.49,2065,1891,1.09201480698043,NA,0.556
"10","Appalachian State",13,18,0.419,-8.44,-5.44,2356,2381,0.9895002099958,NA,0.557
"11","Arizona State",25,10,0.714,16.7,7.82,2428,2117,1.14690599905527,NA,0.597
"12","Arizona",21,14,0.6,11.88,8.8,2529,2421,1.04460966542751,NA,0.567
"13","Arkansas-Little Rock",23,8,0.742,-0.66,-3.72,2059,1964,1.04837067209776,NA,0.534
"14","Arkansas-Pine Bluff",13,18,0.419,-15.45,-7.48,1943,2190,0.887214611872146,NA,0.468
"15","Arkansas State",13,17,0.433,-5.42,-4.31,1996,1948,1.02464065708419,NA,0.51
"16","Arkansas",14,16,0.467,3.79,3.89,2238,2213,1.01129688206055,NA,0.522
"17","Army",11,19,0.367,-10.11,-7.59,1741,1823,0.955019199122326,NA,0.499
"18","Auburn",24,12,0.667,9.93,3.56,2620,2354,1.11299915038233,NA,0.525
"19","Austin Peay",19,14,0.576,-4.2,-3.69,2485,2449,1.01469987750102,NA,0.561
"20","Ball State",14,17,0.452,-5.5,-3.02,1795,1852,0.969222462203024,NA,0.483
"21","Baylor",24,15,0.615,12.54,7.93,2965,2732,1.08528550512445,NA,0.573
"22","Belmont",20,13,0.606,0.39,-1.37,2528,2334,1.08311910882605,NA,0.555
"23","Bethune-Cookman",17,16,0.515,-12.41,-9.76,1926,1941,0.992272024729521,NA,0.472
"24","Binghamton",23,9,0.719,-3.27,-5.62,2239,2156,1.03849721706865,NA,0.53
"25","Boise State",19,13,0.594,-0.95,0.54,2329,2315,1.0060475161987,NA,0.553
"26","Boston College",22,12,0.647,10.36,7.23,2528,2397,1.0546516478932,NA,0.538
"27","Boston University",17,13,0.567,-2.61,-4.91,2058,1989,1.03469079939668,NA,0.536
"28","Bowling Green State",19,14,0.576,0.09,-1.75,2126,2020,1.05247524752475,NA,0.517
"29","Bradley",21,15,0.583,2.48,1.95,2415,2387,1.01173020527859,NA,0.544
"30","Brigham Young",25,8,0.758,15.12,4.15,2544,2150,1.18325581395349,NA,0.579
"31","Brown",9,19,0.321,-12.39,-5.02,1712,1898,0.90200210748156,NA,0.516
"32","Bucknell",7,23,0.233,-11.59,-4.12,1928,2152,0.895910780669145,NA,0.478
"33","Buffalo",21,12,0.636,1.44,-0.9,2155,2078,1.03705486044273,NA,0.495
"34","Butler",26,6,0.813,10.07,2.07,2168,1854,1.16936353829558,NA,0.559
"35","Cal Poly",7,21,0.25,-8.32,-1.32,1822,1964,0.927698574338086,NA,0.5
"36","Cal State Fullerton",15,17,0.469,-4.2,-1.26,2345,2356,0.995331069609508,NA,0.537
"37","Cal State Northridge",17,14,0.548,2.65,-0.14,2282,2178,1.04775022956841,NA,0.544
"38","UC-Davis",13,19,0.406,-4.13,-3.4,2338,2372,0.98566610455312,NA,0.576
"39","UC-Irvine",12,19,0.387,-5.8,-1.8,2028,2134,0.950328022492971,NA,0.532
"40","UC-Riverside",17,13,0.567,-5.22,-3.76,1806,1818,0.993399339933993,NA,0.511
"41","UC-Santa Barbara",16,15,0.516,-1.74,-1.1,2030,2021,1.00445324096982,NA,0.535
"42","University of California",22,11,0.667,13.3,7.21,2472,2271,1.0885072655218,NA,0.575
"43","Campbell",14,16,0.467,-7.97,-3.42,2164,2153,1.00510915002322,NA,0.527
"44","Canisius",11,20,0.355,-6.46,-1.68,1949,2097,0.929422985216977,NA,0.48
"45","Centenary (LA)",8,23,0.258,-8.46,-1.56,1993,2207,0.9030357951971,NA,0.503
"46","Central Connecticut State",13,17,0.433,-10.35,-6.76,1943,2043,0.951052373959863,NA,0.523
"47","Central Florida",17,14,0.548,1.73,1.26,2222,2166,1.0258541089566,NA,0.547
"48","Central Michigan",12,19,0.387,-7.06,-4.15,1928,2018,0.955401387512388,NA,0.502
"49","Charleston Southern",9,20,0.31,-14.07,-5.46,2000,2091,0.956480153036824,NA,0.514
"50","Charlotte",11,20,0.355,0.79,2.47,2130,2182,0.976168652612282,NA,0.503
"51","Chattanooga",18,17,0.514,-6.25,-3.13,2657,2687,0.988835132117603,NA,0.543
"52","Chicago State",19,13,0.594,-5.97,-4.51,2693,2577,1.04501358168413,NA,0.551
"53","Cincinnati",18,14,0.563,7.83,6.77,2187,2123,1.03014601978333,NA,0.512
"54","Citadel",20,13,0.606,-4.48,-5.98,2206,2134,1.03373945641987,NA,0.545
"55","Clemson",23,9,0.719,15.56,6.59,2507,2177,1.15158474965549,NA,0.553
"56","Cleveland State",26,11,0.703,6.97,2.12,2455,2203,1.11438946890604,NA,0.514
"57","Coastal Carolina",11,20,0.355,-11.74,-6.98,2148,2193,0.979480164158687,NA,0.525
"58","Colgate",10,20,0.333,-13.26,-6.12,1701,1895,0.897625329815303,NA,0.492
"59","College of Charleston",27,9,0.75,-1.33,-5.87,2781,2616,1.06307339449541,NA,0.562
"60","Colorado State",9,22,0.29,-1.16,3.88,2142,2300,0.931304347826087,NA,0.526
"61","Colorado",9,22,0.29,-0.06,5.04,1951,2091,0.933046389287422,NA,0.553
"62","Columbia",12,16,0.429,-9.92,-6.46,1689,1740,0.970689655172414,NA,0.486
"63","Connecticut",31,5,0.861,22.17,8.57,2819,2313,1.2187635105923,NA,0.549
"64","Coppin State",13,19,0.406,-9.56,-4.59,2043,2161,0.945395650161962,NA,0.503
"65","Cornell",21,10,0.677,2.71,-4.01,2281,2007,1.13652217239661,NA,0.572
"66","Creighton",27,8,0.771,8.69,0.92,2565,2293,1.11862189271696,NA,0.559
"67","Dartmouth",9,19,0.321,-13.28,-6.03,1750,1897,0.922509225092251,NA,0.489
"68","Davidson",27,8,0.771,8.26,-3.33,2724,2306,1.18126626192541,NA,0.537
"69","Dayton",27,8,0.771,7.16,1.76,2339,2150,1.08790697674419,NA,0.502
