"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Abilene Christian",13,15,0.464,-11.39,-6.81,1937,1992,0.972389558232932,68.1,0.553
"2","Air Force",11,19,0.367,-2.33,0.78,2203,2230,0.987892376681614,68.9,0.546
"3","Akron",24,7,0.774,4.05,-1.45,2407,2188,1.10009140767824,68,0.586
"4","Alabama A&M",2,26,0.071,-26.1,-10.38,1737,2177,0.797887000459348,65.5,0.487
"5","Alabama-Birmingham",16,14,0.533,0.12,-1.4,2182,2106,1.0360873694207,68,0.566
"6","Alabama State",8,21,0.276,-19.36,-10.46,1911,2153,0.887598699489085,69.9,0.478
"7","Alabama",17,12,0.586,11.01,7.01,1999,1883,1.06160382368561,67.8,0.512
"8","Albany (NY)",20,12,0.625,0.17,-4.8,2325,2130,1.09154929577465,65.7,0.558
"9","Alcorn State",16,12,0.571,-12.14,-9.9,1967,1937,1.01548786783686,69.5,0.519
"10","American",8,22,0.267,-9.94,-3.14,1845,2049,0.900439238653001,65.2,0.522
"11","Appalachian State",8,20,0.286,-8.02,-1.02,2067,2122,0.974081055607917,72.6,0.525
"12","Arizona State",14,16,0.467,4.26,6.8,2378,2454,0.969030154849226,73.1,0.551
"13","Arizona",26,4,0.867,17.87,6.97,2259,1932,1.16925465838509,66.9,0.576
"14","Arkansas-Little Rock",15,15,0.5,-5.6,-3.53,2063,2050,1.00634146341463,66.3,0.541
"15","Arkansas-Pine Bluff",7,24,0.226,-22.02,-9.43,1900,2232,0.851254480286738,68.6,0.49
"16","Arkansas State",20,10,0.667,2.08,-1.3,2206,2065,1.0682808716707,69.5,0.547
"17","Arkansas",22,8,0.733,13.59,7.55,2414,2233,1.08105687416032,71.5,0.563
"18","Army",13,19,0.406,-5.5,-3.76,2324,2340,0.993162393162393,72,0.538
"19","Auburn",17,13,0.567,8.73,8.09,2401,2382,1.00797649034425,75.6,0.54
"20","Austin Peay",11,19,0.367,-10.65,-1.97,2331,2515,0.926838966202783,71.8,0.569
"21","Ball State",20,11,0.645,-0.92,-3.55,2461,2342,1.05081127241674,72.6,0.575
"22","Baylor",24,6,0.8,21.15,12.15,2188,1873,1.16817939135077,65.1,0.565
"23","Belmont",22,6,0.786,4.22,-2.38,2167,1938,1.11816305469556,69.1,0.595
"24","Bethune-Cookman",9,21,0.3,-18.56,-10.74,2146,2333,0.919845692241749,70.1,0.498
"25","Binghamton",12,20,0.375,-11.54,-5.33,2175,2270,0.958149779735683,67.4,0.538
"26","Boise State",18,10,0.643,5.64,2.38,2109,1982,1.06407669021191,70.5,0.554
"27","Boston College",9,21,0.3,3.26,8.59,2174,2334,0.931448157669237,72.6,0.542
"28","Boston University",18,13,0.581,-2.09,-3.46,2251,2173,1.03589507593189,69.9,0.549
"29","Bowling Green State",13,18,0.419,-5.24,-1.6,2293,2376,0.96506734006734,72.8,0.514
"30","Bradley",13,20,0.394,-2.59,3.19,2163,2333,0.927132447492499,68.7,0.524
"31","Brigham Young",21,10,0.677,9.9,1.68,2513,2258,1.11293179805137,75.9,0.557
"32","Brown",13,16,0.448,-7.62,-3.5,2197,2246,0.978183437221728,72.1,0.567
"33","Bryant",12,20,0.375,-9.09,-4.83,2373,2478,0.957627118644068,70,0.535
"34","Bucknell",24,8,0.75,5.58,-3.11,2438,2160,1.1287037037037,70.5,0.579
"35","Buffalo",17,14,0.548,1.49,-0.61,2421,2307,1.04941482444733,73.3,0.546
"36","Butler",23,6,0.793,19.21,10.38,2244,1988,1.12877263581489,67.2,0.584
