"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",16,16,0.5,2.71,3.31,2074,2082,0.996157540826129,62.5,0.572
"2","Akron",23,13,0.639,2.15,-1.02,2524,2365,1.06723044397463,67,0.53
"3","Alabama A&M",13,15,0.464,-15.19,-11.75,1808,1870,0.966844919786096,71.6,0.472
"4","Alabama-Birmingham",22,9,0.71,8.55,2.78,2119,1940,1.09226804123711,63.1,0.538
"5","Alabama State",17,18,0.486,-13.37,-10.31,2146,2234,0.960608773500448,66.5,0.476
"6","Alabama",25,12,0.676,11.7,4.27,2473,2198,1.12511373976342,65.3,0.52
"7","Albany (NY)",16,16,0.5,-7.05,-5.96,2013,2048,0.98291015625,61,0.517
"8","Alcorn State",4,24,0.143,-23.02,-8.02,1838,2258,0.813994685562445,77.7,0.452
"9","American",22,9,0.71,-3.13,-5.64,2051,1973,1.03953370501774,61.9,0.543
"10","Appalachian State",16,15,0.516,-4.81,-2.95,2265,2269,0.998237108858528,68.9,0.548
"11","Arizona State",12,19,0.387,4.3,7.2,1983,2073,0.956584659913169,64.4,0.521
"12","Arizona",30,8,0.789,16.54,7.99,2905,2580,1.12596899224806,66.9,0.583
"13","Arkansas-Little Rock",19,17,0.528,-4.32,-2.97,2457,2426,1.01277823577906,65.4,0.528
"14","Arkansas-Pine Bluff",7,24,0.226,-20,-8.03,1850,2221,0.832958126969833,68.4,0.483
"15","Arkansas State",17,15,0.531,-3.38,-3.31,2188,2066,1.05905130687318,65.6,0.526
"16","Arkansas",18,13,0.581,6.28,2.34,2191,2069,1.05896568390527,67.7,0.532
"17","Army",11,19,0.367,-10.71,-6.58,2038,2141,0.951891639420831,68.2,0.525
"18","Auburn",11,20,0.355,-2.47,2.4,1933,2051,0.942467089224768,65.7,0.481
"19","Austin Peay",20,14,0.588,-0.15,-3.77,2510,2279,1.10136024572181,68.6,0.539
"20","Ball State",19,13,0.594,-0.7,-3.4,2164,2049,1.05612493899463,64.7,0.538
"21","Baylor",18,13,0.581,10,4.8,2154,1984,1.08568548387097,66.5,0.552
"22","Belmont",30,5,0.857,13.07,-4.42,2790,2178,1.28099173553719,69.2,0.577
