"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",26,9,0.743,15.19,3.34,2414,1960,1.23163265306122,NA,0.617
"2","Akron",26,7,0.788,10.9,-1.9,2485,2014,1.23386295928501,NA,0.573
"3","Alabama A&M",10,20,0.333,-23.55,-12.38,1856,2052,0.90448343079922,NA,0.466
"4","Alabama-Birmingham",15,16,0.484,3.97,3.83,2051,2016,1.01736111111111,NA,0.513
"5","Alabama State",10,20,0.333,-17.9,-11.54,1826,2007,0.909815645241654,NA,0.462
"6","Alabama",20,12,0.625,10.81,6.24,2369,2223,1.06567701304543,NA,0.547
"7","Albany (NY)",23,10,0.697,-1.6,-4.75,2241,2147,1.04378202142524,NA,0.55
"8","Alcorn State",11,19,0.367,-22.48,-13.23,2012,2265,0.888300220750552,NA,0.496
"9","American",16,14,0.533,-2.68,-4.38,1945,1865,1.04289544235925,NA,0.524
"10","Appalachian State",25,8,0.758,4.68,-1.19,2508,2239,1.12014292094685,NA,0.569
"11","Arizona State",8,22,0.267,3.31,7.95,1755,1853,0.947112790070156,NA,0.502
"12","Arizona",20,11,0.645,16.24,10.76,2417,2247,1.07565643079662,NA,0.57
"13","Arkansas-Little Rock",13,17,0.433,-9.87,-5.56,1979,2075,0.953734939759036,NA,0.518
"14","Arkansas-Pine Bluff",12,19,0.387,-17.21,-10.86,1862,2022,0.920870425321464,NA,0.459
"15","Arkansas State",15,15,0.5,-6.47,-5.63,2392,2375,1.00715789473684,NA,0.553
"16","Arkansas",21,14,0.6,13.77,8.75,2487,2311,1.07615750757248,NA,0.551
"17","Army",15,16,0.484,-9.06,-4.52,1896,1892,1.00211416490486,NA,0.528
"18","Auburn",17,15,0.531,6.77,7.47,2340,2307,1.01430429128739,NA,0.537
"19","Austin Peay",21,12,0.636,-3.45,-5.09,2310,2211,1.04477611940298,NA,0.537
"20","Ball State",9,22,0.29,-4.47,1.03,1848,1974,0.936170212765957,NA,0.469
"21","Baylor",15,16,0.484,5.42,3.88,2333,2262,1.03138815207781,NA,0.556
"22","Belmont",23,10,0.697,-0.39,-4.71,2390,2128,1.12312030075188,NA,0.565
"23","Bethune-Cookman",9,21,0.3,-20.71,-9.53,1631,1925,0.847272727272727,NA,0.467
"24","Binghamton",13,16,0.448,-8.06,-6.96,1905,1918,0.993222106360792,NA,0.52
"25","Boise State",17,14,0.548,3,0,2360,2234,1.05640107430618,NA,0.546
"26","Boston College",21,12,0.636,13.76,9.21,2453,2303,1.0651324359531,NA,0.573
"27","Boston University",12,18,0.4,-4.62,-4.65,1802,1801,1.00055524708495,NA,0.522
"28","Bowling Green State",13,18,0.419,-5.48,-1.08,2062,2137,0.964904071127749,NA,0.532
"29","Bradley",22,13,0.629,10.89,7.22,2616,2475,1.0569696969697,NA,0.568
"30","Brigham Young",25,9,0.735,11.38,3.95,2654,2347,1.13080528334043,NA,0.575
"31","Brown",11,18,0.379,-7.03,-4.21,1759,1840,0.955978260869565,NA,0.565
"32","Bucknell",22,9,0.71,2.84,-3.03,1965,1791,1.09715242881072,NA,0.574
"33","Buffalo",12,19,0.387,-3.92,-0.15,2109,2226,0.94743935309973,NA,0.504
"34","Butler",29,7,0.806,14.34,3.94,2434,2056,1.18385214007782,NA,0.569
"35","Cal Poly",19,11,0.633,-2.33,-3.83,2265,2160,1.04861111111111,NA,0.563
"36","Cal State Fullerton",20,10,0.667,-1.91,-5.3,2462,2291,1.07463989524225,NA,0.542
"37","Cal State Northridge",14,17,0.452,-6.12,-1.88,2340,2353,0.994475138121547,NA,0.534
"38","UC-Irvine",15,18,0.455,-3.77,-1.43,2186,2210,0.989140271493213,NA,0.551
"39","UC-Riverside",7,24,0.226,-15.19,-3.08,1991,2249,0.885282347710093,NA,0.486
"40","UC-Santa Barbara",18,11,0.621,-0.81,-3.47,2065,1955,1.05626598465473,NA,0.565
"41","University of California",16,17,0.485,8.64,8.67,2293,2281,1.00526085050416,NA,0.547
"42","Campbell",14,17,0.452,-10.88,-5.42,2433,2446,0.994685200327065,NA,0.557
"43","Canisius",12,19,0.387,-8.22,-5.16,2154,2249,0.957759004001779,NA,0.508
"44","Centenary (LA)",10,21,0.323,-9.17,-2.62,2125,2328,0.912800687285223,NA,0.529
"45","Central Connecticut State",22,12,0.647,-3.63,-6.48,2344,2247,1.04316866933689,NA,0.545
"46","Central Florida",22,9,0.71,4.74,-1.48,2258,2020,1.11782178217822,NA,0.58
"47","Central Michigan",13,18,0.419,-5.34,-0.6,2035,2182,0.93263061411549,NA,0.536
"48","Charleston Southern",8,22,0.267,-15.08,-3.04,2043,2198,0.929481346678799,NA,0.52
"49","Charlotte",14,16,0.467,-0.29,1.38,2101,2151,0.9767549976755,NA,0.516
"50","Chattanooga",15,18,0.455,-5.94,-2.18,2261,2256,1.00221631205674,NA,0.525
"51","Chicago State",9,20,0.31,-6.59,1.3,2110,2252,0.936944937833037,NA,0.532
"52","Cincinnati",11,19,0.367,3.8,6.97,1937,2032,0.953248031496063,NA,0.488
"53","Citadel",7,23,0.233,-14.84,-0.81,1758,2041,0.861342479176874,NA,0.496
"54","Clemson",25,11,0.694,15.35,7.82,2636,2365,1.11458773784355,NA,0.536
"55","Cleveland State",10,21,0.323,-6.59,1.31,1974,2129,0.927195866604039,NA,0.489
"56","Coastal Carolina",15,15,0.5,-7.2,-5.66,2231,2141,1.04203643157403,NA,0.538
"57","Colgate",10,19,0.345,-10.27,-4.3,1652,1771,0.932806324110672,NA,0.49
"58","College of Charleston",22,11,0.667,0.7,-3.06,2290,2166,1.05724838411819,NA,0.543
