"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Abilene Christian",10,21,0.323,-17.2,-6.34,1976,2186,0.903934126258006,65.9,0.516
"2","Air Force",14,17,0.452,-1.85,-0.71,2037,2017,1.00991571641051,61.1,0.567
"3","Akron",21,14,0.6,3.65,-0.47,2382,2203,1.0812528370404,64.7,0.523
"4","Alabama A&M",9,20,0.31,-17.15,-9.62,1797,1988,0.903923541247485,64.5,0.489
"5","Alabama-Birmingham",20,16,0.556,1.94,1.62,2476,2452,1.00978792822186,65.9,0.52
"6","Alabama State",19,10,0.655,-8.97,-12.71,2090,1937,1.07898812596799,69.8,0.515
"7","Alabama",19,15,0.559,10.52,8.09,2280,2180,1.04587155963303,63.1,0.548
"8","Albany (NY)",24,9,0.727,-0.34,-5.18,2156,1996,1.08016032064128,61.2,0.546
"9","Alcorn State",6,26,0.188,-20.75,-9.95,2066,2377,0.86916281026504,68.2,0.47
"10","American",17,16,0.515,-3.56,-3.71,1938,1933,1.00258665287118,57.1,0.563
"11","Appalachian State",12,17,0.414,-9.81,-3.18,1841,2033,0.905558288243974,66.5,0.496
"12","Arizona State",18,16,0.529,9.52,6.66,2360,2263,1.04286345558992,66,0.541
"13","Arizona",34,4,0.895,24.33,7.41,2911,2268,1.28350970017637,66.5,0.575
"14","Arkansas-Little Rock",13,18,0.419,-5.38,-3.81,2146,2180,0.984403669724771,65.5,0.516
"15","Arkansas-Pine Bluff",12,20,0.375,-15.65,-8.61,1915,2140,0.894859813084112,64.7,0.5
"16","Arkansas State",11,18,0.379,-10.1,-3.81,1869,2018,0.926164519326065,66.9,0.496
"17","Arkansas",27,9,0.75,14.07,6.79,2787,2525,1.10376237623762,70.1,0.539
"18","Army",15,15,0.5,-6.5,-4.98,2164,2163,1.00046232085067,69,0.532
"19","Auburn",15,20,0.429,3.27,8.15,2378,2523,0.942528735632184,67.9,0.514
"20","Austin Peay",8,22,0.267,-12.45,-2.81,1937,2178,0.889348025711662,68.2,0.486
"21","Ball State",7,23,0.233,-5.06,0.04,1961,2070,0.947342995169082,64,0.531
"22","Baylor",24,10,0.706,17.85,9.33,2349,2048,1.14697265625,62.8,0.53
"23","Belmont",22,11,0.667,0.35,-2.77,2450,2330,1.05150214592275,67.5,0.589
"24","Bethune-Cookman",11,21,0.344,-15.52,-10.45,1899,2003,0.948077883175237,61.3,0.503
"25","Binghamton",6,26,0.188,-13.45,-3.49,1845,2124,0.86864406779661,63.4,0.488
"26","Boise State",25,9,0.735,10.01,1.38,2390,2045,1.16870415647922,62.4,0.568
"27","Boston College",13,19,0.406,6.32,7.94,2105,2157,0.975892443208159,63.9,0.541
"28","Boston University",13,17,0.433,-5.63,-3.12,2037,2087,0.976042165788213,63.7,0.56
"29","Bowling Green State",21,12,0.636,2.93,-1.25,2196,2076,1.05780346820809,63.8,0.527
"30","Bradley",9,24,0.273,-4.3,1.52,1882,2026,0.928923988153998,61.1,0.469
"31","Brigham Young",25,10,0.714,13.53,5.02,2931,2561,1.14447481452558,70.7,0.584
"32","Brown",13,18,0.419,-7.23,-1.99,2048,2144,0.955223880597015,67.6,0.52
"33","Bryant",16,15,0.516,-6.28,-4.93,2058,2100,0.98,63.8,0.529
"34","Bucknell",19,15,0.559,-3.66,-2.75,2339,2346,0.997016197783461,64.1,0.538
"35","Buffalo",23,10,0.697,7.93,1.6,2462,2253,1.09276520195295,68.7,0.533
