"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",24,7,0.774,10.2,2.49,1990,1695,1.1740412979351,NA,0.609
"2","Akron",23,10,0.697,5,0.13,2407,2180,1.10412844036697,NA,0.56
"3","Alabama A&M",13,13,0.5,-9.12,-10.43,1917,1872,1.02403846153846,NA,0.5
"4","Alabama-Birmingham",24,7,0.774,9.64,1.57,2306,2035,1.13316953316953,NA,0.539
"5","Alabama State",12,18,0.4,-12.98,-8.58,1985,2117,0.93764761454889,NA,0.493
"6","Alabama",18,13,0.581,10.79,8.08,2178,2094,1.04011461318052,NA,0.547
"7","Albany (NY)",21,11,0.656,-0.44,-4.25,2194,2065,1.06246973365617,NA,0.553
"8","Alcorn State",8,20,0.286,-15.11,-8.03,1848,2046,0.903225806451613,NA,0.509
"9","American",12,17,0.414,-8.49,-4.32,1850,1971,0.938609842719432,NA,0.505
"10","Appalachian State",14,16,0.467,-7.61,-4.79,2100,2113,0.993847610033128,NA,0.535
"11","Arizona State",11,17,0.393,4.36,7.18,1878,1958,0.959141981613892,NA,0.525
"12","Arizona",20,13,0.606,15.12,10.09,2433,2267,1.07322452580503,NA,0.517
"13","Arkansas-Little Rock",14,15,0.483,-4.67,-3.14,1861,1899,0.979989468141127,NA,0.499
"14","Arkansas-Pine Bluff",13,16,0.448,-12.48,-10.81,1829,1851,0.988114532685035,NA,0.487
"15","Arkansas State",12,18,0.4,-5.49,-1.45,2189,2259,0.969012837538734,NA,0.545
"16","Arkansas",22,10,0.688,15.01,6.17,2359,2076,1.13631984585742,NA,0.541
"17","Army",5,22,0.185,-19.89,-5.69,1491,1790,0.832960893854749,NA,0.491
"18","Auburn",12,16,0.429,4.92,7.06,1836,1896,0.968354430379747,NA,0.522
"19","Austin Peay",17,14,0.548,-5.68,-6.29,2228,2209,1.00860117700317,NA,0.553
"20","Ball State",10,18,0.357,-3.53,-0.6,1779,1821,0.976935749588138,NA,0.509
"21","Baylor",4,13,0.235,2.3,11.65,1074,1233,0.871046228710462,NA,0.504
"22","Belmont",20,11,0.645,-3.53,-6.72,2499,2356,1.0606960950764,NA,0.588
"23","Bethune-Cookman",15,15,0.5,-13.66,-10.49,1962,2057,0.953816237238697,NA,0.499
"24","Binghamton",16,13,0.552,-4.73,-5.52,1812,1783,1.01626472237801,NA,0.485
"25","Birmingham-Southern",19,9,0.679,-5.81,-8.12,1922,1794,1.07134894091416,NA,0.567
"26","Boise State",14,15,0.483,0.83,1.09,2095,2049,1.02244997559785,NA,0.541
"27","Boston College",28,8,0.778,13.79,6.1,2671,2383,1.12085606378514,NA,0.567
"28","Boston University",12,16,0.429,-4.45,-3.77,1650,1669,0.988615937687238,NA,0.493
"29","Bowling Green State",9,21,0.3,-7.83,0.38,1978,2142,0.9234360410831,NA,0.545
"30","Bradley",22,11,0.667,11.78,5.38,2359,2148,1.09823091247672,NA,0.524
"31","Brigham Young",20,9,0.69,7.19,3.19,2209,2078,1.06304138594803,NA,0.556
"32","Brown",10,17,0.37,-11.37,-6.66,1613,1740,0.927011494252874,NA,0.505
"33","Bucknell",27,5,0.844,7.29,-2.29,2114,1785,1.1843137254902,NA,0.563
"34","Buffalo",19,13,0.594,-0.1,-1.22,2317,2247,1.03115264797508,NA,0.548
"35","Butler",20,13,0.606,6.22,0.44,2254,2032,1.10925196850394,NA,0.567
"36","Cal Poly",10,19,0.345,-6,-0.56,1907,2052,0.929337231968811,NA,0.522
"37","Cal State Fullerton",16,13,0.552,-2.24,-3.07,2293,2183,1.05038937242327,NA,0.549
"38","Cal State Northridge",11,17,0.393,-8.67,-1.46,1986,2072,0.958494208494209,NA,0.534
"39","UC-Irvine",16,13,0.552,2.45,-1.87,2068,1967,1.05134722928317,NA,0.586
"40","UC-Riverside",5,23,0.179,-13.83,-0.75,1885,2215,0.851015801354402,NA,0.479
"41","UC-Santa Barbara",15,14,0.517,-2.07,-1.34,1930,1915,1.00783289817232,NA,0.533
"42","University of California",20,11,0.645,12.31,8.84,2128,2000,1.064,NA,0.549
"43","Campbell",10,18,0.357,-12.28,-8.11,2319,2408,0.963039867109635,NA,0.538
"44","Canisius",9,20,0.31,-6.04,-1.8,2050,2173,0.943396226415094,NA,0.543
"45","Centenary (LA)",4,23,0.148,-15.59,-3.78,1796,2092,0.858508604206501,NA,0.53
"46","Central Connecticut State",18,11,0.621,-2.14,-6.76,2102,1968,1.06808943089431,NA,0.551
"47","Central Florida",14,15,0.483,-2.25,-0.69,1836,1839,0.99836867862969,NA,0.526
"48","Central Michigan",4,24,0.143,-12.38,-1.01,1681,1941,0.866048428645028,NA,0.497
"49","Charleston Southern",13,16,0.448,-10.72,-6.6,2027,2059,0.984458474987858,NA,0.519
"50","Charlotte",19,13,0.594,4.72,1.97,2234,2146,1.04100652376514,NA,0.504
"51","Chattanooga",19,13,0.594,-7.55,-5.22,2320,2245,1.03340757238307,NA,0.532
"52","Chicago State",11,19,0.367,-7.2,-2.13,2060,2212,0.93128390596745,NA,0.512
"53","Cincinnati",21,13,0.618,12.95,8.41,2530,2359,1.07248834251802,NA,0.519
"54","Citadel",10,21,0.323,-20.84,-7.76,2088,2249,0.928412627834593,NA,0.491
"55","Clemson",19,13,0.594,10.3,4.97,2378,2172,1.09484346224678,NA,0.519
"56","Cleveland State",10,18,0.357,-8.2,-0.08,1803,1941,0.928902627511592,NA,0.482
"57","Coastal Carolina",20,10,0.667,-5.78,-7.09,2144,2006,1.06879361914257,NA,0.566
"58","Colgate",10,19,0.345,-10.72,-5.61,1690,1790,0.94413407821229,NA,0.501
"59","College of Charleston",17,11,0.607,-4.12,-5.83,2052,1861,1.10263299301451,NA,0.517
"60","Colorado State",16,15,0.516,3.97,4.27,2294,2219,1.03379900856242,NA,0.584
"61","Colorado",20,10,0.667,11.17,4.57,2305,2107,1.09397247271001,NA,0.521
"62","Columbia",11,16,0.407,-11.32,-6.32,1729,1819,0.950522264980759,NA,0.541
"63","Connecticut",30,4,0.882,21.22,6.57,2781,2283,1.21813403416557,NA,0.556
"64","Coppin State",12,18,0.4,-10.9,-6.07,1919,2064,0.929748062015504,NA,0.491
"65","Cornell",13,15,0.464,-6.67,-5.19,1762,1776,0.992117117117117,NA,0.528
"66","Creighton",20,10,0.667,10.11,4.88,1982,1825,1.08602739726027,NA,0.526
"67","Dartmouth",6,21,0.222,-12.66,-5.43,1632,1815,0.899173553719008,NA,0.498
"68","Davidson",20,11,0.645,1.89,-3.04,2403,2137,1.12447356106692,NA,0.56
"69","Dayton",14,17,0.452,3.07,2.04,1964,1916,1.02505219206681,NA,0.513
"70","Delaware State",21,14,0.6,-6.13,-6.22,2014,2011,1.0014917951268,NA,0.53
"71","Delaware",9,21,0.3,-5.31,-0.54,1983,2126,0.932737535277516,NA,0.504
"72","Denver",16,15,0.516,-1.19,-1.42,2060,2045,1.00733496332518,NA,0.54
"73","DePaul",12,15,0.444,6.52,8.74,1752,1812,0.966887417218543,NA,0.521
"74","Detroit Mercy",16,16,0.5,-2.37,0.07,2034,2083,0.976476236197792,NA,0.52
"75","Drake",12,19,0.387,2.45,5.48,2139,2134,1.00234301780694,NA,0.522
"76","Drexel",15,16,0.484,3.72,1.17,1930,1851,1.04267963263101,NA,0.477
"77","Duke",32,4,0.889,21.77,8.77,2921,2453,1.19078679168365,NA,0.598
"78","Duquesne",3,24,0.111,-10.21,1.09,1786,2091,0.854136776661884,NA,0.512
"79","East Carolina",8,20,0.286,-7.66,-1.27,1747,1874,0.932230522945571,NA,0.491
"80","East Tennessee State",15,13,0.536,-7.26,-9.14,2284,2185,1.04530892448513,NA,0.539
"81","Eastern Illinois",6,21,0.222,-14.55,-5.85,1599,1834,0.871864776444929,NA,0.504
"82","Eastern Kentucky",14,16,0.467,-8.8,-4.97,2105,2174,0.968261269549218,NA,0.562
"83","Eastern Michigan",7,21,0.25,-7.32,-1.43,1835,2016,0.910218253968254,NA,0.551
"84","Eastern Washington",15,15,0.5,-0.84,-0.02,2223,2221,1.0009004952724,NA,0.567
"85","Elon",15,14,0.517,-7.48,-3.45,1946,1977,0.984319676277188,NA,0.525
"86","Evansville",10,19,0.345,-2.08,3.54,1895,2058,0.920796890184645,NA,0.527
"87","Fairfield",9,19,0.321,-6.23,-0.05,2018,2191,0.921040620721132,NA,0.532
"88","Fairleigh Dickinson",20,12,0.625,-3.15,-5.28,2377,2265,1.04944812362031,NA,0.535
"89","Florida A&M",14,17,0.452,-13.56,-8.06,2072,2230,0.92914798206278,NA,0.523
"90","Florida Atlantic",15,13,0.536,-9.68,-8.43,2055,2037,1.00883652430044,NA,0.567
"91","Florida International",8,20,0.286,-9.49,-0.07,1727,1940,0.89020618556701,NA,0.491
"92","Florida State",20,10,0.667,12.36,4.86,2302,2077,1.10832932113625,NA,0.569
"93","Florida",33,6,0.846,20.21,5.49,3052,2478,1.2316384180791,NA,0.603
"94","Fordham",16,16,0.5,1.58,1.24,2168,2157,1.0050996754752,NA,0.529
"95","Fresno State",15,13,0.536,1.73,1.59,2067,2063,1.00193892389724,NA,0.522
"96","Furman",15,13,0.536,-7.56,-6.38,2021,1921,1.05205622071838,NA,0.568
"97","Gardner-Webb",17,12,0.586,-10.55,-6.71,2002,2073,0.965750120598167,NA,0.551
"98","George Mason",27,8,0.771,12.11,2.77,2429,2102,1.15556612749762,NA,0.56
