"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"99","George Washington",27,3,0.9,9.63,-0.33,2360,2026,1.16485686080948,NA,0.543
"100","Georgetown",23,10,0.697,13.98,6.92,2177,1944,1.11985596707819,NA,0.562
"101","Georgia Southern",20,10,0.667,-3.12,-5.8,2325,2180,1.06651376146789,NA,0.542
"102","Georgia State",7,22,0.241,-5.62,0.59,1888,2068,0.912959381044487,NA,0.504
"103","Georgia Tech",11,17,0.393,5.45,5.7,2012,2019,0.996532937097573,NA,0.535
"104","Georgia",15,15,0.5,5.05,5.65,2110,2128,0.991541353383459,NA,0.514
"105","Gonzaga",29,4,0.879,12.32,5.02,2643,2402,1.10033305578684,NA,0.579
"106","Grambling",14,13,0.519,-14.42,-10.58,1828,1875,0.974933333333333,NA,0.493
"107","Green Bay",15,16,0.484,-3.72,0.11,2068,2126,0.97271872060207,NA,0.531
"108","Hampton",16,16,0.5,-10.17,-12.56,2120,2047,1.03566194430874,NA,0.49
"109","Hartford",13,15,0.464,-7.15,-6.61,1890,1897,0.996309963099631,NA,0.513
"110","Harvard",13,14,0.481,-7.33,-5.4,1807,1844,0.979934924078091,NA,0.514
"111","Hawaii",17,11,0.607,5.5,2.29,1893,1803,1.04991680532446,NA,0.53
"112","High Point",16,13,0.552,-8.24,-6.4,2187,2109,1.03698435277383,NA,0.547
"113","Hofstra",26,7,0.788,6.66,0.93,2405,2216,1.08528880866426,NA,0.54
"114","Holy Cross",20,12,0.625,2.21,-3.7,2124,1935,1.09767441860465,NA,0.527
"115","Houston",21,10,0.677,7.33,1.97,2245,2015,1.11414392059553,NA,0.508
"116","Howard",7,22,0.241,-16.1,-10.37,1883,2049,0.918984870668619,NA,0.522
"117","Idaho State",13,14,0.481,-4.49,-1.22,2125,2091,1.01626016260163,NA,0.561
"118","Idaho",4,25,0.138,-10.34,3.28,1752,2089,0.838678793681187,NA,0.488
"119","Illinois-Chicago",16,15,0.516,-1.48,-0.18,2130,2170,0.981566820276498,NA,0.518
"120","Illinois State",9,19,0.321,-0.15,3.71,1554,1654,0.939540507859734,NA,0.485
"121","Illinois",26,7,0.788,17.2,6.29,2311,1937,1.19308208569954,NA,0.543
"122","Indiana State",13,16,0.448,-1.06,4.19,1864,1987,0.938097634625063,NA,0.509
"123","Indiana",19,12,0.613,12.1,7.36,2231,2084,1.07053742802303,NA,0.564
"124","Iona",23,8,0.742,6.86,-0.78,2475,2238,1.1058981233244,NA,0.565
"125","Iowa State",16,14,0.533,9.44,7.3,2320,2239,1.03617686467173,NA,0.531
"126","Iowa",25,9,0.735,14.18,6.8,2254,2003,1.12531203195207,NA,0.525
"127","IPFW",10,18,0.357,-11.33,-0.07,1786,1940,0.920618556701031,NA,0.513
"128","IUPUI",19,10,0.655,-3.02,-5.13,2024,1935,1.04599483204134,NA,0.549
"129","Jackson State",15,17,0.469,-11.13,-8.84,2294,2356,0.973684210526316,NA,0.504
"130","Jacksonville State",16,13,0.552,-5.82,-5.82,2220,2193,1.01231190150479,NA,0.562
"131","Jacksonville",1,26,0.037,-19.6,-5.73,1983,2325,0.852903225806452,NA,0.521
"132","James Madison",5,23,0.179,-12.74,0.93,1803,2176,0.828584558823529,NA,0.481
"133","Kansas State",15,13,0.536,8.96,6.35,1911,1788,1.06879194630872,NA,0.525
"134","Kansas",25,8,0.758,20.02,7.6,2480,2024,1.22529644268775,NA,0.553
"135","Kent State",25,9,0.735,6.27,0,2458,2239,1.09781152300134,NA,0.548
"136","Kentucky",22,13,0.629,13.12,8.88,2477,2316,1.06951640759931,NA,0.537
"137","La Salle",18,10,0.643,4.11,0.25,1941,1833,1.05891980360065,NA,0.54
"138","Lafayette",11,17,0.393,-11.65,-4.3,1860,2025,0.918518518518519,NA,0.532
"139","Lamar",17,14,0.548,-3.41,-4.88,2487,2378,1.04583683767872,NA,0.536
"140","Lehigh",19,12,0.613,-4,-4.96,1925,1868,1.03051391862955,NA,0.512
"141","Liberty",7,23,0.233,-17.86,-4.42,1915,2173,0.881270133456052,NA,0.494
"142","Lipscomb",21,11,0.656,-4.81,-8.78,2329,2157,1.07974038015763,NA,0.547
"143","Long Beach State",18,12,0.6,-0.77,-1.66,2498,2384,1.04781879194631,NA,0.554
"144","Long Island University",12,16,0.429,-10.44,-6.75,1931,2003,0.964053919121318,NA,0.519
"145","Louisiana-Lafayette",13,16,0.448,-1.31,0.59,1936,1991,0.972375690607735,NA,0.524
"146","Louisiana-Monroe",10,18,0.357,-10.47,-1.11,1821,1983,0.918305597579425,NA,0.502
"147","Louisiana State",27,9,0.75,17.54,8.77,2633,2299,1.14528055676381,NA,0.534
"148","Louisiana Tech",20,13,0.606,4.32,2.55,2182,2083,1.04752760441671,NA,0.485
"149","Louisville",21,13,0.618,11.26,6.5,2376,2196,1.08196721311475,NA,0.535
"150","Loyola (IL)",19,11,0.633,-0.12,-1.08,2152,2095,1.0272076372315,NA,0.55
"151","Loyola Marymount",12,18,0.4,1.16,3.68,2178,2238,0.973190348525469,NA,0.5
"152","Loyola (MD)",15,13,0.536,-4.14,-2.85,2152,2188,0.983546617915905,NA,0.548
"153","Maine",12,16,0.429,-13.21,-6.75,1812,1906,0.950682056663169,NA,0.52
"154","Manhattan",20,11,0.645,0.87,0,2380,2338,1.01796407185629,NA,0.545
"155","Marist",19,10,0.655,2.2,-2.25,2230,2101,1.06139933365064,NA,0.59
"156","Marquette",20,11,0.645,11.33,8.16,2325,2150,1.08139534883721,NA,0.558
"157","Marshall",12,16,0.429,-5.05,-1.56,1845,1936,0.952995867768595,NA,0.499
"158","Maryland-Baltimore County",10,19,0.345,-8.44,-5.24,1940,2033,0.954254795868175,NA,0.513
"159","Maryland-Eastern Shore",7,22,0.241,-20.45,-10.16,1882,2167,0.868481772035071,NA,0.473
"160","Maryland",19,13,0.594,10.73,6.73,2505,2352,1.06505102040816,NA,0.535
"161","Massachusetts",13,15,0.464,3.74,2.63,1816,1785,1.01736694677871,NA,0.519
"162","McNeese State",14,14,0.5,-6.64,-3.64,2015,2029,0.993100049285362,NA,0.507
"163","Memphis",33,4,0.892,18.81,4.24,2961,2422,1.22254335260116,NA,0.544
"164","Mercer",9,19,0.321,-18.91,-10.12,2058,2256,0.912234042553192,NA,0.523
"165","Miami (FL)",18,16,0.529,9.79,7,2308,2213,1.04292815183009,NA,0.526
"166","Miami (OH)",18,11,0.621,3.88,1.15,1822,1743,1.04532415375789,NA,0.555
"167","Michigan State",22,12,0.647,12.24,7.27,2520,2334,1.07969151670951,NA,0.572
"168","Michigan",22,11,0.667,12.19,7.04,2367,2197,1.07737824305872,NA,0.578
"169","Middle Tennessee",16,12,0.571,-1.7,-1.17,1977,1940,1.01907216494845,NA,0.538
"170","Milwaukee",22,9,0.71,7.65,1.47,2294,2061,1.11305191654537,NA,0.528
"171","Minnesota",16,15,0.516,7.67,7.29,2046,2003,1.02146779830255,NA,0.513
"172","Mississippi State",15,15,0.5,5.16,5.66,2043,2058,0.992711370262391,NA,0.519
"173","Mississippi Valley State",9,19,0.321,-17.46,-8.99,1713,1957,0.875319366377108,NA,0.497
"174","Mississippi",14,16,0.467,1.68,4.35,1951,2031,0.960610536681438,NA,0.519
"175","Missouri-Kansas City",14,14,0.5,-9.52,-4.87,1974,2091,0.944045911047346,NA,0.53
"176","Missouri State",22,9,0.71,12.99,5.19,2301,2059,1.11753278290432,NA,0.55
"177","Missouri",12,16,0.429,1.99,6.13,1856,1972,0.941176470588235,NA,0.513
"178","Monmouth",19,15,0.559,-2.99,-4.05,2191,2155,1.01670533642691,NA,0.53
"179","Montana State",15,15,0.5,-4.59,-2.17,2195,2211,0.992763455450023,NA,0.559
"180","Montana",24,7,0.774,4.86,-0.96,2449,2202,1.11217075386013,NA,0.586
"181","Morehead State",4,23,0.148,-20.31,-5.43,1679,2026,0.828726554787759,NA,0.506
"182","Morgan State",4,26,0.133,-27.25,-7.75,1644,2231,0.736889287315105,NA,0.445
"183","Mount St. Mary's",13,17,0.433,-7.45,-5.58,1939,1995,0.971929824561404,NA,0.508
"184","Murray State",24,7,0.774,4.16,-5.07,2203,1901,1.15886375591794,NA,0.536
"185","Navy",10,18,0.357,-12.6,-6.16,1899,1996,0.951402805611222,NA,0.511
"186","Nebraska",19,14,0.576,6.31,6.74,2201,2180,1.00963302752294,NA,0.511
"187","Nevada-Las Vegas",17,13,0.567,7.51,4.51,2084,1994,1.04513540621866,NA,0.524
"188","Nevada",27,6,0.818,10.16,2.26,2401,2103,1.14170233000476,NA,0.54
"189","New Hampshire",12,17,0.414,-10.2,-4.93,1720,1873,0.918312867058195,NA,0.545
"190","New Mexico State",16,14,0.533,2.24,2.97,2106,2095,1.00525059665871,NA,0.544
"191","New Mexico",17,13,0.567,5.18,2.98,1939,1873,1.03523758675921,NA,0.546
"192","New Orleans",10,19,0.345,-6.42,0.21,1912,2039,0.937714565963708,NA,0.514
"193","Niagara",11,18,0.379,-3.49,-0.87,2138,2214,0.965672990063234,NA,0.529
"194","Nicholls State",9,18,0.333,-14.94,-3.82,1897,2154,0.880687093779016,NA,0.532
"195","Norfolk State",13,18,0.419,-11.86,-8.63,1918,2018,0.950445986124876,NA,0.483
"196","North Carolina-Asheville",9,19,0.321,-14.27,-4,1885,2121,0.888731730315889,NA,0.516
"197","North Carolina A&T",6,23,0.207,-18.19,-8.62,1790,2064,0.867248062015504,NA,0.47
"198","North Carolina-Greensboro",12,19,0.387,-10.69,-4.72,2132,2239,0.952210808396606,NA,0.528
"199","North Carolina State",22,10,0.688,12.7,5.63,2383,2157,1.10477515067223,NA,0.588
"200","North Carolina-Wilmington",25,8,0.758,8.9,0.57,2250,1975,1.13924050632911,NA,0.523
"201","North Carolina",23,8,0.742,18.48,7.77,2460,2128,1.15601503759399,NA,0.57
"202","North Texas",14,14,0.5,-4.08,-1.88,2144,2077,1.03225806451613,NA,0.523
"203","Northeastern",19,11,0.633,3.19,-0.3,2256,2107,1.07071665875653,NA,0.548
"204","Northern Arizona",21,11,0.656,-1.43,-1.35,2444,2262,1.08045977011494,NA,0.585
"205","Northern Illinois",17,11,0.607,2.75,-0.03,2006,1894,1.05913410770855,NA,0.581
"206","Northern Iowa",23,10,0.697,11.55,5.13,2165,1907,1.13529103303618,NA,0.555
"207","Northwestern State",26,8,0.765,4.01,-1.38,2573,2365,1.08794926004228,NA,0.547
"208","Northwestern",14,15,0.483,3.89,6.44,1696,1697,0.999410724808486,NA,0.543
"209","Notre Dame",16,14,0.533,12.35,6.68,2291,2121,1.08015087223008,NA,0.568
"210","Oakland",11,18,0.379,-9.01,-3.71,2142,2241,0.955823293172691,NA,0.543
"211","Ohio State",26,6,0.813,16.08,5.9,2363,2037,1.16003927344134,NA,0.568
"212","Ohio",19,11,0.633,3.84,-0.5,2077,1935,1.0733850129199,NA,0.559
"213","Oklahoma State",17,16,0.515,11.25,6.67,2322,2171,1.06955320128973,NA,0.562
"214","Oklahoma",20,9,0.69,11.89,6.79,1995,1847,1.08012994044396,NA,0.541
"215","Old Dominion",24,10,0.706,7.62,1.45,2379,2169,1.09681881051176,NA,0.53
"216","Oral Roberts",21,12,0.636,3.23,-2.35,2472,2248,1.09964412811388,NA,0.554
"217","Oregon State",13,18,0.419,1.47,6.31,2043,2170,0.94147465437788,NA,0.531
"218","Oregon",15,18,0.455,10.41,6.85,2295,2156,1.06447124304267,NA,0.544
"219","Pacific",24,8,0.75,6.93,-1.57,2377,2047,1.16121152906693,NA,0.581
"220","Penn State",15,15,0.5,4.42,4.98,2021,2038,0.991658488714426,NA,0.524
"221","Pennsylvania",20,9,0.69,6.01,-2.31,1987,1744,1.13933486238532,NA,0.535
"222","Pepperdine",7,20,0.259,-3.09,4.02,1781,1973,0.902686264571718,NA,0.488
"223","Pittsburgh",25,8,0.758,16.37,7.01,2391,2082,1.14841498559078,NA,0.546
"224","Portland State",12,16,0.429,-2.4,-1.21,2017,2013,1.0019870839543,NA,0.548
"225","Portland",11,18,0.379,-3.98,1.17,2013,2160,0.931944444444444,NA,0.526
"226","Prairie View",5,24,0.172,-24.86,-9.19,1928,2310,0.834632034632035,NA,0.47
"227","Princeton",12,15,0.444,-7.15,-3.58,1402,1500,0.934666666666667,NA,0.545
"228","Providence",12,15,0.444,7.83,7.68,2020,2016,1.00198412698413,NA,0.544
"229","Purdue",9,19,0.321,0.4,6.61,1811,1985,0.912342569269521,NA,0.531
"230","Quinnipiac",12,16,0.429,-8.12,-5.83,2059,2072,0.993725868725869,NA,0.543
"231","Radford",16,13,0.552,-7.65,-6.91,2134,2113,1.00993847610033,NA,0.531
"232","Rhode Island",14,14,0.5,0.27,1.84,1779,1823,0.975863960504663,NA,0.498
"233","Rice",12,16,0.429,-4,0.5,1897,1963,0.966377992868059,NA,0.519
"234","Richmond",13,17,0.433,-5.09,1.36,1562,1735,0.90028818443804,NA,0.499
"235","Rider",8,20,0.286,-6.71,-0.6,1981,2152,0.920539033457249,NA,0.537
"236","Robert Morris",15,14,0.517,-8.04,-6.27,2136,2075,1.02939759036145,NA,0.54
"237","Rutgers",19,14,0.576,8,5.16,2273,2144,1.06016791044776,NA,0.536
"238","Sacramento State",15,15,0.5,-1.58,-1.19,2273,2232,1.01836917562724,NA,0.524
"239","Sacred Heart",11,17,0.393,-7.72,-5.97,1853,1902,0.974237644584648,NA,0.532
"240","Saint Francis (PA)",4,24,0.143,-16.61,-5.05,1679,1971,0.851851851851852,NA,0.493
"241","Saint Joseph's",19,14,0.576,9.6,5.12,2182,2034,1.07276302851524,NA,0.554
"242","Saint Louis",16,13,0.552,3.21,3,1749,1729,1.01156737998843,NA,0.5
"243","Saint Mary's (CA)",17,12,0.586,5,2.28,2049,1921,1.06663196251952,NA,0.544
"244","Saint Peter's",17,15,0.531,-1.67,-0.98,2385,2407,0.990859991690902,NA,0.514
"245","Sam Houston State",22,9,0.71,-3.25,-3.36,2309,2140,1.07897196261682,NA,0.544
"246","Samford",20,11,0.645,-1.92,-4.92,2036,1863,1.09286097691895,NA,0.597
"247","San Diego State",24,9,0.727,9.81,3.65,2456,2223,1.10481331533963,NA,0.561
"248","San Diego",18,12,0.6,3.66,-0.31,2356,2194,1.07383773928897,NA,0.571
"249","San Francisco",11,17,0.393,0.22,2.61,1935,2002,0.966533466533467,NA,0.511
"250","San Jose State",6,25,0.194,-3.19,2.23,2015,2183,0.92304168575355,NA,0.475
"251","Santa Clara",13,16,0.448,-0.35,2.58,1984,1968,1.00813008130081,NA,0.514
"252","Savannah State",2,28,0.067,-34.3,-4.26,1693,2451,0.690738474092207,NA,0.462
"253","Seton Hall",18,12,0.6,6.78,6.11,2033,2013,1.00993541977149,NA,0.51
"254","Siena",15,13,0.536,0.9,-0.67,2084,2040,1.02156862745098,NA,0.542
"255","South Alabama",24,7,0.774,4.88,-2.18,2283,2033,1.12297097884899,NA,0.558
"256","South Carolina State",14,16,0.467,-12.15,-8.59,1809,1916,0.944154488517745,NA,0.508
"257","South Carolina",23,15,0.605,13.3,8.14,2575,2379,1.08238755779739,NA,0.544
"258","South Florida",7,22,0.241,0.2,4.65,1736,1865,0.93083109919571,NA,0.506
"259","Southeast Missouri State",7,20,0.259,-14.23,-6.06,1711,1865,0.917426273458445,NA,0.503
"260","Southeastern Louisiana",16,12,0.571,-2.72,-4.2,1914,1842,1.03908794788274,NA,0.523
"261","Southern California",17,13,0.567,7.44,5.99,2055,2012,1.0213717693837,NA,0.525
"262","Southern Illinois",22,11,0.667,8.93,4.62,1994,1864,1.06974248927039,NA,0.501
"263","Southern Methodist",13,16,0.448,-1.1,-2.78,1921,1859,1.03335126412049,NA,0.515
"264","Southern Mississippi",10,21,0.323,-7.88,1.91,1879,2098,0.895614871306006,NA,0.504
"265","Southern Utah",10,20,0.333,-7.57,-4.09,2055,2127,0.966149506346968,NA,0.578
"266","Southern",20,13,0.606,-5.97,-6.69,2093,2070,1.01111111111111,NA,0.505
"267","St. Bonaventure",8,19,0.296,-5.71,-0.37,1839,1983,0.927382753403933,NA,0.491
"268","St. Francis (NY)",10,17,0.37,-8.43,-5.06,1721,1812,0.949779249448124,NA,0.499
"269","St. John's (NY)",12,15,0.444,5.24,5.64,1619,1630,0.993251533742331,NA,0.483
"270","Stanford",16,14,0.533,9.52,8.21,1992,1960,1.01632653061224,NA,0.527
"271","Stephen F. Austin",17,12,0.586,-3.6,-7.22,2104,1923,1.0941237649506,NA,0.539
"272","Stetson",14,18,0.438,-11.98,-8.37,2129,2218,0.959873760144274,NA,0.524
"273","Stony Brook",4,24,0.143,-13.66,-3.02,1629,1927,0.845355474831344,NA,0.455
"274","Syracuse",23,12,0.657,11.68,8.16,2535,2412,1.05099502487562,NA,0.525
"275","Temple",17,15,0.531,8.22,5.19,2004,1907,1.05086523335081,NA,0.483
"276","Tennessee-Martin",13,15,0.464,-7.67,-5.06,2040,2066,0.987415295256534,NA,0.536
"277","Tennessee State",13,15,0.464,-5.87,-5.36,1946,1951,0.997437211686315,NA,0.544
"278","Tennessee Tech",19,12,0.613,-5.46,-4.6,2264,2213,1.02304563940352,NA,0.531
"279","Tennessee",22,8,0.733,14.73,7.76,2413,2204,1.0948275862069,NA,0.563
"280","Texas A&M-Corpus Christi",20,8,0.714,2.96,-5.7,2307,1886,1.22322375397667,NA,0.586
"281","Texas A&M",22,9,0.71,13.19,4.77,2130,1869,1.13964686998395,NA,0.543
"282","Texas-Arlington",14,16,0.467,-3.93,-2.46,2184,2169,1.00691562932227,NA,0.548
"283","Texas Christian",6,25,0.194,-4.11,3.5,1929,2166,0.890581717451524,NA,0.468
"284","Texas-El Paso",21,10,0.677,5.93,0.38,2074,1843,1.12533912099837,NA,0.535
"285","Texas-Rio Grande Valley",7,24,0.226,-16.7,0.11,1807,2173,0.831569259088817,NA,0.479
"286","Texas-San Antonio",11,17,0.393,-5.76,-3.38,2054,2096,0.979961832061069,NA,0.542
"287","Texas Southern",8,22,0.267,-18.08,-6.37,2062,2311,0.89225443530939,NA,0.498
"288","Texas State",3,24,0.111,-14.94,-3.2,1721,2027,0.849037987173162,NA,0.504
"289","Texas Tech",15,17,0.469,6.31,6.56,2187,2195,0.996355353075171,NA,0.527
"290","Texas",30,7,0.811,21.89,6.99,2781,2230,1.24708520179372,NA,0.559
"291","Toledo",20,11,0.645,3.16,-2.14,2151,1980,1.08636363636364,NA,0.554
