"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Abilene Christian",13,18,0.419,-13.93,-7.53,2209,2272,0.972271126760563,69.7,0.548
"2","Air Force",14,18,0.438,-5.51,0.66,2189,2330,0.939484978540773,69,0.523
"3","Akron",26,9,0.743,5.55,-1.24,2682,2381,1.12641747165057,69.1,0.553
"4","Alabama A&M",11,18,0.379,-13.47,-10.75,1974,2042,0.966699314397649,65.6,0.51
"5","Alabama-Birmingham",26,7,0.788,3.5,-3.07,2606,2323,1.12182522600086,69.4,0.571
"6","Alabama State",14,17,0.452,-13.11,-9.35,2217,2308,0.960571923743501,69.5,0.501
"7","Alabama",18,15,0.545,7.14,8.62,2193,2242,0.97814451382694,66.1,0.525
"8","Albany (NY)",24,9,0.727,0.93,-7.57,2495,2180,1.14449541284404,67.8,0.558
"9","Alcorn State",15,15,0.5,-16.01,-9.94,2014,2164,0.930683918669131,66.4,0.5
"10","American",12,19,0.387,-14.18,-6.08,1785,2036,0.87671905697446,61.9,0.522
"11","Appalachian State",9,22,0.29,-7.91,-1.1,2187,2398,0.912010008340284,70.8,0.514
"12","Arizona State",15,17,0.469,8.28,8.96,2345,2367,0.99070553443177,69.8,0.518
"13","Arizona",25,9,0.735,18.79,7.23,2735,2342,1.16780529461998,69.8,0.575
"14","Arkansas-Little Rock",30,5,0.857,7.12,-1.76,2487,2129,1.16815406294035,64.6,0.553
"15","Arkansas-Pine Bluff",8,25,0.242,-19.31,-5.52,1867,2322,0.804048234280792,65.3,0.474
"16","Arkansas State",11,20,0.355,-7.48,-2.37,2282,2353,0.969825754356141,73,0.51
"17","Arkansas",16,16,0.5,10.23,6.76,2501,2390,1.04644351464435,71.3,0.533
"18","Army",19,14,0.576,-7.32,-8.13,2539,2474,1.02627324171382,72.2,0.53
"19","Auburn",11,20,0.355,0.15,7.54,2192,2421,0.905410987195374,72.5,0.504
"20","Austin Peay",18,18,0.5,-6.04,-2.98,2740,2765,0.990958408679928,70.6,0.549
"21","Ball State",21,14,0.6,0.11,-2.98,2479,2338,1.06030795551754,66.2,0.554
"22","Baylor",22,12,0.647,16.13,9.76,2621,2366,1.10777683854607,67.6,0.555
"23","Belmont",20,12,0.625,1.19,-2.1,2638,2510,1.05099601593626,72.8,0.611
"24","Bethune-Cookman",14,18,0.438,-14.35,-9.18,2258,2330,0.969098712446352,68.1,0.51
"25","Binghamton",8,22,0.267,-14.08,-6.35,1827,2059,0.887323943661972,67.4,0.483
"26","Boise State",20,12,0.625,7.23,3.13,2480,2246,1.10418521816563,70.5,0.559
"27","Boston College",7,25,0.219,-1.61,7.67,1959,2256,0.868351063829787,66.9,0.498
"28","Boston University",19,15,0.559,-6.79,-6.37,2483,2464,1.00771103896104,69.4,0.559
"29","Bowling Green State",16,18,0.471,-5.88,-1.85,2400,2457,0.976800976800977,69.3,0.528
"30","Bradley",5,27,0.156,-10.91,3.7,1793,2238,0.801161751563896,67.1,0.473
"31","Brigham Young",26,11,0.703,12.36,2.36,3093,2692,1.14895988112927,74,0.56
"32","Brown",8,20,0.286,-8.05,-2.82,2040,2155,0.946635730858469,70.5,0.534
"33","Bryant",8,23,0.258,-18.58,-6.71,2018,2361,0.854722575180008,68.4,0.498
"34","Bucknell",17,14,0.548,-2.09,-5.89,2448,2288,1.06993006993007,71.5,0.568
"35","Buffalo",20,15,0.571,1.34,0.9,2709,2634,1.02847380410023,72.6,0.54
"36","Butler",22,11,0.667,16.46,7.55,2638,2344,1.12542662116041,69.9,0.564
"37","Cal Poly",10,20,0.333,-3.49,0.9,2171,2255,0.962749445676275,67.8,0.515
"38","Cal State Bakersfield",24,9,0.727,2.58,-5.15,2405,2104,1.1430608365019,68.4,0.527
"39","Cal State Fullerton",10,20,0.333,-7.12,-0.76,2104,2227,0.944768747193534,70,0.512
"40","Cal State Northridge",10,20,0.333,-6.85,-0.85,2143,2261,0.94781070322866,71.3,0.517
"41","UC-Davis",11,19,0.367,-5.58,-1.26,1914,1980,0.966666666666667,67.1,0.511
"42","UC-Irvine",28,10,0.737,5.33,0.77,2706,2512,1.07722929936306,67.7,0.544
"43","UC-Riverside",14,19,0.424,-5.66,-3.08,2299,2300,0.999565217391304,68.7,0.533
"44","UC-Santa Barbara",19,14,0.576,3.79,1.44,2335,2219,1.05227579990987,68.4,0.533
"45","University of California",23,11,0.676,15.39,7.87,2545,2289,1.11183923110529,68.3,0.55
"46","Campbell",12,18,0.4,-11.07,-6.67,2207,2203,1.00181570585565,70,0.552
"47","Canisius",14,19,0.424,-5.62,-3.77,2526,2587,0.976420564360263,68.8,0.533
"48","Central Arkansas",7,21,0.25,-15.17,-6.81,2110,2344,0.900170648464164,73.7,0.531
"49","Central Connecticut State",4,25,0.138,-22.35,-9.24,1888,2268,0.832451499118166,68.8,0.483
"50","Central Florida",12,18,0.4,0.18,3.01,2062,2147,0.96040987424313,68.3,0.527
"51","Central Michigan",17,16,0.515,-0.67,-1.3,2495,2401,1.03915035401916,67.4,0.554
"52","Charleston Southern",9,21,0.3,-10.92,-2.59,2146,2253,0.952507767421216,70,0.523
