"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",13,16,0.448,-0.45,2.14,1786,1798,0.993325917686318,62.9,0.545
"2","Akron",22,12,0.647,6.33,0.72,2456,2241,1.09593931280678,67.5,0.55
"3","Alabama A&M",7,21,0.25,-19.33,-10.79,1764,1964,0.89816700610998,68.7,0.49
"4","Alabama-Birmingham",15,16,0.484,2.61,3.64,1875,1907,0.983219716832722,62,0.513
"5","Alabama State",12,19,0.387,-15.79,-9.96,1840,1995,0.922305764411028,65.6,0.46
"6","Alabama",21,12,0.636,13.76,7.18,2135,1918,1.11313868613139,62.9,0.529
"7","Albany (NY)",19,15,0.559,-3.92,-6.92,2453,2351,1.04338579327946,65.7,0.553
"8","Alcorn State",10,22,0.313,-19.57,-10.61,1926,2148,0.896648044692737,68.6,0.492
"9","American",20,12,0.625,-3.12,-5.24,2059,1991,1.03415369161226,62.9,0.529
"10","Appalachian State",13,18,0.419,-6.93,-3.28,2121,2175,0.975172413793103,68,0.529
"11","Arizona State",10,21,0.323,-1.01,4.31,1891,2056,0.919747081712062,63.4,0.549
"12","Arizona",23,12,0.657,10.91,4.62,2416,2196,1.10018214936248,65.1,0.55
"13","Arkansas-Little Rock",15,16,0.484,-1.94,0.03,1974,1990,0.991959798994975,65.2,0.5
"14","Arkansas-Pine Bluff",11,22,0.333,-16.77,-8.34,2013,2291,0.878655608904409,66.3,0.491
"15","Arkansas State",14,20,0.412,-3.18,-0.52,2198,2239,0.981688253684681,64.1,0.518
"16","Arkansas",18,14,0.563,5.76,3.63,2299,2231,1.03047960555805,70.2,0.525
"17","Army",12,18,0.4,-11.26,-7.16,2027,2091,0.969392635102822,69.4,0.536
"18","Auburn",15,16,0.484,2.52,3.84,1942,1983,0.979324256177509,64.9,0.496
"19","Austin Peay",12,20,0.375,-4.86,-0.66,2216,2324,0.953528399311532,68.2,0.52
"20","Ball State",15,15,0.5,-2.93,-4.45,1901,1822,1.04335894621295,62.5,0.521
"21","Baylor",30,8,0.789,16.54,8.03,2839,2483,1.14337494965767,67.1,0.566
"22","Belmont",27,8,0.771,11.81,-1.22,2831,2363,1.19805332204824,68.7,0.591
"23","Bethune-Cookman",18,17,0.514,-9.11,-7.05,2276,2319,0.98145752479517,64.9,0.512
"24","Binghamton",2,29,0.065,-20.14,-6.24,1762,2193,0.803465572275422,65.1,0.48
"25","Boise State",13,17,0.433,3.52,3.14,2050,1988,1.03118712273642,65.2,0.53
"26","Boston College",9,22,0.29,-4.54,4.89,1833,2125,0.862588235294118,64.7,0.512
"27","Boston University",16,16,0.5,-3.74,-4.09,2045,2034,1.00540806293019,64.4,0.513
"28","Bowling Green State",16,16,0.5,1.23,0.07,2125,2046,1.0386119257087,64.8,0.526
"29","Bradley",7,25,0.219,-5.79,3.62,1955,2256,0.866578014184397,67.3,0.485
"30","Brigham Young",26,9,0.743,11.25,1.55,2727,2358,1.15648854961832,73,0.553
"31","Brown",8,23,0.258,-12.52,-3.62,1907,2154,0.885329619312906,65.4,0.495
"32","Bryant",2,28,0.067,-17.9,-4.27,1852,2261,0.819106590004423,66.3,0.499
"33","Bucknell",25,10,0.714,3.57,-3.08,2410,2147,1.12249650675361,64,0.563
"34","Buffalo",20,11,0.645,4.15,0.15,2262,2090,1.0822966507177,68.6,0.552
"35","Butler",22,15,0.595,2.86,1.14,2352,2245,1.04766146993318,64.5,0.491
"36","Cal Poly",18,15,0.545,-0.58,-3.78,2136,1998,1.06906906906907,60.4,0.521
"37","Cal State Bakersfield",16,15,0.516,-7.15,-3.65,2121,2154,0.984679665738162,66.2,0.543
"38","Cal State Fullerton",21,10,0.677,-1.18,-5.32,2417,2205,1.09614512471655,70.3,0.577
"39","Cal State Northridge",7,21,0.25,-12.65,-2.61,1908,2101,0.908138981437411,69,0.487
"40","UC-Davis",5,26,0.161,-15.6,-2.63,1924,2307,0.833983528391851,66.6,0.516
"41","UC-Irvine",12,20,0.375,-6.07,-1.24,2179,2309,0.943698570809874,69.9,0.509
"42","UC-Riverside",14,17,0.452,-8.01,-2.22,1841,1954,0.942169907881269,63.3,0.483
"43","UC-Santa Barbara",20,11,0.645,4,-1.38,2262,2059,1.09859154929577,64.6,0.554
"44","University of California",24,10,0.706,13.79,4.53,2419,2104,1.14971482889734,66.3,0.554
"45","Campbell",17,15,0.531,-6.06,-4.8,2370,2361,1.00381194409149,69.6,0.562
"46","Canisius",5,25,0.167,-14.73,-4.53,1965,2271,0.865257595772787,67.6,0.499
"47","Central Arkansas",8,21,0.276,-17.26,-4.83,2058,2371,0.867988190636862,74.2,0.474
"48","Central Connecticut State",13,16,0.448,-5.36,-5.05,2029,2038,0.99558390578999,68.9,0.521
"49","Central Florida",22,11,0.667,4.33,2.98,2166,2096,1.03339694656489,64.3,0.511
"50","Central Michigan",11,21,0.344,-6.74,-1.62,1980,2134,0.927835051546392,64.4,0.482
"51","Charleston Southern",19,12,0.613,-2.19,-4.33,2383,2242,1.0628902765388,70.9,0.547
"52","Charlotte",13,17,0.433,0.99,2.86,2010,2066,0.972894482090997,68.8,0.504
"53","Chattanooga",11,21,0.344,-6.99,-3.54,2260,2204,1.02540834845735,69.5,0.516
"54","Chicago State",4,26,0.133,-19.3,-3.13,1884,2313,0.814526588845655,71.5,0.474
"55","Cincinnati",26,11,0.703,12.93,6.28,2522,2276,1.10808435852373,64.1,0.505
"56","Citadel",6,24,0.2,-14.49,-3.67,1925,2158,0.892029657089898,66.1,0.516
"57","Clemson",16,15,0.516,7.31,3.41,2001,1880,1.06436170212766,63.3,0.512
"58","Cleveland State",22,11,0.667,5.27,0.12,2177,1983,1.09783156833081,64.3,0.535
"59","Coastal Carolina",19,12,0.613,-2.64,-4.56,2248,2042,1.10088148873653,66.8,0.554
"60","Colgate",8,22,0.267,-14.91,-4.38,1893,2209,0.856948845631507,65.7,0.529
"61","College of Charleston",19,12,0.613,-0.16,-2.54,2191,2117,1.03495512517714,68.4,0.523
"62","Colorado State",20,12,0.625,6.58,5.23,2243,2177,1.0303169499311,64.5,0.576
"63","Colorado",24,12,0.667,7.91,5.73,2429,2269,1.07051564565888,66,0.538
"64","Columbia",15,15,0.5,-2.9,-3.18,1955,1863,1.04938271604938,63.5,0.535
"65","Connecticut",20,14,0.588,12.27,8.07,2336,2193,1.06520747834017,64.1,0.528
"66","Coppin State",14,16,0.467,-9.07,-5.96,2213,2257,0.980505095259194,69.5,0.545
"67","Cornell",12,16,0.429,-4.05,-0.98,1833,1898,0.965753424657534,67.7,0.509
"68","Creighton",29,6,0.829,12.92,3.41,2772,2439,1.13653136531365,67.3,0.607
"69","Dartmouth",5,25,0.167,-10.07,-3.56,1727,1904,0.90703781512605,63.4,0.489
"70","Davidson",25,8,0.758,7.26,-1.68,2571,2238,1.14879356568365,68.8,0.555
"71","Dayton",20,13,0.606,8.48,4.3,2369,2231,1.06185567010309,65,0.549
"72","Delaware State",15,14,0.517,-8.07,-6.78,1917,1868,1.0262312633833,62.1,0.523
"73","Delaware",18,14,0.563,-1.61,-2.18,2206,2188,1.00822669104205,67.2,0.523
"74","Denver",22,9,0.71,6.14,-1.47,2112,1876,1.12579957356077,61.3,0.606
"75","DePaul",12,19,0.387,1.99,4.57,2298,2378,0.966358284272498,71.8,0.522
"76","Detroit Mercy",22,14,0.611,2.4,-0.01,2597,2432,1.06784539473684,67.2,0.538
"77","Drake",18,16,0.529,2.44,2.96,2279,2271,1.0035226772347,67,0.53
"78","Drexel",29,7,0.806,7.37,-1.8,2350,2020,1.16336633663366,60.9,0.544
