"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Abilene Christian",11,20,0.355,-19.6,-4.12,2214,2228,0.993716337522442,67.7,0.559
"2","Air Force",12,18,0.4,-4.08,1.71,1980,2074,0.954676952748312,65.4,0.538
"3","Akron",21,13,0.618,1.16,-0.48,2332,2276,1.02460456942004,65.5,0.527
"4","Alabama A&M",14,16,0.467,-13.86,-10.58,1936,2010,0.96318407960199,66.5,0.504
"5","Alabama-Birmingham",18,13,0.581,0.78,-0.77,2266,2180,1.0394495412844,69.4,0.496
"6","Alabama State",19,13,0.594,-12.84,-11.4,2265,2225,1.01797752808989,68,0.504
"7","Alabama",13,19,0.406,8.34,8.88,2170,2150,1.0093023255814,64.4,0.537
"8","Albany (NY)",19,15,0.559,-3.31,-5.22,2239,2174,1.02989880404784,63,0.539
"9","Alcorn State",12,19,0.387,-15.95,-9.27,1985,2101,0.944788196097097,65,0.498
"10","American",20,13,0.606,0.69,-3.25,2081,1951,1.06663249615582,60.7,0.584
"11","Appalachian State",9,21,0.3,-15.32,-7.13,2034,2152,0.945167286245353,67.4,0.493
"12","Arizona State",21,12,0.636,13.32,7.41,2486,2291,1.08511567001309,69,0.558
"13","Arizona",33,5,0.868,23.36,9.04,2769,2225,1.24449438202247,64.1,0.546
"14","Arkansas-Little Rock",15,17,0.469,-5.39,-1.09,2288,2371,0.964993673555462,68.4,0.519
"15","Arkansas-Pine Bluff",13,18,0.419,-15.39,-6.9,1957,2188,0.894424131627057,67.9,0.508
"16","Arkansas State",19,13,0.594,-0.44,-3.18,2432,2299,1.05785123966942,68.6,0.563
"17","Arkansas",22,12,0.647,14.34,5.57,2723,2425,1.12288659793814,72.5,0.543
"18","Army",15,16,0.484,-6.16,-4.66,2244,2269,0.9889819303658,68.1,0.54
"19","Auburn",14,16,0.467,5.11,5.47,2144,2155,0.994895591647332,67.6,0.535
"20","Austin Peay",12,18,0.4,-10.5,-5.78,2287,2368,0.965793918918919,71.9,0.568
"21","Ball State",5,25,0.167,-10.17,0.65,1967,2214,0.88843721770551,67,0.511
"22","Baylor",26,12,0.684,15.8,10.11,2843,2577,1.10322079937912,64.2,0.556
"23","Belmont",26,10,0.722,3.29,-1.88,2876,2661,1.08079669297257,69.5,0.612
"24","Bethune-Cookman",7,25,0.219,-16.86,-7.53,2032,2252,0.902309058614565,63.4,0.507
"25","Binghamton",7,23,0.233,-16.15,-6.15,1840,2140,0.85981308411215,65.6,0.489
"26","Boise State",21,13,0.618,8.83,3.86,2591,2347,1.10396250532595,65.9,0.564
"27","Boston College",8,24,0.25,3.01,8.62,2197,2354,0.933305012744265,62.7,0.567
"28","Boston University",24,11,0.686,1.77,-2.4,2492,2346,1.06223358908781,65.9,0.552
"29","Bowling Green State",12,20,0.375,-3.45,-0.2,2007,2055,0.976642335766423,67,0.491
"30","Bradley",12,20,0.375,-2.72,-0.31,2036,2113,0.963558920965452,63.9,0.504
"31","Brigham Young",23,12,0.657,11.63,5.72,2931,2706,1.08314855875831,73.5,0.545
"32","Brown",15,14,0.517,-1.44,-4.04,2065,1951,1.05843157355202,69.4,0.52
"33","Bryant",18,14,0.563,-4.25,-4.89,2351,2304,1.02039930555556,67.9,0.558
"34","Bucknell",16,14,0.533,-1.3,-3.14,1977,1922,1.02861602497399,63.7,0.528
"35","Buffalo",19,10,0.655,3.58,-2.13,2132,1952,1.0922131147541,67.7,0.545
"36","Butler",14,17,0.452,7.04,6.98,2125,2064,1.02955426356589,64,0.514
"37","Cal Poly",14,20,0.412,-1.34,1.69,2141,2163,0.989828941285252,60.8,0.501
"38","Cal State Bakersfield",13,19,0.406,-4.86,-4.31,2215,2189,1.01187756966651,66,0.535
"39","Cal State Fullerton",11,20,0.355,-5.08,-1.12,2092,2215,0.944469525959368,66.8,0.513
"40","Cal State Northridge",17,18,0.486,-4.89,-3.29,2689,2712,0.991519174041298,68.7,0.557
"41","UC-Davis",9,22,0.29,-11.55,-1.76,2174,2408,0.902823920265781,66.6,0.543
"42","UC-Irvine",23,12,0.657,4.35,-0.65,2468,2231,1.10623038995966,65.6,0.544
"43","UC-Riverside",10,21,0.323,-7.64,-2.33,2117,2214,0.956187895212285,67.5,0.517
"44","UC-Santa Barbara",21,9,0.7,4.23,-0.13,2137,1960,1.09030612244898,63.1,0.567
"45","University of California",21,14,0.6,10.7,7.44,2533,2419,1.04712691194709,66.4,0.538
"46","Campbell",12,20,0.375,-14.04,-7.33,2164,2291,0.944565691837626,64,0.544
"47","Canisius",21,13,0.618,1.24,-1.95,2661,2570,1.03540856031128,68.2,0.581
"48","Central Arkansas",8,21,0.276,-16.25,-5.54,2165,2360,0.917372881355932,74.3,0.521
"49","Central Connecticut State",11,19,0.367,-13.1,-6.06,2117,2318,0.913287316652286,70.8,0.516
"50","Central Florida",13,18,0.419,2.35,5.14,2253,2281,0.987724682156949,68,0.52
"51","Central Michigan",10,21,0.323,-8.82,-2.72,2246,2288,0.981643356643357,65.8,0.54
"52","Charleston Southern",13,18,0.419,-5.27,-5.75,2523,2242,1.12533452274755,68.6,0.573
"53","Charlotte",17,14,0.548,-0.69,-0.5,2215,2221,0.997298514182801,69.7,0.527
"54","Chattanooga",18,15,0.545,-10.83,-7.9,2489,2439,1.02050020500205,70.4,0.533
"55","Chicago State",13,19,0.406,-10.47,-2.44,2232,2439,0.915129151291513,69.6,0.509
"56","Cincinnati",27,7,0.794,15.26,5.28,2325,1986,1.17069486404834,63.6,0.519
"57","Citadel",7,26,0.212,-17.61,-6.75,2211,2453,0.901345291479821,66.5,0.529
"58","Clemson",23,13,0.639,11.08,5.97,2287,2103,1.08749405611032,59.9,0.519
"59","Cleveland State",21,12,0.636,4.38,-0.52,2410,2186,1.10247026532479,64.7,0.574
"60","Coastal Carolina",21,13,0.618,-5.21,-6.31,2458,2326,1.05674978503869,68.6,0.528
"61","Colgate",13,18,0.419,-2.51,-4.08,2158,2083,1.03600576092175,62.8,0.586
"62","College of Charleston",14,18,0.438,-2.02,-1.89,2016,2006,1.0049850448654,62.2,0.504
"63","Colorado State",16,16,0.5,3.29,2.16,2347,2230,1.052466367713,65.8,0.53
"64","Colorado",23,12,0.657,10.8,8.8,2457,2387,1.02932551319648,67,0.534
"65","Columbia",21,13,0.618,2.21,-1.92,2313,2151,1.07531380753138,61.9,0.578
"66","Connecticut",32,8,0.8,17.23,8.63,2873,2529,1.13602214313958,65.5,0.562
"67","Coppin State",12,20,0.375,-11.09,-4.99,2231,2403,0.928422804827299,68.5,0.507
"68","Cornell",2,26,0.071,-15.6,0.03,1795,2195,0.817767653758542,65.2,0.498
"69","Creighton",27,8,0.771,18.03,7.17,2756,2376,1.15993265993266,65.3,0.616
"70","Dartmouth",12,16,0.429,-4.85,-3.24,1905,1864,1.02199570815451,64.4,0.534
"71","Davidson",20,13,0.606,0.81,-3.73,2591,2404,1.07778702163062,68,0.582
"72","Dayton",26,11,0.703,10.55,5.34,2671,2478,1.07788539144471,65.4,0.555
"73","Delaware State",9,21,0.3,-12.64,-6.11,1847,1946,0.94912641315519,61.1,0.512
"74","Delaware",25,10,0.714,2.73,-1.1,2782,2648,1.05060422960725,70.9,0.546
"75","Denver",16,15,0.516,0.84,-0.42,2044,1999,1.02251125562781,59.2,0.574
"76","DePaul",12,21,0.364,1.5,7.47,2290,2487,0.920788098110173,67.3,0.517
"77","Detroit Mercy",13,19,0.406,-3.25,-0.25,2275,2267,1.00352889280988,68,0.515
"78","Drake",15,16,0.484,-0.77,1.03,2116,2115,1.00047281323877,64.4,0.562
"79","Drexel",16,14,0.533,1.23,-0.24,2064,2020,1.02178217821782,63.4,0.51
"80","Duke",26,9,0.743,19.51,8.48,2745,2359,1.16362865621026,65.3,0.574
"81","Duquesne",13,17,0.433,0.66,1.03,2200,2211,0.995024875621891,68.3,0.539
"82","East Carolina",17,17,0.5,-4.08,-2.41,2477,2411,1.02737453338864,66.5,0.56
"83","East Tennessee State",19,16,0.543,-5.93,-6.08,2689,2663,1.00976342470897,71.2,0.546
"84","Eastern Illinois",11,19,0.367,-11.53,-4.21,2030,2206,0.920217588395286,66.4,0.531
"85","Eastern Kentucky",24,10,0.706,0.6,-4.34,2677,2411,1.11032766486935,67.5,0.611
"86","Eastern Michigan",22,15,0.595,1.79,0.67,2423,2270,1.06740088105727,65,0.501
"87","Eastern Washington",15,16,0.484,-5.32,-4.15,2362,2329,1.01416917131816,69.5,0.556
"88","Elon",18,14,0.563,-4.02,-4.5,2392,2281,1.04866286716352,67.9,0.572
"89","Evansville",14,19,0.424,-3.12,1.2,2290,2383,0.960973562736047,66.8,0.554
"90","Fairfield",7,25,0.219,-7.37,-0.81,2030,2240,0.90625,66.9,0.497
"91","Fairleigh Dickinson",10,21,0.323,-11.24,-4.07,2157,2358,0.914758269720102,67,0.523
"92","Florida A&M",14,18,0.438,-12.31,-7.58,2281,2370,0.962447257383966,72,0.488
"93","Florida Atlantic",10,22,0.313,-5.12,-0.42,2120,2192,0.967153284671533,65.5,0.513
"94","Florida Gulf Coast",22,13,0.629,-1.97,-5.76,2504,2339,1.07054296707995,68.2,0.546
"95","Florida International",15,16,0.484,-5.4,-1.58,2128,2170,0.980645161290323,67.2,0.529
"96","Florida State",22,14,0.611,12.63,8.13,2554,2392,1.06772575250836,66.1,0.56
"97","Florida",36,3,0.923,20.69,8.54,2727,2253,1.2103861517976,62.9,0.552
"98","Fordham",10,21,0.323,-3.16,3.14,2224,2419,0.919388176932617,69.2,0.494
"99","Fresno State",21,18,0.538,3.59,3.75,2837,2749,1.03201164059658,66.3,0.548
"100","Furman",9,21,0.3,-17.44,-7.4,1955,2196,0.890255009107468,65.5,0.531
"101","Gardner-Webb",18,15,0.545,-7.33,-6.9,2425,2309,1.05023819835427,67.3,0.532
"102","George Mason",11,20,0.355,2.03,4.58,2154,2233,0.964621585311241,67.7,0.526
"103","George Washington",24,9,0.727,10.6,4.42,2415,2211,1.09226594301221,68,0.546
"104","Georgetown",18,15,0.545,10.96,8.27,2344,2255,1.03946784922395,65,0.555
"105","Georgia Southern",15,19,0.441,-11.44,-8.6,2406,2395,1.00459290187891,67.1,0.529
"106","Georgia State",25,9,0.735,6.04,-2.56,2641,2330,1.13347639484979,65.8,0.579
"107","Georgia Tech",16,17,0.485,5.12,5.24,2200,2204,0.998185117967332,64.8,0.512
"108","Georgia",20,14,0.588,7.9,5.78,2343,2271,1.03170409511229,65.2,0.536
"109","Gonzaga",29,7,0.806,15.56,5.36,2761,2372,1.16399662731872,68.1,0.59
"110","Grambling",5,24,0.172,-24.61,-9.05,1903,2316,0.82167530224525,69,0.505
"111","Grand Canyon",15,15,0.5,-6.4,-3.51,2163,2152,1.00511152416357,67.8,0.556
"112","Green Bay",24,7,0.774,7.18,0.11,2304,1999,1.15257628814407,67.7,0.556
"113","Hampton",18,13,0.581,-5.17,-7.91,2262,2177,1.03904455672944,71.1,0.511
"114","Hartford",17,16,0.515,-6.63,-6.18,2162,2177,0.993109784106569,63.7,0.573
"115","Harvard",27,5,0.844,10.79,-0.47,2343,1952,1.20030737704918,64.6,0.564
"116","Hawaii",20,11,0.645,3.43,-1.68,2479,2270,1.0920704845815,69.3,0.562
"117","High Point",16,15,0.516,-8.23,-5.23,2203,2253,0.977807367953839,65.5,0.561
"118","Hofstra",10,23,0.303,-6.56,-1.89,2260,2414,0.936205468102734,65.3,0.521
"119","Holy Cross",20,14,0.588,-1.58,-3.28,2277,2219,1.02613789995493,63.9,0.534
"120","Houston Baptist",6,25,0.194,-17.39,-5.39,2091,2373,0.881163084702908,70.2,0.509
"121","Houston",17,16,0.515,2.68,4.62,2345,2409,0.97343295973433,67.1,0.541
"122","Howard",8,25,0.242,-16.77,-5.22,2020,2344,0.861774744027304,67.1,0.484
"123","Idaho State",11,18,0.379,-6.42,-4.72,2054,2036,1.00884086444008,64.5,0.546
"124","Idaho",16,18,0.471,-6.42,-3.72,2461,2536,0.970425867507886,66.9,0.543
"125","Illinois-Chicago",6,25,0.194,-7.17,0.63,2071,2248,0.921263345195729,66.5,0.515
"126","Illinois State",18,16,0.529,1.08,1.77,2323,2329,0.997423787033061,67.7,0.515
"127","Illinois",20,15,0.571,10.33,8.28,2248,2176,1.03308823529412,62.8,0.504
"128","Incarnate Word",21,6,0.778,-8.47,-10.74,2216,1935,1.14521963824289,73.5,0.581
"129","Indiana State",23,11,0.676,3.29,1.19,2416,2328,1.03780068728522,66.5,0.553
"130","Indiana",17,15,0.531,11.32,6.64,2312,2162,1.06938020351526,68.7,0.546
"131","Iona",22,11,0.667,5.96,-0.1,2760,2560,1.078125,71,0.601
"132","Iowa State",28,8,0.778,18.52,9.88,2989,2678,1.11613144137416,71.7,0.569
"133","Iowa",20,13,0.606,18.58,7.43,2689,2321,1.15855234812581,69.9,0.558
"134","IPFW",25,11,0.694,-0.2,-3.87,2774,2555,1.08571428571429,67.2,0.605
"135","IUPUI",6,26,0.188,-14.33,-1.36,2126,2383,0.892152748636173,66.9,0.517
"136","Jackson State",11,20,0.355,-11.62,-8.72,2041,2131,0.95776630689817,67.8,0.502
"137","Jacksonville State",10,21,0.323,-11.97,-5.14,2014,2176,0.925551470588235,63.7,0.513
"138","Jacksonville",12,18,0.4,-11.86,-4.86,2231,2385,0.935429769392034,70.7,0.535
"139","James Madison",11,20,0.355,-7.65,-2.2,1961,2130,0.920657276995305,64.7,0.506
"140","Kansas State",20,13,0.606,12.14,8.47,2280,2159,1.05604446503011,65.6,0.52
"141","Kansas",25,10,0.714,20.25,11.4,2764,2454,1.12632436837816,68.6,0.58
"142","Kennesaw State",6,25,0.194,-16.16,-4.05,2016,2304,0.875,68.2,0.511
"143","Kent State",16,16,0.5,-1.81,-1.94,2228,2188,1.01828153564899,66.5,0.53
"144","Kentucky",29,11,0.725,18.07,9.9,2992,2665,1.12270168855535,65.9,0.543
"145","La Salle",15,16,0.484,4.1,4.75,2100,2120,0.990566037735849,65.2,0.508
"146","Lafayette",11,20,0.355,-7.64,-3.38,2212,2315,0.955507559395248,65.5,0.574
"147","Lamar",4,26,0.133,-16.61,-6.04,2001,2318,0.863244176013805,69.4,0.517
"148","Lehigh",14,18,0.438,-6.52,-3.83,2121,2207,0.961033076574536,65.5,0.523
"149","Liberty",11,21,0.344,-10.26,-7.47,2250,2234,1.00716204118174,65.4,0.542
"150","Lipscomb",15,15,0.5,-8.2,-5.13,2276,2355,0.966454352441614,71,0.552
"151","Long Beach State",15,17,0.469,1.44,2.71,2236,2255,0.991574279379157,66.5,0.51
"152","Long Island University",9,20,0.31,-13.66,-5.55,2080,2315,0.898488120950324,68.5,0.533
"153","Longwood",8,24,0.25,-20.31,-5.56,2235,2570,0.869649805447471,69.7,0.526
"154","Louisiana-Lafayette",23,12,0.657,2.91,-0.28,2835,2633,1.07671857197114,71.1,0.554
"155","Louisiana-Monroe",10,17,0.37,-5.21,0.02,1738,1851,0.938951917882226,65,0.504
"156","Louisiana State",20,14,0.588,10.05,6.61,2540,2423,1.0482872472142,70.1,0.529
"157","Louisiana Tech",29,8,0.784,12.44,-1.2,2998,2460,1.21869918699187,72.1,0.548
"158","Louisville",31,6,0.838,24.69,4.8,2998,2262,1.32537577365164,69,0.562
"159","Loyola (IL)",10,22,0.313,-4.75,-1.14,2105,2199,0.957253296953161,63.2,0.555
"160","Loyola Marymount",13,19,0.406,-0.49,4.03,2345,2468,0.950162074554295,71.1,0.521
"161","Loyola (MD)",11,19,0.367,-10.58,-3.23,1957,2158,0.906858202038925,65.5,0.498
"162","Maine",6,23,0.207,-17.58,-4.72,2091,2404,0.869800332778702,74.2,0.526
"163","Manhattan",25,8,0.758,6.04,-0.9,2540,2311,1.09909130246646,70.3,0.547
"164","Marist",12,19,0.387,-4.94,-1.27,2119,2233,0.948947604120018,67.4,0.512
"165","Marquette",17,15,0.531,10.08,6.61,2310,2199,1.05047748976808,66.3,0.529
"166","Marshall",11,22,0.333,-4.42,-1.32,2385,2375,1.00421052631579,69.6,0.513
"167","Maryland-Baltimore County",9,21,0.3,-14.21,-6.55,1968,2185,0.900686498855835,68.3,0.492
"168","Maryland-Eastern Shore",6,24,0.2,-17.03,-6.61,1996,2251,0.886717014660151,66.9,0.507
"169","Maryland",17,15,0.531,11.33,8.08,2270,2166,1.04801477377655,67.7,0.524
"170","Massachusetts-Lowell",10,18,0.357,-13.71,-4.53,1718,1938,0.886480908152735,64.5,0.503
"171","Massachusetts",24,9,0.727,10.61,6,2502,2350,1.06468085106383,71.7,0.538
"172","McNeese State",11,20,0.355,-13.15,-4.01,2111,2358,0.895250212044105,69,0.488
"173","Memphis",24,10,0.706,13.02,7.14,2614,2397,1.09052982895286,70.6,0.547
"174","Mercer",27,9,0.75,5.33,-3.42,2836,2410,1.17676348547718,65.7,0.582
"175","Miami (FL)",17,16,0.515,7.6,5.63,2029,1964,1.03309572301426,58,0.512
"176","Miami (OH)",13,18,0.419,-4.37,0.13,2023,2160,0.936574074074074,66.8,0.522
"177","Michigan State",29,9,0.763,19.35,9.38,2870,2491,1.1521477318346,66,0.573
"178","Michigan",28,9,0.757,18.52,9.65,2736,2408,1.13621262458472,62.5,0.592
"179","Middle Tennessee",24,9,0.727,4.77,-0.78,2339,2067,1.13159167876149,66,0.538
"180","Milwaukee",21,14,0.6,-1.53,-0.44,2465,2469,0.998379910895099,67.9,0.541
"181","Minnesota",25,13,0.658,11.75,8.34,2715,2574,1.05477855477855,64.5,0.556
"182","Mississippi State",14,19,0.424,-0.86,2.75,2234,2353,0.949426264343391,68.4,0.522
"183","Mississippi Valley State",9,23,0.281,-21.08,-8.35,2293,2582,0.888071262587142,73.9,0.505
"184","Mississippi",19,14,0.576,7.84,5.36,2482,2400,1.03416666666667,69.4,0.521
"185","Missouri-Kansas City",10,20,0.333,-9,-1.93,2085,2295,0.908496732026144,71.5,0.511
"186","Missouri State",20,13,0.606,0.81,1.22,2262,2251,1.00488671701466,64.7,0.537
"187","Missouri",23,12,0.657,10.06,6.86,2553,2441,1.04588283490373,65.8,0.566
"188","Monmouth",11,21,0.344,-6.96,-2.9,2208,2338,0.944396920444825,69.6,0.501
"189","Montana State",14,17,0.452,-10.7,-5.83,2109,2165,0.974133949191686,66,0.537
"190","Montana",17,13,0.567,-4.52,-5.23,2123,2070,1.0256038647343,61.4,0.592
"191","Morehead State",20,14,0.588,-1.88,-3.1,2603,2483,1.04832863471607,70.7,0.543
"192","Morgan State",15,16,0.484,-5.81,-5.03,2215,2239,0.989280928986154,69.3,0.495
"193","Mount St. Mary's",16,17,0.485,-6.32,-4.44,2504,2566,0.975837879968823,70,0.554
"194","Murray State",23,11,0.676,0.98,-3.58,2647,2446,1.08217497955846,68.4,0.571
