"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"312","Washington",16,17,0.485,9.09,8,2416,2338,1.03336184773311,NA,0.516
"313","Weber State",16,14,0.533,-3.92,-3.5,1993,1970,1.01167512690355,NA,0.57
"314","West Virginia",26,11,0.703,17.97,7.16,2769,2352,1.17729591836735,NA,0.545
"315","Western Carolina",10,21,0.323,-8.16,-1.2,1979,2140,0.924766355140187,NA,0.491
"316","Western Illinois",12,18,0.4,-10.45,-1.67,2016,2148,0.93854748603352,NA,0.514
"317","Western Kentucky",29,7,0.806,9.34,0.24,2785,2403,1.15896795672077,NA,0.565
"318","Western Michigan",20,12,0.625,3.2,-0.51,2231,2080,1.07259615384615,NA,0.551
"319","Wichita State",11,20,0.355,1.04,2.85,1939,1995,0.971929824561404,NA,0.508
"320","William & Mary",17,16,0.515,-4.08,-1.38,2059,2073,0.99324650265316,NA,0.523
"321","Winthrop",22,12,0.647,3.61,-1.45,2205,1990,1.10804020100503,NA,0.517
"322","Wisconsin",31,5,0.861,19.59,6.73,2421,1958,1.2364657814096,NA,0.544
"323","Wofford",16,16,0.5,-5.77,-1.42,2147,2136,1.00514981273408,NA,0.537
"324","Wright State",21,10,0.677,2.38,0.48,1944,1871,1.03901656867985,NA,0.546
"325","Wyoming",12,18,0.4,-3.92,1.86,2071,2171,0.953938277291571,NA,0.543
"326","Xavier",30,7,0.811,17.17,5.47,2780,2347,1.18449083936941,NA,0.586
"327","Yale",13,15,0.464,-6.54,-3.88,1918,1939,0.989169675090253,NA,0.546
"328","Youngstown State",9,21,0.3,-5.76,1.74,1944,2100,0.925714285714286,NA,0.508
