"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",12,16,0.429,1.71,1.46,1603,1596,1.00438596491228,NA,0.597
"2","Akron",14,14,0.5,-0.8,-1.43,2201,2155,1.02134570765661,NA,0.578
"3","Alabama A&M",8,19,0.296,-16.71,-11.83,1962,2072,0.946911196911197,NA,0.501
"4","Alabama-Birmingham",21,13,0.618,7.6,3.89,2640,2477,1.06580540976988,NA,0.525
"5","Alabama State",14,15,0.483,-10.33,-10,1860,1846,1.00758396533044,NA,0.508
"6","Alabama",17,12,0.586,13.36,9.4,2002,1887,1.06094329623741,NA,0.516
"7","Albany (NY)",7,21,0.25,-14.87,-5.09,1846,2120,0.870754716981132,NA,0.516
"8","Alcorn State",14,19,0.424,-12.39,-8.36,2280,2413,0.94488188976378,NA,0.503
"9","American",16,14,0.533,-1.38,-5.85,1991,1857,1.07215939687668,NA,0.541
"10","Appalachian State",19,10,0.655,-1.92,-3.46,2434,2309,1.05413598960589,NA,0.543
"11","Arizona State",20,12,0.625,15.01,9.27,2464,2257,1.09171466548516,NA,0.552
"12","Arizona",28,4,0.875,23.42,8.95,2725,2262,1.20468611847922,NA,0.549
"13","Arkansas-Little Rock",18,12,0.6,-0.94,-0.91,2125,2111,1.00663192799621,NA,0.556
"14","Arkansas-Pine Bluff",4,24,0.143,-24.22,-4.54,1526,2077,0.734713529128551,NA,0.436
"15","Arkansas State",13,15,0.464,-0.06,-1.37,2072,1918,1.08029197080292,NA,0.563
"16","Arkansas",9,19,0.321,4.67,9.57,1726,1863,0.926462694578637,NA,0.475
"17","Army",5,22,0.185,-19.72,-5.92,1482,1769,0.83776144714528,NA,0.509
"18","Auburn",22,12,0.647,12.68,8.34,2408,2235,1.07740492170022,NA,0.543
"19","Austin Peay",23,8,0.742,-0.84,-1.98,2204,2101,1.04902427415516,NA,0.554
"20","Ball State",13,17,0.433,-0.57,2.17,2199,2281,0.964050854888207,NA,0.516
"21","Baylor",14,14,0.5,6.04,5.44,1932,1915,1.0088772845953,NA,0.52
"22","Belmont",17,12,0.586,-2.3,-4.05,2108,2029,1.03893543617546,NA,0.569
"23","Bethune-Cookman",8,22,0.267,-19.13,-10.93,1941,2187,0.887517146776406,NA,0.5
"24","Binghamton",14,13,0.519,-4.76,-5.13,1797,1787,1.00559597090095,NA,0.514
"25","Boise State",13,16,0.448,-0.97,0.07,1897,1924,0.985966735966736,NA,0.497
"26","Boston College",19,12,0.613,10.3,7.23,2462,2367,1.04013519222645,NA,0.555
"27","Boston University",20,11,0.645,1.1,-3.42,2100,1960,1.07142857142857,NA,0.53
"28","Bowling Green State",13,16,0.448,-2.2,1.95,1962,2012,0.975149105367793,NA,0.557
"29","Bradley",12,18,0.4,1.13,1.2,2204,2169,1.01613646841863,NA,0.538
"30","Brigham Young",23,9,0.719,13.63,5.29,2299,2032,1.13139763779528,NA,0.57
"31","Brown",17,12,0.586,-2.33,-3.6,2144,2107,1.01756051257712,NA,0.568
"32","Bucknell",14,15,0.483,-6.61,-4.97,1687,1706,0.988862837045721,NA,0.504
"33","Buffalo",5,23,0.179,-7.96,-0.57,1815,2022,0.897626112759644,NA,0.484
"34","Butler",27,6,0.818,9.11,2.23,2229,1986,1.12235649546828,NA,0.584
"35","Cal Poly",16,14,0.533,-2.37,-1.51,2046,2057,0.994652406417112,NA,0.522
"36","Cal State Fullerton",10,19,0.345,-6.72,-3,1825,1933,0.944128297982411,NA,0.515
"37","Cal State Northridge",14,15,0.483,-2.27,-2.2,2073,2009,1.03185664509706,NA,0.542
"38","UC-Irvine",20,9,0.69,2.07,-1.65,2029,1857,1.0926225094238,NA,0.546
"39","UC-Riverside",6,18,0.25,-9.34,-0.26,1575,1770,0.889830508474576,NA,0.527
"40","UC-Santa Barbara",18,14,0.563,3.1,-1.12,2066,1931,1.06991196271362,NA,0.554
"41","University of California",22,9,0.71,11.77,7.58,2301,2171,1.05988023952096,NA,0.547
"42","Campbell",5,22,0.185,-19.8,-6.51,1756,2098,0.836987607244995,NA,0.532
"43","Canisius",10,18,0.357,-3.23,-2.34,1967,1992,0.987449799196787,NA,0.517
"44","Centenary (LA)",14,14,0.5,-9.66,-3.89,2145,2117,1.01322626358054,NA,0.56
"45","Central Connecticut State",15,13,0.536,-8.15,-8.58,1891,1879,1.00638637573177,NA,0.551
"46","Central Florida",21,11,0.656,0.07,-5.84,2292,2104,1.0893536121673,NA,0.546
"47","Central Michigan",25,7,0.781,6.85,1.79,2553,2346,1.08823529411765,NA,0.611
"48","Charleston Southern",14,14,0.5,-9.87,-8.91,1828,1839,0.994018488308864,NA,0.515
"49","Charlotte",13,16,0.448,5.5,6.94,1985,2027,0.97927972372965,NA,0.491
"50","Chattanooga",21,9,0.7,0.4,-3.64,2435,2221,1.09635299414678,NA,0.587
"51","Chicago State",3,27,0.1,-14.2,-2.43,1896,2249,0.843041351711872,NA,0.504
"52","Cincinnati",17,12,0.586,12.9,7.45,1954,1796,1.08797327394209,NA,0.503
