"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"1","Air Force",9,19,0.321,-0.95,3.23,1605,1722,0.93205574912892,NA,0.585
"2","Akron",10,21,0.323,-4.84,0.36,2154,2304,0.934895833333333,NA,0.559
"3","Alabama A&M",19,10,0.655,-11.33,-15.81,2318,2123,1.09185115402732,NA,0.494
"4","Alabama-Birmingham",13,17,0.433,5.56,2.96,2110,2032,1.03838582677165,NA,0.512
"5","Alabama State",19,13,0.594,-13.25,-14.15,2095,2067,1.01354620222545,NA,0.514
"6","Alabama",27,8,0.771,16.93,7.67,2658,2334,1.13881748071979,NA,0.538
"7","Albany (NY)",8,20,0.286,-16.99,-8.85,1593,1821,0.874794069192751,NA,0.466
"8","Alcorn State",21,10,0.677,-11.28,-14.18,2473,2374,1.04170176916596,NA,0.537
"9","American",18,12,0.6,-5,-6.2,1977,1941,1.01854714064915,NA,0.558
"10","Appalachian State",10,18,0.357,-7.53,-0.65,2140,2211,0.967887833559475,NA,0.526
"11","Arizona State",14,15,0.483,9.79,6.79,2229,2142,1.0406162464986,NA,0.526
"12","Arizona",24,10,0.706,16.93,12.49,2793,2642,1.05715367146101,NA,0.565
"13","Arkansas-Little Rock",18,11,0.621,2.67,-2.52,2152,1940,1.10927835051546,NA,0.566
"14","Arkansas-Pine Bluff",2,26,0.071,-27.49,-8.7,1852,2378,0.778805719091674,NA,0.444
"15","Arkansas State",15,16,0.484,2.13,-1.98,2259,2076,1.08815028901734,NA,0.541
"16","Arkansas",14,15,0.483,12.27,10.13,2171,2108,1.02988614800759,NA,0.527
"17","Army",12,16,0.429,-13.02,-7.44,1871,1962,0.95361875637105,NA,0.519
"18","Auburn",12,16,0.429,6.89,7.96,1835,1865,0.983914209115281,NA,0.494
"19","Austin Peay",14,18,0.438,-4.02,-1.02,2255,2253,1.00088770528185,NA,0.532
"20","Ball State",23,12,0.657,8.87,3.29,2731,2517,1.08502185141041,NA,0.565
"21","Baylor",14,16,0.467,6.23,5.08,2296,2166,1.06001846722068,NA,0.546
"22","Belmont",11,17,0.393,-7.11,-3.39,2020,2124,0.951035781544256,NA,0.59
"23","Bethune-Cookman",12,17,0.414,-14.33,-8.26,1983,2140,0.926635514018692,NA,0.521
"24","Binghamton",9,19,0.321,-13.87,-9.4,1811,1936,0.935433884297521,NA,0.507
"25","Boise State",13,17,0.433,-1.64,2.09,1877,1973,0.951343132285859,NA,0.499
"26","Boston College",20,12,0.625,8.95,5.91,2354,2257,1.04297740363314,NA,0.516
"27","Boston University",22,10,0.688,-4.68,-7.81,2147,2047,1.04885197850513,NA,0.517
"28","Bowling Green State",24,9,0.727,7.68,1.46,2464,2238,1.10098302055407,NA,0.591
"29","Bradley",9,20,0.31,-3.55,0.73,1759,1883,0.934147636749867,NA,0.487
"30","Brigham Young",18,12,0.6,9.35,5.35,2115,1951,1.08405945668888,NA,0.574
"31","Brown",17,10,0.63,-3.54,-5.89,2090,1997,1.04656985478217,NA,0.556
"32","Bucknell",13,16,0.448,-10.24,-7.07,1791,1883,0.951141795007966,NA,0.511
"33","Buffalo",12,18,0.4,-2.78,-0.48,2018,2087,0.966938188787734,NA,0.509
"34","Butler",26,6,0.813,11.14,-0.4,2251,1849,1.21741481882098,NA,0.558
"35","Cal Poly",15,12,0.556,-1.28,-1.48,1870,1833,1.02018548827059,NA,0.517
"36","Cal State Fullerton",5,22,0.185,-11.41,-1.06,1689,1922,0.878772112382934,NA,0.493
"37","Cal State Northridge",12,16,0.429,-2.89,0.41,1911,1946,0.982014388489209,NA,0.504
"38","UC-Irvine",21,11,0.656,3.44,-0.19,2220,2089,1.06270943034945,NA,0.56
"39","UC-Riverside",8,18,0.308,-7.18,-0.62,1678,1835,0.914441416893733,NA,0.513
"40","UC-Santa Barbara",20,11,0.645,5.55,-0.05,2066,1889,1.09370037056644,NA,0.56
"41","University of California",23,9,0.719,13.08,7.45,2310,2130,1.08450704225352,NA,0.533
"42","Campbell",8,19,0.296,-15.39,-5.2,1909,2158,0.884615384615385,NA,0.531
"43","Canisius",10,20,0.333,-8.16,-4.83,1965,2065,0.951573849878935,NA,0.475
"44","Centenary (LA)",14,13,0.519,-5.98,-1.48,1947,1872,1.0400641025641,NA,0.538
"45","Central Connecticut State",27,5,0.844,-1.1,-9.29,2280,2018,1.12983151635282,NA,0.541
"46","Central Florida",17,12,0.586,-1.2,-6.38,2249,2070,1.08647342995169,NA,0.557
"47","Central Michigan",9,19,0.321,-3.59,1.33,1960,2071,0.946402704007726,NA,0.542
"48","Charleston Southern",12,17,0.414,-14.19,-6.23,1823,1981,0.920242301867744,NA,0.51
"49","Charlotte",18,12,0.6,13.61,8.68,2205,2057,1.0719494409334,NA,0.545
"50","Chattanooga",16,14,0.533,1.2,0.56,2195,2115,1.03782505910165,NA,0.526
"51","Chicago State",2,26,0.071,-20.25,0.51,1766,2275,0.776263736263736,NA,0.467
"52","Cincinnati",31,4,0.886,24.38,6.58,2738,2115,1.29456264775414,NA,0.554
"53","Citadel",17,12,0.586,-0.49,-2.25,2115,1980,1.06818181818182,NA,0.523
