"","team","seed","score","point_diff","result"
"1","Duke",1,73,29,1
"2","Arkansas-Pine Bluff",16,44,-29,0
"3","University of California",8,77,15,1
"4","Louisville",9,62,-15,0
"5","Texas A&M",5,69,16,1
"6","Utah State",12,53,-16,0
"7","Purdue",4,72,8,1
"8","Siena",13,64,-8,0
"9","Notre Dame",6,50,-1,0
"10","Old Dominion",11,51,1,1
"11","Baylor",3,68,9,1
"12","Sam Houston State",14,59,-9,0
"13","Richmond",7,71,-9,0
"14","Saint Mary's (CA)",10,80,9,1
"15","Villanova",2,73,3,1
"16","Robert Morris",15,70,-3,0
"17","Kentucky",1,100,29,1
"18","ETSU",16,71,-29,0
"19","Texas",8,80,-1,0
"20","Wake Forest",9,81,1,1
"21","Temple",5,65,-13,0
"22","Cornell",12,78,13,1
"23","Wisconsin",4,53,4,1
"24","Wofford",13,49,-4,0
"25","Marquette",6,78,-2,0
"26","Washington",11,80,2,1
"27","New Mexico",3,62,5,1
"28","Montana",14,57,-5,0
"29","Clemson",7,78,-8,0
"30","Missouri",10,86,8,1
"31","West Virginia",2,77,27,1
"32","Morgan State",15,50,-27,0
"33","Kansas",1,90,16,1
"34","Lehigh",16,74,-16,0
"35","UNLV",8,66,-3,0
"36","Northern Iowa",9,69,3,1
"37","Michigan State",5,70,3,1
"38","New Mexico State",12,67,-3,0
"39","Maryland",4,89,12,1
"40","Houston",13,77,-12,0
"41","Tennessee",6,62,3,1
"42","San Diego State",11,59,-3,0
"43","Georgetown",3,83,-14,0
"44","Ohio",14,97,14,1
"45","Oklahoma State",7,59,-5,0
"46","Georgia Tech",10,64,5,1
"47","Ohio State",2,68,17,1
"48","UCSB",15,51,-17,0
"49","Syracuse",1,79,23,1
"50","Vermont",16,56,-23,0
"51","Gonzaga",8,67,7,1
"52","Florida State",9,60,-7,0
"53","Butler",5,77,18,1
"54","UTEP",12,59,-18,0
"55","Vanderbilt",4,65,-1,0
"56","Murray State",13,66,1,1
"57","Xavier",6,65,11,1
"58","Minnesota",11,54,-11,0
"59","Pitt",3,89,23,1
"60","Oakland",14,66,-23,0
"61","BYU",7,99,7,1
"62","Florida",10,92,-7,0
"63","Kansas State",2,82,20,1
"64","North Texas",15,62,-20,0
