"","team","seed","score","point_diff","result"
"1","Texas",1,82,21,1
"2","North Carolina-Asheville",16,61,-21,0
"3","LSU",8,56,-24,0
"4","Purdue",9,80,24,1
"5","UConn",5,58,5,1
"6","BYU",12,53,-5,0
"7","Stanford",4,77,8,1
"8","San Diego",13,69,-8,0
"9","Maryland",6,75,2,1
"10","North Carolina-Wilmington",11,73,-2,0
"11","Xavier",3,71,12,1
"12","Troy",14,59,-12,0
"13","Michigan State",7,79,15,1
"14","Colorado",10,64,-15,0
"15","Florida",2,85,30,1
"16","Sam Houston State",15,55,-30,0
"17","Oklahoma",1,71,17,1
"18","South Carolina State",16,54,-17,0
"19","University of California",8,76,2,1
"20","North Carolina State",9,74,-2,0
"21","Mississippi State",5,46,-1,0
"22","Butler",12,47,1,1
"23","Louisville",4,86,22,1
"24","Austin Peay",13,64,-22,0
"25","Oklahoma State",6,77,14,1
"26","Penn",11,63,-14,0
"27","Syracuse",3,76,11,1
"28","Manhattan",14,65,-11,0
"29","St. Joseph's",7,63,-2,0
"30","Auburn",10,65,2,1
"31","Wake Forest",2,76,3,1
"32","ETSU",15,73,-3,0
"33","Kentucky",1,95,31,1
"34","IUPUI",16,64,-31,0
"35","Oregon",8,58,-2,0
"36","Utah",9,60,2,1
"37","Wisconsin",5,81,7,1
"38","Weber State",12,74,-7,0
"39","Dayton",4,71,-13,0
"40","Tulsa",13,84,13,1
"41","Missouri",6,72,1,1
"42","Southern Illinois",11,71,-1,0
"43","Marquette",3,72,4,1
"44","Holy Cross",14,68,-4,0
"45","Indiana",7,67,5,1
"46","Alabama",10,62,-5,0
"47","Pitt",2,87,26,1
"48","Wagner",15,61,-26,0
"49","Arizona",1,80,29,1
"50","Vermont",16,51,-29,0
"51","Cincinnati",8,69,-5,0
"52","Gonzaga",9,74,5,1
"53","Notre Dame",5,70,1,1
"54","Milwaukee",12,69,-1,0
"55","Illinois",4,65,5,1
"56","Western Kentucky",13,60,-5,0
"57","Creighton",6,73,-6,0
"58","Central Michigan",11,79,6,1
"59","Duke",3,67,10,1
"60","Colorado State",14,57,-10,0
"61","Memphis",7,71,-13,0
"62","Arizona State",10,84,13,1
"63","Kansas",2,64,3,1
"64","Utah State",15,61,-3,0
