"","team","seed","score","point_diff","result"
"1","UNC",1,83,16,1
"2","Florida Gulf Coast",16,67,-16,0
"3","USC",8,69,-1,0
"4","Providence",9,70,1,1
"5","Indiana",5,99,25,1
"6","Chattanooga",12,74,-25,0
"7","Kentucky",4,85,28,1
"8","Stony Brook",13,57,-28,0
"9","Notre Dame",6,70,7,1
"10","Michigan",11,63,-7,0
"11","West Virginia",3,56,-14,0
"12","Stephen F. Austin",14,70,14,1
"13","Wisconsin",7,47,4,1
"14","Pitt",10,43,-4,0
"15","Xavier",2,71,18,1
"16","Weber State",15,53,-18,0
"17","Oregon",1,91,39,1
"18","Holy Cross",16,52,-39,0
"19","St. Joseph's",8,78,2,1
"20","Cincinnati",9,76,-2,0
"21","Baylor",5,75,-4,0
"22","Yale",12,79,4,1
"23","Duke",4,93,8,1
"24","North Carolina-Wilmington",13,85,-8,0
"25","Texas",6,72,-3,0
"26","Northern Iowa",11,75,3,1
"27","Texas A&M",3,92,27,1
"28","Green Bay",14,65,-27,0
"29","Oregon State",7,67,-8,0
"30","VCU",10,75,8,1
"31","Oklahoma",2,82,14,1
"32","Cal State Bakersfield",15,68,-14,0
"33","Kansas",1,105,26,1
"34","Austin Peay",16,79,-26,0
"35","Colorado",8,67,-7,0
"36","UConn",9,74,7,1
"37","Maryland",5,79,5,1
"38","South Dakota State",12,74,-5,0
"39","University of California",4,66,-11,0
"40","Hawaii",13,77,11,1
"41","Arizona",6,55,-10,0
"42","Wichita State",11,65,10,1
"43","Miami (FL)",3,79,7,1
"44","Buffalo",14,72,-7,0
"45","Iowa",7,72,2,1
"46","Temple",10,70,-2,0
"47","Villanova",2,86,30,1
"48","North Carolina-Asheville",15,56,-30,0
"49","Virginia",1,81,36,1
"50","Hampton",16,45,-36,0
"51","Texas Tech",8,61,-10,0
"52","Butler",9,71,10,1
"53","Purdue",5,83,-2,0
"54","Arkansas-Little Rock",12,85,2,1
"55","Iowa State",4,94,13,1
"56","Iona",13,81,-13,0
"57","Seton Hall",6,52,-16,0
"58","Gonzaga",11,68,16,1
"59","Utah",3,80,11,1
"60","Fresno State",14,69,-11,0
"61","Dayton",7,51,-19,0
"62","Syracuse",10,70,19,1
"63","Michigan State",2,81,-9,0
"64","Middle Tennessee",15,90,9,1
