"","team","seed","score","point_diff","result"
"1","Maryland",1,85,15,1
"2","Siena",16,70,-15,0
"3","Wisconsin",8,80,10,1
"4","St. John's (NY)",9,70,-10,0
"5","Marquette",5,69,-2,0
"6","Tulsa",12,71,2,1
"7","Kentucky",4,83,15,1
"8","Valparaiso",13,68,-15,0
"9","Texas Tech",6,68,-8,0
"10","Southern Illinois",11,76,8,1
"11","Georgia",3,85,17,1
"12","Murray State",14,68,-17,0
"13","North Carolina State",7,69,11,1
"14","Michigan State",10,58,-11,0
"15","UConn",2,78,11,1
"16","Hampton",15,67,-11,0
"17","Kansas",1,70,11,1
"18","Holy Cross",16,59,-11,0
"19","Stanford",8,84,16,1
"20","Western Kentucky",9,68,-16,0
"21","Florida",5,82,-1,0
"22","Creighton",12,83,1,1
"23","Illinois",4,93,29,1
"24","San Diego State",13,64,-29,0
"25","Texas",6,70,13,1
"26","Boston College",11,57,-13,0
"27","Mississippi State",3,70,12,1
"28","McNeese State",14,58,-12,0
"29","Wake Forest",7,83,9,1
"30","Pepperdine",10,74,-9,0
"31","Oregon",2,81,19,1
"32","Montana",15,62,-19,0
"33","Duke",1,84,47,1
"34","Winthrop",16,37,-47,0
"35","Notre Dame",8,82,19,1
"36","Charlotte",9,63,-19,0
"37","Indiana",5,75,19,1
"38","Utah",12,56,-19,0
"39","USC",4,89,-4,0
"40","North Carolina-Wilmington",13,93,4,1
"41","University of California",6,82,7,1
"42","Penn",11,75,-7,0
"43","Pitt",3,71,17,1
"44","Central Connecticut",14,54,-17,0
"45","Oklahoma State",7,61,-8,0
"46","Kent State",10,69,8,1
"47","Alabama",2,86,8,1
"48","Florida Atlantic",15,78,-8,0
"49","Cincinnati",1,90,38,1
"50","Boston University",16,52,-38,0
"51","UCLA",8,80,22,1
"52","Ole Miss",9,58,-22,0
"53","Miami (FL)",5,80,-13,0
"54","Missouri",12,93,13,1
"55","Ohio State",4,69,5,1
"56","Davidson",13,64,-5,0
"57","Gonzaga",6,66,-7,0
"58","Wyoming",11,73,7,1
"59","Arizona",3,86,5,1
"60","UCSB",14,81,-5,0
"61","Xavier",7,70,12,1
"62","Hawaii",10,58,-12,0
"63","Oklahoma",2,71,8,1
"64","UIC",15,63,-8,0
