"","team","seed","score","point_diff","result"
"1","UNC",1,113,39,1
"2","Mount St. Mary's",16,74,-39,0
"3","Indiana",8,72,-14,0
"4","Arkansas",9,86,14,1
"5","Notre Dame",5,68,18,1
"6","George Mason",12,50,-18,0
"7","Washington State",4,71,31,1
"8","Winthrop",13,40,-31,0
"9","Oklahoma",6,72,8,1
"10","St. Joseph's",11,64,-8,0
"11","Louisville",3,79,18,1
"12","Boise State",14,61,-18,0
"13","Butler",7,81,20,1
"14","South Alabama",10,61,-20,0
"15","Tennessee",2,72,15,1
"16","American",15,57,-15,0
"17","Kansas",1,85,24,1
"18","Portland State",16,61,-24,0
"19","UNLV",8,71,13,1
"20","Kent State",9,58,-13,0
"21","Clemson",5,69,-6,0
"22","Villanova",12,75,6,1
"23","Vanderbilt",4,62,-21,0
"24","Siena",13,83,21,1
"25","USC",6,67,-13,0
"26","Kansas State",11,80,13,1
"27","Wisconsin",3,71,15,1
"28","Cal State Fullerton",14,56,-15,0
"29","Gonzaga",7,76,-6,0
"30","Davidson",10,82,6,1
"31","Georgetown",2,66,19,1
"32","UMBC",15,47,-19,0
"33","Memphis",1,87,24,1
"34","Texas-Arlington",16,63,-24,0
"35","Mississippi State",8,76,7,1
"36","Oregon",9,69,-7,0
"37","Michigan State",5,72,11,1
"38","Temple",12,61,-11,0
"39","Pitt",4,82,19,1
"40","Oral Roberts",13,63,-19,0
"41","Marquette",6,74,8,1
"42","Kentucky",11,66,-8,0
"43","Stanford",3,77,24,1
"44","Cornell",14,53,-24,0
"45","Miami (FL)",7,78,14,1
"46","Saint Mary's (CA)",10,64,-14,0
"47","Texas",2,74,20,1
"48","Austin Peay",15,54,-20,0
"49","UCLA",1,70,41,1
"50","Mississippi Valley State",16,29,-41,0
"51","BYU",8,62,-5,0
"52","Texas A&M",9,67,5,1
"53","Drake",5,99,-2,0
"54","Western Kentucky",12,101,2,1
"55","UConn",4,69,-1,0
"56","San Diego",13,70,1,1
"57","Purdue",6,90,11,1
"58","Baylor",11,79,-11,0
"59","Xavier",3,73,12,1
"60","Georgia",14,61,-12,0
"61","West Virginia",7,75,10,1
"62","Arizona",10,65,-10,0
"63","Duke",2,71,1,1
"64","Belmont",15,70,-1,0
