"","team","seed","score","point_diff","result"
"1","Villanova",1,58,13,1
"2","Monmouth",16,45,-13,0
"3","Arizona",8,94,19,1
"4","Wisconsin",9,75,-19,0
"5","Nevada",5,79,-8,0
"6","Montana",12,87,8,1
"7","Boston College",4,88,12,1
"8","Pacific",13,76,-12,0
"9","Oklahoma",6,74,-8,0
"10","Milwaukee",11,82,8,1
"11","Florida",3,76,26,1
"12","South Alabama",14,50,-26,0
"13","Georgetown",7,54,5,1
"14","Northern Iowa",10,49,-5,0
"15","Ohio State",2,70,8,1
"16","Davidson",15,62,-8,0
"17","Duke",1,70,16,1
"18","Southern",16,54,-16,0
"19","George Washington",8,88,3,1
"20","North Carolina-Wilmington",9,85,-3,0
"21","Syracuse",5,58,-8,0
"22","Texas A&M",12,66,8,1
"23","LSU",4,80,16,1
"24","Iona",13,64,-16,0
"25","West Virginia",6,64,18,1
"26","Southern Illinois",11,46,-18,0
"27","Iowa",3,63,-1,0
"28","Northwestern State",14,64,1,1
"29","University of California",7,52,-6,0
"30","North Carolina State",10,58,6,1
"31","Texas",2,60,8,1
"32","Penn",15,52,-8,0
"33","Memphis",1,94,16,1
"34","Oral Roberts",16,78,-16,0
"35","Arkansas",8,55,-4,0
"36","Bucknell",9,59,4,1
"37","Pitt",5,79,15,1
"38","Kent State",12,64,-15,0
"39","Kansas",4,73,-4,0
"40","Bradley",13,77,4,1
"41","Indiana",6,87,4,1
"42","San Diego State",11,83,-4,0
"43","Gonzaga",3,79,4,1
"44","Xavier",14,75,-4,0
"45","Marquette",7,85,-5,0
"46","Alabama",10,90,5,1
"47","UCLA",2,78,34,1
"48","Belmont",15,44,-34,0
"49","UConn",1,72,13,1
"50","Albany (NY)",16,59,-13,0
"51","Kentucky",8,69,5,1
"52","Alabama-Birmingham",9,64,-5,0
"53","Washington",5,75,14,1
"54","Utah State",12,61,-14,0
"55","Illinois",4,78,9,1
"56","Air Force",13,69,-9,0
"57","Michigan State",6,65,-10,0
"58","George Mason",11,75,10,1
"59","UNC",3,69,4,1
"60","Murray State",14,65,-4,0
"61","Wichita State",7,86,20,1
"62","Seton Hall",10,66,-20,0
"63","Tennessee",2,63,2,1
"64","Winthrop",15,61,-2,0
