"","team","seed","score","point_diff","result"
"1","UNC",1,96,28,1
"2","Oakland",16,68,-28,0
"3","Minnesota",8,53,-11,0
"4","Iowa State",9,64,11,1
"5","Villanova",5,55,8,1
"6","New Mexico",12,47,-8,0
"7","Florida",4,67,5,1
"8","Ohio",13,62,-5,0
"9","Wisconsin",6,57,5,1
"10","Northern Iowa",11,52,-5,0
"11","Kansas",3,63,-1,0
"12","Bucknell",14,64,1,1
"13","Charlotte",7,63,-12,0
"14","North Carolina State",10,75,12,1
"15","UConn",2,77,6,1
"16","UCF",15,71,-6,0
"17","Washington",1,88,11,1
"18","Montana",16,77,-11,0
"19","Pacific",8,79,8,1
"20","Pitt",9,71,-8,0
"21","Georgia Tech",5,80,12,1
"22","George Washington",12,68,-12,0
"23","Louisville",4,68,6,1
"24","Louisiana-Lafayette",13,62,-6,0
"25","Texas Tech",6,78,12,1
"26","UCLA",11,66,-12,0
"27","Gonzaga",3,74,10,1
"28","Winthrop",14,64,-10,0
"29","West Virginia",7,63,2,1
"30","Creighton",10,61,-2,0
"31","Wake Forest",2,70,16,1
"32","Chattanooga",15,54,-16,0
"33","Duke",1,57,11,1
"34","Delaware State",16,46,-11,0
"35","Stanford",8,70,-23,0
"36","Mississippi State",9,93,23,1
"37","Michigan State",5,89,8,1
"38","Old Dominion",12,81,-8,0
"39","Syracuse",4,57,-3,0
"40","Vermont",13,60,3,1
"41","Utah",6,60,6,1
"42","UTEP",11,54,-6,0
"43","Oklahoma",3,84,17,1
"44","Niagara",14,67,-17,0
"45","Cincinnati",7,76,12,1
"46","Iowa",10,64,-12,0
"47","Kentucky",2,72,8,1
"48","Eastern Kentucky",15,64,-8,0
"49","Illinois",1,67,12,1
"50","Fairleigh Dickinson",16,55,-12,0
"51","Texas",8,57,-4,0
"52","Nevada",9,61,4,1
"53","Alabama",5,73,-10,0
"54","Milwaukee",12,83,10,1
"55","Boston College",4,85,20,1
"56","Penn",13,65,-20,0
"57","LSU",6,68,-14,0
"58","Alabama-Birmingham",11,82,14,1
"59","Arizona",3,66,13,1
"60","Utah State",14,53,-13,0
"61","Southern Illinois",7,65,9,1
"62","Saint Mary's (CA)",10,56,-9,0
"63","Oklahoma State",2,63,13,1
"64","Southeastern Louisiana",15,50,-13,0
