"","team","seed","score","point_diff","result"
"1","Villanova",1,93,41,1
"2","Lafayette",16,52,-41,0
"3","North Carolina State",8,66,1,1
"4","LSU",9,65,-1,0
"5","Northern Iowa",5,71,17,1
"6","Wyoming",12,54,-17,0
"7","Louisville",4,57,2,1
"8","UC-Irvine",13,55,-2,0
"9","Providence",6,53,-13,0
"10","Dayton",11,66,13,1
"11","Oklahoma",3,69,9,1
"12","Albany (NY)",14,60,-9,0
"13","Michigan State",7,70,7,1
"14","Georgia",10,63,-7,0
"15","Virginia",2,79,12,1
"16","Belmont",15,67,-12,0
"17","Kentucky",1,79,23,1
"18","Hampton",16,56,-23,0
"19","Cincinnati",8,66,1,1
"20","Purdue",9,65,-1,0
"21","West Virginia",5,68,6,1
"22","Buffalo",12,62,-6,0
"23","Maryland",4,65,3,1
"24","Valparaiso",13,62,-3,0
"25","Butler",6,56,8,1
"26","Texas",11,48,-8,0
"27","Notre Dame",3,69,4,1
"28","Northeastern",14,65,-4,0
"29","Wichita State",7,81,5,1
"30","Indiana",10,76,-5,0
"31","Kansas",2,75,19,1
"32","New Mexico State",15,56,-19,0
"33","Duke",1,85,29,1
"34","Robert Morris",16,56,-29,0
"35","San Diego State",8,76,12,1
"36","St. John's (NY)",9,64,-12,0
"37","Utah",5,57,7,1
"38","Stephen F. Austin",12,50,-7,0
"39","Georgetown",4,84,10,1
"40","Eastern Washington",13,74,-10,0
"41","SMU",6,59,-1,0
"42","UCLA",11,60,1,1
"43","Iowa State",3,59,-1,0
"44","Alabama-Birmingham",14,60,1,1
"45","Iowa",7,83,31,1
"46","Davidson",10,52,-31,0
"47","Gonzaga",2,86,10,1
"48","North Dakota State",15,76,-10,0
"49","Wisconsin",1,86,14,1
"50","Coastal Carolina",16,72,-14,0
"51","Oregon",8,79,6,1
"52","Oklahoma State",9,73,-6,0
"53","Arkansas",5,56,3,1
"54","Wofford",12,53,-3,0
"55","UNC",4,67,2,1
"56","Harvard",13,65,-2,0
"57","Xavier",6,76,19,1
"58","Ole Miss",11,57,-19,0
"59","Baylor",3,56,-1,0
"60","Georgia State",14,57,1,1
"61","VCU",7,72,-3,0
"62","Ohio State",10,75,3,1
"63","Arizona",2,93,21,1
"64","Texas Southern",15,72,-21,0
