"","team","seed","score","point_diff","result"
"1","Kentucky",1,96,20,1
"2","Florida A&M",16,76,-20,0
"3","Washington",8,100,-2,0
"4","Alabama-Birmingham",9,102,2,1
"5","Providence",5,58,-8,0
"6","Pacific",12,66,8,1
"7","Kansas",4,78,25,1
"8","UIC",13,53,-25,0
"9","Boston College",6,58,7,1
"10","Utah",11,51,-7,0
"11","Georgia Tech",3,65,5,1
"12","Northern Iowa",14,60,-5,0
"13","Michigan State",7,66,-6,0
"14","Nevada",10,72,6,1
"15","Gonzaga",2,76,27,1
"16","Valparaiso",15,49,-27,0
"17","Duke",1,96,35,1
"18","Alabama State",16,61,-35,0
"19","Seton Hall",8,80,4,1
"20","Arizona",9,76,-4,0
"21","Illinois",5,72,19,1
"22","Murray State",12,53,-19,0
"23","Cincinnati",4,80,3,1
"24","ETSU",13,77,-3,0
"25","UNC",6,63,11,1
"26","Air Force",11,52,-11,0
"27","Texas",3,66,17,1
"28","Princeton",14,49,-17,0
"29","Xavier",7,80,10,1
"30","Louisville",10,70,-10,0
"31","Mississippi State",2,85,33,1
"32","Monmouth",15,52,-33,0
"33","St. Joseph's",1,82,19,1
"34","Liberty",16,63,-19,0
"35","Texas Tech",8,76,3,1
"36","Charlotte",9,73,-3,0
"37","Florida",5,60,-15,0
"38","Manhattan",12,75,15,1
"39","Wake Forest",4,79,1,1
"40","VCU",13,78,-1,0
"41","Wisconsin",6,76,12,1
"42","Richmond",11,64,-12,0
"43","Pitt",3,53,9,1
"44","UCF",14,44,-9,0
"45","Memphis",7,59,16,1
"46","South Carolina",10,43,-16,0
"47","Oklahoma State",2,75,19,1
"48","Eastern Washington",15,56,-19,0
"49","Stanford",1,71,26,1
"50","UTSA",16,45,-26,0
"51","Alabama",8,65,1,1
"52","Southern Illinois",9,64,-1,0
"53","Syracuse",5,80,5,1
"54","BYU",12,75,-5,0
"55","Maryland",4,86,3,1
"56","UTEP",13,83,-3,0
"57","Vanderbilt",6,71,13,1
"58","Western Michigan",11,58,-13,0
"59","North Carolina State",3,61,9,1
"60","Louisiana-Lafayette",14,52,-9,0
"61","DePaul",7,76,7,1
"62","Dayton",10,69,-7,0
"63","UConn",2,70,17,1
"64","Vermont",15,53,-17,0
