"","team","score","seed"
"1","UNC","83",1
"2","Florida Gulf Coast","67",16
"3","USC","69",8
"4","Providence","70",9
"5","Indiana","99",5
"6","Chattanooga","74",12
"7","Kentucky","85",4
"8","Stony Brook","57",13
"9","Notre Dame","70",6
"10","Michigan","63",11
"11","West Virginia","56",3
"12","Stephen F. Austin","70",14
"13","Wisconsin","47",7
"14","Pitt","43",10
"15","Xavier","71",2
"16","Weber State","53",15
"17","Oregon","91",1
"18","Holy Cross","52",16
"19","St. Joseph's","78",8
"20","Cincinnati","76",9
"21","Baylor","75",5
"22","Yale","79",12
"23","Duke","93",4
"24","North Carolina-Wilmington","85",13
"25","Texas","72",6
"26","Northern Iowa","75",11
"27","Texas A&M","92",3
"28","Green Bay","65",14
"29","Oregon State","67",7
"30","VCU","75",10
"31","Oklahoma","82",2
"32","Cal State Bakersfield","68",15
"33","Kansas","105",1
"34","Austin Peay","79",16
"35","Colorado","67",8
"36","UConn","74",9
"37","Maryland","79",5
"38","South Dakota State","74",12
"39","University of California","66",4
"40","Hawaii","77",13
"41","Arizona","55",6
"42","Wichita State","65",11
"43","Miami (FL)","79",3
"44","Buffalo","72",14
"45","Iowa","72",7
"46","Temple","70",10
"47","Villanova","86",2
"48","North Carolina-Asheville","56",15
"49","Virginia","81",1
"50","Hampton","45",16
"51","Texas Tech","61",8
"52","Butler","71",9
"53","Purdue","83",5
"54","Arkansas-Little Rock","85",12
"55","Iowa State","94",4
"56","Iona","81",13
"57","Seton Hall","52",6
"58","Gonzaga","68",11
"59","Utah","80",3
"60","Fresno State","69",14
"61","Dayton","51",7
"62","Syracuse","70",10
"63","Michigan State","81",2
"64","Middle Tennessee","90",15
