"","team","score","seed"
"1","Villanova","93",1
"2","Lafayette","52",16
"3","North Carolina State","66",8
"4","LSU","65",9
"5","Northern Iowa","71",5
"6","Wyoming","54",12
"7","Louisville","57",4
"8","UC-Irvine","55",13
"9","Providence","53",6
"10","Dayton","66",11
"11","Oklahoma","69",3
"12","Albany (NY)","60",14
"13","Michigan State","70",7
"14","Georgia","63",10
"15","Virginia","79",2
"16","Belmont","67",15
"17","Kentucky","79",1
"18","Hampton","56",16
"19","Cincinnati","66",8
"20","Purdue","65",9
"21","West Virginia","68",5
"22","Buffalo","62",12
"23","Maryland","65",4
"24","Valparaiso","62",13
"25","Butler","56",6
"26","Texas","48",11
"27","Notre Dame","69",3
"28","Northeastern","65",14
"29","Wichita State","81",7
"30","Indiana","76",10
"31","Kansas","75",2
"32","New Mexico State","56",15
"33","Duke","85",1
"34","Robert Morris","56",16
"35","San Diego State","76",8
"36","St. John's (NY)","64",9
"37","Utah","57",5
"38","Stephen F. Austin","50",12
"39","Georgetown","84",4
"40","Eastern Washington","74",13
"41","SMU","59",6
"42","UCLA","60",11
"43","Iowa State","59",3
"44","Alabama-Birmingham","60",14
"45","Iowa","83",7
"46","Davidson","52",10
"47","Gonzaga","86",2
"48","North Dakota State","76",15
"49","Wisconsin","86",1
"50","Coastal Carolina","72",16
"51","Oregon","79",8
"52","Oklahoma State","73",9
"53","Arkansas","56",5
"54","Wofford","53",12
"55","UNC","67",4
"56","Harvard","65",13
"57","Xavier","76",6
"58","Ole Miss","57",11
"59","Baylor","56",3
"60","Georgia State","57",14
"61","VCU","72",7
"62","Ohio State","75",10
"63","Arizona","93",2
"64","Texas Southern","72",15
