"","team","seed","score","point_diff","result"
"1","Indiana",1,83,21,1
"2","James Madison",16,62,-21,0
"3","North Carolina State",8,72,-4,0
"4","Temple",9,76,4,1
"5","UNLV",5,61,-3,0
"6","University of California",12,64,3,1
"7","Syracuse",4,81,47,1
"8","Montana",13,34,-47,0
"9","Butler",6,68,12,1
"10","Bucknell",11,56,-12,0
"11","Marquette",3,59,1,1
"12","Davidson",14,58,-1,0
"13","Illinois",7,57,8,1
"14","Colorado",10,49,-8,0
"15","Miami (FL)",2,78,29,1
"16","Pacific",15,49,-29,0
"17","Louisville",1,79,31,1
"18","North Carolina A&T",16,48,-31,0
"19","Colorado State",8,84,12,1
"20","Missouri",9,72,-12,0
"21","Oklahoma State",5,55,-13,0
"22","Oregon",12,68,13,1
"23","Saint Louis",4,64,20,1
"24","New Mexico State",13,44,-20,0
"25","Memphis",6,54,2,1
"26","Saint Mary's (CA)",11,52,-2,0
"27","Michigan State",3,65,11,1
"28","Valparaiso",14,54,-11,0
"29","Creighton",7,67,4,1
"30","Cincinnati",10,63,-4,0
"31","Duke",2,73,12,1
"32","Albany (NY)",15,61,-12,0
"33","Kansas",1,64,7,1
"34","Western Kentucky",16,57,-7,0
"35","UNC",8,78,7,1
"36","Villanova",9,71,-7,0
"37","VCU",5,88,46,1
"38","Akron",12,42,-46,0
"39","Michigan",4,71,15,1
"40","South Dakota State",13,56,-15,0
"41","UCLA",6,63,-20,0
"42","Minnesota",11,83,20,1
"43","Florida",3,79,32,1
"44","Northwestern State",14,47,-32,0
"45","San Diego State",7,70,15,1
"46","Oklahoma",10,55,-15,0
"47","Georgetown",2,68,-10,0
"48","Florida Gulf Coast",15,78,10,1
"49","Gonzaga",1,64,6,1
"50","Southern",16,58,-6,0
"51","Pitt",8,55,-18,0
"52","Wichita State",9,73,18,1
"53","Wisconsin",5,46,-11,0
"54","Ole Miss",12,57,11,1
"55","Kansas State",4,61,-2,0
"56","La Salle",13,63,2,1
"57","Arizona",6,81,17,1
"58","Belmont",11,64,-17,0
"59","New Mexico",3,62,-6,0
"60","Harvard",14,68,6,1
"61","Notre Dame",7,58,-18,0
"62","Iowa State",10,76,18,1
"63","Ohio State",2,95,25,1
"64","Iona",15,70,-25,0
