"","team","score","seed"
"1","Texas","82",1
"2","North Carolina-Asheville","61",16
"3","LSU","56",8
"4","Purdue","80",9
"5","UConn","58",5
"6","BYU","53",12
"7","Stanford","77",4
"8","San Diego","69",13
"9","Maryland","75",6
"10","North Carolina-Wilmington","73",11
"11","Xavier","71",3
"12","Troy","59",14
"13","Michigan State","79",7
"14","Colorado","64",10
"15","Florida","85",2
"16","Sam Houston State","55",15
"17","Oklahoma","71",1
"18","South Carolina State","54",16
"19","University of California","76",8
"20","North Carolina State","74",9
"21","Mississippi State","46",5
"22","Butler","47",12
"23","Louisville","86",4
"24","Austin Peay","64",13
"25","Oklahoma State","77",6
"26","Penn","63",11
"27","Syracuse","76",3
"28","Manhattan","65",14
"29","St. Joseph's","63",7
"30","Auburn","65",10
"31","Wake Forest","76",2
"32","ETSU","73",15
"33","Kentucky","95",1
"34","IUPUI","64",16
"35","Oregon","58",8
"36","Utah","60",9
"37","Wisconsin","81",5
"38","Weber State","74",12
"39","Dayton","71",4
"40","Tulsa","84",13
"41","Missouri","72",6
"42","Southern Illinois","71",11
"43","Marquette","72",3
"44","Holy Cross","68",14
"45","Indiana","67",7
"46","Alabama","62",10
"47","Pitt","87",2
"48","Wagner","61",15
"49","Arizona","80",1
"50","Vermont","51",16
"51","Cincinnati","69",8
"52","Gonzaga","74",9
"53","Notre Dame","70",5
"54","Milwaukee","69",12
"55","Illinois","65",4
"56","Western Kentucky","60",13
"57","Creighton","73",6
"58","Central Michigan","79",11
"59","Duke","67",3
"60","Colorado State","57",14
"61","Memphis","71",7
"62","Arizona State","84",10
"63","Kansas","64",2
"64","Utah State","61",15
