"","team","seed","score","point_diff","result"
"1","Kansas",1,107,40,1
"2","Niagara",16,67,-40,0
"3","Kentucky",8,67,9,1
"4","Villanova",9,58,-9,0
"5","Virginia Tech",5,54,2,1
"6","Illinois",12,52,-2,0
"7","Southern Illinois",4,61,10,1
"8","Holy Cross",13,51,-10,0
"9","Duke",6,77,-2,0
"10","VCU",11,79,2,1
"11","Pitt",3,79,21,1
"12","Wright State",14,58,-21,0
"13","Indiana",7,70,13,1
"14","Gonzaga",10,57,-13,0
"15","UCLA",2,70,28,1
"16","Weber State",15,42,-28,0
"17","UNC",1,86,21,1
"18","Eastern Kentucky",16,65,-21,0
"19","Marquette",8,49,-12,0
"20","Michigan State",9,61,12,1
"21","USC",5,77,17,1
"22","Arkansas",12,60,-17,0
"23","Texas",4,79,12,1
"24","New Mexico State",13,67,-12,0
"25","Vanderbilt",6,77,33,1
"26","George Washington",11,44,-33,0
"27","Washington State",3,70,16,1
"28","Oral Roberts",14,54,-16,0
"29","Boston College",7,84,9,1
"30","Texas Tech",10,75,-9,0
"31","Georgetown",2,80,25,1
"32","Belmont",15,55,-25,0
"33","Florida",1,112,43,1
"34","Jackson State",16,69,-43,0
"35","Arizona",8,63,-9,0
"36","Purdue",9,72,9,1
"37","Butler",5,57,11,1
"38","Old Dominion",12,46,-11,0
"39","Maryland",4,82,12,1
"40","Davidson",13,70,-12,0
"41","Notre Dame",6,64,-10,0
"42","Winthrop",11,74,10,1
"43","Oregon",3,58,2,1
"44","Miami (OH)",14,56,-2,0
"45","UNLV",7,67,4,1
"46","Georgia Tech",10,63,-4,0
"47","Wisconsin",2,76,13,1
"48","Texas A&M-Corpus Christi",15,63,-13,0
"49","Ohio State",1,78,21,1
"50","Central Connecticut",16,57,-21,0
"51","BYU",8,77,-2,0
"52","Xavier",9,79,2,1
"53","Tennessee",5,121,35,1
"54","Long Beach State",12,86,-35,0
"55","Virginia",4,84,27,1
"56","Albany (NY)",13,57,-27,0
"57","Louisville",6,78,20,1
"58","Stanford",11,58,-20,0
"59","Texas A&M",3,68,16,1
"60","Penn",14,52,-16,0
"61","Nevada",7,77,6,1
"62","Creighton",10,71,-6,0
"63","Memphis",2,73,15,1
"64","North Texas",15,58,-15,0
