"","team","seed","score","point_diff","result"
"1","Louisville",1,74,20,1
"2","Morehead State",16,54,-20,0
"3","Ohio State",8,72,-2,0
"4","Siena",9,74,2,1
"5","Utah",5,71,-13,0
"6","Arizona",12,84,13,1
"7","Wake Forest",4,69,-15,0
"8","Cleveland State",13,84,15,1
"9","West Virginia",6,60,-8,0
"10","Dayton",11,68,8,1
"11","Kansas",3,84,10,1
"12","North Dakota State",14,74,-10,0
"13","Boston College",7,55,-17,0
"14","USC",10,72,17,1
"15","Michigan State",2,77,15,1
"16","Robert Morris",15,62,-15,0
"17","Pitt",1,72,10,1
"18","ETSU",16,62,-10,0
"19","Oklahoma State",8,77,2,1
"20","Tennessee",9,75,-2,0
"21","Florida State",5,59,-2,0
"22","Wisconsin",12,61,2,1
"23","Xavier",4,77,18,1
"24","Portland State",13,59,-18,0
"25","UCLA",6,65,1,1
"26","VCU",11,64,-1,0
"27","Villanova",3,80,13,1
"28","American",14,67,-13,0
"29","Texas",7,76,14,1
"30","Minnesota",10,62,-14,0
"31","Duke",2,86,24,1
"32","Binghamton",15,62,-24,0
"33","UNC",1,101,43,1
"34","Radford",16,58,-43,0
"35","LSU",8,75,4,1
"36","Butler",9,71,-4,0
"37","Illinois",5,72,-4,0
"38","Western Kentucky",12,76,4,1
"39","Gonzaga",4,77,13,1
"40","Akron",13,64,-13,0
"41","Arizona State",6,66,9,1
"42","Temple",11,57,-9,0
"43","Syracuse",3,59,15,1
"44","Stephen F. Austin",14,44,-15,0
"45","Clemson",7,59,-3,0
"46","Michigan",10,62,3,1
"47","Oklahoma",2,82,28,1
"48","Morgan State",15,54,-28,0
"49","UConn",1,103,56,1
"50","Chattanooga",16,47,-56,0
"51","BYU",8,66,-13,0
"52","Texas A&M",9,79,13,1
"53","Purdue",5,61,5,1
"54","Northern Iowa",12,56,-5,0
"55","Washington",4,71,13,1
"56","Mississippi State",13,58,-13,0
"57","Marquette",6,58,1,1
"58","Utah State",11,57,-1,0
"59","Missouri",3,78,19,1
"60","Cornell",14,59,-19,0
"61","University of California",7,71,-13,0
"62","Maryland",10,84,13,1
"63","Memphis",2,81,11,1
"64","Cal State Northridge",15,70,-11,0
