"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"128","Oregon St.","12-15","+3.20","97.1","93.9","70.6","+.006"
"129","Washington","10-17","+3.17","99.1","95.9","73.7","-.058"
"130","UCF","20-11","+3.14","99.7","96.6","68.8","-.032"
"131","Toledo","13-16","+3.02","100.6","97.6","70.5","-.044"
"132","Wichita St.","18-12","+3.01","104.8","101.8","70.5","+.050"
"133","Princeton","15-11","+3.00","106.5","103.5","62.6","-.027"
"134","Arkansas","9-19","+2.85","95.1","92.3","68.9","-.039"
"135","Austin Peay","20-8","+2.64","97.6","94.9","68.0","+.172"
"136","Denver","17-15","+2.49","99.6","97.1","70.3","-.027"
"137","Northern Illinois","17-14","+2.47","101.6","99.1","68.2","+.049"
"138","Nebraska","11-18","+2.39","94.2","91.8","70.0","+.014"
"139","Miami OH","12-15","+2.38","97.5","95.2","60.2","-.027"
"140","SMU","17-13","+2.37","100.8","98.4","71.6","+.069"
"141","Virginia Tech","11-18","+2.26","102.6","100.4","70.1","-.045"
"142","Saint Mary's","14-15","+2.07","94.7","92.6","69.6","-.044"
"143","Davidson","14-10","+2.06","100.0","98.0","74.1","+.006"
"144","Stephen F. Austin","19-8","+2.05","102.1","100.1","66.2","+.004"
"145","Bradley","12-18","+1.88","100.0","98.1","71.8","-.124"
"146","American","16-14","+1.76","100.0","98.2","66.1","-.099"
"147","East Tennessee St.","17-11","+1.70","98.3","96.6","78.2","+.036"
"148","Arkansas Little Rock","17-11","+1.65","99.6","98.0","68.9","+.070"
"149","Pepperdine","15-13","+1.63","106.8","105.1","73.5","+.042"
"150","Vermont","19-11","+1.61","98.0","96.3","67.4","+.020"
"151","Morehead St.","17-9","+1.58","106.7","105.1","70.7","+.049"
"152","Air Force","12-16","+1.40","103.1","101.7","56.0","-.074"
"153","Oral Roberts","17-10","+1.10","100.9","99.8","71.6","-.029"
"154","South Alabama","12-14","+0.88","102.1","101.3","68.8","-.001"
"155","Fairfield","19-12","+0.86","95.9","95.1","72.7","+.082"
"156","Yale","13-13","+0.84","96.9","96.1","71.2","-.037"
"157","Sam Houston St.","21-7","+0.83","98.5","97.6","70.1","+.088"
"158","Brown","17-12","+0.77","102.4","101.6","72.9","+.043"
"159","Arkansas St.","11-15","+0.46","103.8","103.3","68.8","-.100"
"160","Iona","17-12","+0.46","98.8","98.4","72.3","-.033"
"161","IUPUI","19-14","+0.40","99.8","99.4","70.1","+.072"
"162","Old Dominion","12-15","+0.35","96.6","96.2","69.3","-.113"
"163","La Salle","12-17","+0.35","99.1","98.7","71.0","+.001"
"164","East Carolina","10-15","+0.27","96.3","96.1","67.6","-.019"
"165","Southern Miss","13-16","+0.13","95.7","95.6","70.8","+.049"
