"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Ohio St.",32.78,120.3,87.5,66.2,0.031
"2","Kansas",27.94,115.5,87.6,70.9,0.061
"3","Duke",27.79,115.5,87.8,71.7,0.018
"4","Pittsburgh",26.4,115.9,89.6,64.8,-0.022
"5","Texas",25.38,111.1,85.7,68.7,-0.058
"6","Wisconsin",25.31,118.2,92.9,59.3,-0.003
"7","Kentucky",25.26,113.9,88.6,67.8,-0.043
"8","San Diego St.",24.52,109.9,85.3,65.6,0.059
"9","Purdue",24.2,111.5,87.3,68.5,0.008
"10","Connecticut",23.33,111.3,88,67.4,0.049
"11","BYU",22.86,113.7,90.8,72.5,0.056
"12","Notre Dame",22.69,116.4,93.7,66,0.074
"13","Syracuse",21.88,109.8,87.9,68.1,0.033
"14","Louisville",21.87,108.1,86.2,69.2,-0.037
"15","North Carolina",21.68,107.6,86,74,0.064
"16","Washington",21.27,113.2,91.9,73.2,-0.099
"17","Florida",20.13,111.2,91.1,65.7,0.037
"18","Illinois",19.67,109.2,89.5,67.9,-0.073
"19","West Virginia",19.65,110.3,90.7,65.9,-0.018
"20","Arizona",19.24,113.4,94.1,68.5,0.065
"21","Cincinnati",19.02,106.9,87.9,65.2,0.041
"22","Utah St.",18.99,107.6,88.6,65.2,0.034
"23","Belmont",18.13,108.6,90.5,71,-0.006
"24","George Mason",17.96,110,92.1,67.1,0.028
"25","Clemson",17.87,105.5,87.7,67,-0.088
"26","Marquette",17.7,111.5,93.8,69.2,-0.057
"27","Wichita St.",17.55,109.6,92.1,67.3,-0.041
"28","UNLV",17.41,106.6,89.2,68.9,0.004
"29","Villanova",17.34,109.9,92.6,68.3,-0.04
"30","Michigan",17.32,108.6,91.3,64.2,-0.014
"31","Georgetown",17.28,109.6,92.4,66.5,0.048
"32","Kansas St.",17.06,106.3,89.2,69.7,0.011
"33","Vanderbilt",16.91,112.5,95.5,68.9,-0.05
"34","Temple",16.48,106.5,90,67.2,0.014
"35","Florida St.",16.35,100.2,83.9,69.9,-0.016
"36","Gonzaga",16.1,107.7,91.6,69.4,-0.007
"37","Butler",16.02,108.4,92.3,66.4,0.034
"38","Richmond",15.74,109.1,93.4,64.7,0.053
"39","Xavier",15.67,108.9,93.3,66.9,0.037
"40","Virginia Tech",15.57,105.4,89.9,67,-0.029
"41","St. John's",15.53,107.4,91.8,68.5,0.047
"42","Saint Mary's",15.21,113.2,98,67.9,-0.025
"43","Missouri",15.21,109.4,94.2,73.5,-0.013
"44","Maryland",14.92,105.7,90.7,72.4,-0.091
"45","Michigan St.",14.77,105.1,90.3,68.1,0.009
"46","Penn St.",14.56,108.4,93.9,62.2,0.037
"47","Old Dominion",14.44,105.8,91.3,63.3,0.059
"48","New Mexico",14.37,107.7,93.4,68.2,-0.069
"49","Texas A&M",14.27,105.5,91.2,64,0.051
"50","Northwestern",13.76,111.6,97.8,66,0.008
"51","Alabama",13.38,100.7,87.3,67.2,-0.002
"52","UCLA",13.32,104.7,91.3,68.6,0.033
"53","VCU",13.26,108.7,95.4,67.7,0.021
"54","Colorado",13.23,113.8,100.5,70.1,-0.026
"55","Duquesne",13.08,104.4,91.3,73.3,-0.148
"56","USC",13.03,103.6,90.5,65.3,-0.05
"57","Oakland",12.94,114.5,101.5,74,0.022
"58","Minnesota",12.88,106.4,93.5,67.4,-0.018
"59","Seton Hall",12.59,100.5,87.9,70.3,-0.117
"60","Washington St.",12.53,104.1,91.6,70.5,0.002
"61","Miami FL",12.3,108.8,96.5,67.3,-0.05
"62","Tennessee",12.07,103.7,91.6,69.3,-0.013
"63","Georgia",11.87,103.9,92,66.5,-0.003
"64","Nebraska",11.62,101,89.4,65.6,-0.048
"65","UAB",11.4,104.2,92.8,65.2,0.024
"66","Iona",11.34,109.8,98.4,71.3,-0.086
"67","Boston College",11.16,113,101.9,65.5,0.047
"68","Missouri St.",10.86,109.8,99,64.6,0.025
"69","Cleveland St.",10.78,104.9,94.1,67.8,0.032
"70","College of Charleston",10.7,110,99.3,69.1,-0.014
"71","Harvard",10.36,108.2,97.9,66,0.051
"72","UTEP",10.19,101.5,91.3,68.8,-0.009
"73","Oklahoma St.",10.05,102.8,92.8,67.4,0.041
"74","California",9.89,106.3,96.4,69.9,0.036
"75","Southern Miss",9.89,107.7,97.8,67.6,-0.024
"76","Mississippi",9.65,108,98.4,69.5,-0.041
"77","Colorado St.",9.33,104.6,95.2,69,0.003
"78","Rutgers",9.3,104.2,94.9,66,-0.052
"79","Princeton",8.94,103.6,94.6,65.2,0.091
"80","Baylor",8.87,103.6,94.7,67.6,-0.045
"81","Iowa St.",8.58,104.8,96.2,71.4,-0.095
"82","Indiana",8.37,106.4,98,66.9,-0.14
"83","Wofford",8.08,108.3,100.2,66.1,-0.024
"84","Boise St.",8.07,104.2,96.2,70.1,-0.037
"85","Marshall",7.81,104.5,96.7,69.8,-0.013
"86","Providence",7.07,106.5,99.5,73.8,-0.045
"87","North Carolina St.",7.05,105.6,98.5,69.3,-0.02
"88","Iowa",7.01,100.3,93.3,69.2,-0.118
"89","Morehead St.",6.85,101.6,94.7,66.2,0.023
"90","Tulsa",6.81,102.7,95.9,68.5,-0.001
"91","Memphis",6.78,100.4,93.6,70.8,0.117
"92","Oregon",6.74,102.5,95.8,69.2,0.019
"93","Drexel",6.71,95.7,89,65.9,0.066
"94","Long Beach St.",6.52,102.8,96.3,71.4,0.06
"95","Bucknell",6.47,101.6,95.2,67.7,0.067
"96","Valparaiso",6.43,102.3,95.9,69.5,0.057
"97","Dayton",6.41,100.6,94.2,68.3,0.062
"98","Creighton",6.35,106.2,99.9,66,-0.041
"99","Georgia Tech",6.14,98.1,92,70.6,-0.092
"100","Kent St.",6.06,101.4,95.3,69.4,0.053
"101","Stanford",6.06,100.6,94.6,67.3,-0.044
"102","Portland",6.05,107.2,101.2,66.2,0.052
"103","Virginia",5.83,100.3,94.5,62.5,0.02
"104","Fairfield",5.73,94.9,89.1,68.1,0.043
"105","UCF",5.71,101.3,95.6,66.9,0.013
"106","James Madison",5.68,104.9,99.2,68.9,0.022
"107","Northern Iowa",5.64,104.7,99.1,62.1,0.003
"108","LIU Brooklyn",5.34,105.4,100.1,76.5,0.052
"109","Indiana St.",5.33,99,93.7,67.4,0.052
"110","South Dakota St.",5.16,111.3,106.2,70.6,-0.084
"111","Wright St.",5.11,101.6,96.5,64.2,-0.014
"112","East Tennessee St.",5.11,100.8,95.7,67,0.03
"113","Arkansas",5.09,101.8,96.8,69.3,0.003
"114","Montana",4.99,98.4,93.4,65.7,0.008
"115","Buffalo",4.76,100.4,95.6,68.8,-0.077
"116","Santa Clara",4.56,104.5,99.9,69.2,0.05
"117","Coastal Carolina",4.48,101.5,97,68.6,0.102
"118","Akron",4,99.5,95.6,69.1,0.044
"119","Rhode Island",3.98,99.5,95.6,68.6,0.05
