"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Villanova",32.01,121.7,89.7,67.2,0.023
"2","North Carolina",29.8,123.3,93.5,70.5,-0.055
"3","Virginia",29.66,119.5,89.9,62.3,-0.04
"4","Kansas",29.64,119,89.3,69.4,0.044
"5","Michigan St.",27.93,122.3,94.4,67.2,-0.012
"6","Kentucky",25.12,120.6,95.5,68.2,-0.046
"7","Louisville",24.65,112.4,87.7,66.6,-0.024
"8","West Virginia",24.44,114.2,89.8,70.3,0.004
"9","Purdue",23.87,115.8,92,68.1,-0.046
"10","Oklahoma",23.79,116.8,93,70.6,0.082
"11","Indiana",23.02,120.6,97.6,69.1,0
"12","Oregon",22.63,117.9,95.3,69.1,0.041
"13","Wichita St.",22.55,110.2,87.6,66.5,-0.079
"14","Xavier",22.53,116.1,93.5,72.5,0.047
"15","Miami FL",22.44,118.3,95.9,66.3,0.077
"16","SMU",21.97,118.1,96.2,66.6,0.015
"17","Duke",21.87,120.8,98.9,68.5,-0.026
"18","Texas A&M",21.27,112.7,91.4,68.1,0.007
"19","Arizona",20.95,115.7,94.7,69.5,-0.038
"20","Iowa St.",20.93,120.1,99.2,71.5,-0.062
"21","Gonzaga",20.84,115.2,94.4,68.1,-0.038
"22","Iowa",20.25,115,94.8,69.3,-0.071
"23","Maryland",20.25,115.1,94.8,67.9,0.017
"24","Baylor",19.04,117.8,98.7,67.3,-0.012
"25","Vanderbilt",18.8,112.6,93.8,68.8,-0.105
"26","Connecticut",18.71,110.8,92.1,66.7,-0.036
"27","Syracuse",18.56,111.6,93,65.8,-0.027
"28","California",18.32,111.4,93.1,68.3,-0.053
"29","Seton Hall",18.28,110,91.7,70.7,0.016
"30","Butler",17.31,116.9,99.6,68.8,-0.008
"31","VCU",17.09,110.9,93.9,70.4,-0.07
"32","Cincinnati",17.06,110,93,65,-0.067
"33","Utah",16.78,114.4,97.6,66.5,0.112
"34","Saint Mary's",16.74,116.2,99.5,62.7,0.025
"35","Florida",16.63,109.4,92.8,70.1,-0.055
"36","Pittsburgh",16.62,113.8,97.2,66.1,-0.011
"37","Notre Dame",16.58,119.5,102.9,65.4,0.055
"38","Wisconsin",16.52,109,92.4,64.3,-0.022
"39","Texas",16.18,111.9,95.7,66.5,0.022
"40","Creighton",15.84,112.3,96.4,71.4,-0.095
"41","Stephen F. Austin",15.64,111.1,95.5,68.3,0.008
"42","Valparaiso",15.46,106.4,91,68.4,-0.006
"43","Saint Joseph's",15.35,113.1,97.7,70.7,0.031
"44","Providence",14.5,108.9,94.4,69.4,0.063
"45","Clemson",14.43,112.1,97.7,64.4,-0.095
"46","Yale",14.35,109.3,94.9,66.9,0.027
"47","San Diego St.",14.35,103.7,89.4,66.1,0.015
"48","Florida St.",14.28,112,97.7,72.2,-0.019
"49","USC",14.24,112.9,98.6,72,-0.028
"50","Michigan",14.16,113.6,99.4,66.5,0.013
"51","Georgia Tech",14.14,112.6,98.5,67.5,0.016
"52","George Washington",13.88,113.7,99.8,67.3,0.032
"53","BYU",13.87,112,98.1,74.2,-0.049
"54","Texas Tech",13.77,112,98.3,66.8,0.029
"55","Kansas St.",13.44,107.7,94.2,67.5,-0.052
"56","Arkansas Little Rock",13.21,108.2,95,64.4,0.056
"57","Colorado",12.89,107.7,94.8,70.3,0.015
"58","South Carolina",12.85,107.9,95.1,71,0.06
"59","Dayton",12.63,105.5,92.9,68.9,0.082
"60","Hawaii",12.16,107.1,95,71.4,0.013
"61","Houston",11.81,115.6,103.8,66.7,-0.006
"62","Georgetown",11.7,110.3,98.6,69,-0.101
"63","Virginia Tech",11.68,109.5,97.8,70.2,0.015
"64","Oregon St.",11.62,109.6,97.9,68.2,0.043
"65","Tulsa",11.5,110,98.5,69.2,-0.003
"66","Washington",11.2,109.4,98.2,77.9,-0.016
"67","Northern Iowa",11.15,108.5,97.3,64.2,0.013
"68","Northwestern",11.06,110,98.9,64.7,-0.001
"69","UCLA",10.74,111.5,100.7,71.1,-0.056
"70","Princeton",10.68,111.1,100.4,69.5,0.036
"71","Georgia",10.59,106.9,96.3,68.3,0.065
"72","Evansville",10.57,107.2,96.7,69.2,-0.01
"73","Arkansas",10.43,109.6,99.2,70.7,-0.08
"74","North Carolina St.",10.43,113,102.5,68.9,-0.036
"75","Memphis",10.09,106.4,96.3,74,-0.098
"76","Ohio St.",9.99,105.9,95.9,68.1,0.049
"77","Mississippi",9.88,110.7,100.8,69.8,0.022
"78","Mississippi St.",9.61,109,99.3,70.1,-0.119
"79","Oakland",9.6,115.2,105.6,74.3,-0.058
"80","South Dakota St.",9.59,110.3,100.7,68.7,0.005
