"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Duke","35-5","+32.53","117.0","84.5","67.4","+.009"
"2","Kansas","33-3","+31.23","116.8","85.6","70.1","+.038"
"3","Syracuse","30-5","+26.96","114.5","87.5","71.8","-.007"
"4","Kentucky","35-3","+25.93","110.9","85.0","71.5","+.060"
"5","Kansas St.","29-8","+24.90","111.9","87.0","73.0","-.007"
"6","West Virginia","31-7","+24.88","113.1","88.2","66.1","+.058"
"7","Ohio St.","29-8","+24.47","113.6","89.1","67.2","+.008"
"8","Baylor","28-8","+24.36","115.2","90.8","68.0","-.020"
"9","Wisconsin","24-9","+23.11","111.7","88.6","61.8","-.011"
"10","BYU","30-6","+22.67","113.3","90.6","73.9","+.012"
"11","Georgetown","23-11","+22.05","112.8","90.7","68.8","-.035"
"12","Butler","33-5","+21.93","107.2","85.3","66.1","+.033"
"13","Maryland","24-9","+21.78","113.7","91.9","72.1","-.022"
"14","California","24-11","+21.57","115.6","94.0","69.9","-.042"
"15","Purdue","29-6","+21.51","105.3","83.8","69.4","+.070"
"16","Texas A&M","24-10","+20.89","108.0","87.1","67.7","-.005"
"17","Villanova","25-8","+20.67","112.8","92.2","74.2","+.025"
"18","Xavier","26-9","+20.49","111.4","90.9","71.6","+.010"
"19","Texas","24-10","+20.42","110.1","89.7","74.7","-.015"
"20","Michigan St.","28-9","+19.69","108.7","89.0","68.2","+.028"
"21","Temple","29-6","+19.60","104.1","84.5","63.6","+.077"
"22","Utah St.","27-8","+19.59","112.3","92.7","63.3","-.026"
"23","Missouri","23-11","+19.54","107.7","88.1","71.7","-.035"
"24","Marquette","22-12","+19.27","111.4","92.1","65.5","-.064"
"25","Clemson","21-11","+18.91","106.9","88.0","71.1","-.041"
"26","Dayton","25-12","+18.56","104.5","85.9","69.0","-.097"
"27","Northern Iowa","30-5","+18.45","105.8","87.4","61.8","+.034"
"28","Pittsburgh","25-9","+18.26","107.5","89.3","64.7","+.042"
"29","Saint Mary's","28-6","+18.20","112.9","94.7","68.5","+.038"
"30","Tennessee","28-9","+18.13","105.6","87.5","70.4","+.082"
"31","Georgia Tech","23-13","+17.85","105.5","87.6","71.4","-.034"
"32","Washington","26-10","+17.75","107.8","90.1","74.4","+.028"
"33","Florida St.","22-10","+17.65","101.0","83.3","68.5","+.009"
"34","Minnesota","21-14","+17.62","108.0","90.4","68.3","-.056"
"35","Notre Dame","23-12","+17.30","115.0","97.7","65.2","-.067"
"36","Vanderbilt","24-9","+17.20","109.6","92.4","71.9","+.019"
"37","Old Dominion","27-9","+17.10","104.3","87.2","65.0","+.011"
"38","Louisville","20-13","+16.54","111.2","94.7","69.3","-.038"
"39","Oklahoma St.","22-11","+16.44","109.4","92.9","69.0","+.011"
"40","UTEP","26-7","+16.21","104.2","88.0","71.0","+.024"
"41","San Diego St.","25-9","+16.14","107.3","91.1","66.2","+.006"
"42","UNLV","25-9","+16.05","106.7","90.6","69.3","-.012"
"43","New Mexico","30-5","+15.80","109.8","94.0","70.1","+.096"
"44","Gonzaga","27-7","+15.78","108.3","92.5","70.6","+.079"
"45","Cornell","29-5","+15.63","113.4","97.7","66.7","+.067"
"46","Mississippi St.","24-12","+15.61","105.9","90.3","69.5","-.049"
"47","Virginia Tech","25-9","+15.47","104.6","89.1","70.6","+.034"
"48","Mississippi","24-11","+15.38","108.6","93.2","72.3","-.033"
"49","Memphis","24-10","+14.91","111.3","96.4","68.5","-.038"
"50","Florida","21-13","+14.89","108.5","93.6","67.9","-.061"
"51","Connecticut","18-16","+14.86","103.7","88.8","70.5","-.077"
"52","Richmond","26-9","+14.78","105.3","90.5","65.8","+.047"
"53","Arizona St.","22-11","+14.77","106.3","91.5","63.8","-.013"
"54","Murray St.","31-5","+14.58","104.9","90.4","68.8","-.011"
"55","Miami FL","20-13","+14.56","108.4","93.8","68.5","-.070"
"56","VCU","27-9","+14.16","109.9","95.7","70.2","-.016"
"57","Illinois","21-15","+14.06","105.3","91.2","69.3","-.029"
"58","Wake Forest","20-11","+13.90","104.0","90.1","71.5","+.068"
"59","Siena","27-7","+13.61","105.9","92.3","71.7","+.027"
"60","Rhode Island","26-10","+13.22","108.8","95.6","70.7","+.034"
"61","North Carolina","20-17","+13.15","104.0","90.9","73.5","-.013"
"62","UAB","25-9","+12.47","100.8","88.3","66.6","+.017"
"63","Alabama","17-15","+12.20","104.0","91.8","67.5","-.098"
"64","Wichita St.","25-10","+11.98","105.0","93.0","67.1","+.005"
"65","Wright St.","20-12","+11.82","105.0","93.2","64.8","-.046"
