"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Florida",27.56,113.8,86.2,69.8,-0.011
"2","Duke",26.98,115.7,88.7,73,0.048
"3","Texas",25.23,113.5,88.3,67,0.038
"4","Connecticut",24.82,113.4,88.6,72.6,0.078
"5","Villanova",23.98,111.7,87.7,69.1,0.081
"6","Memphis",23.01,109.1,86.1,74.6,-0.007
"7","UCLA",22.86,108.7,85.8,64.8,0.021
"8","Illinois",22.71,110.6,87.9,65.2,-0.019
"9","Kansas",22.69,106.5,83.8,71,-0.043
"10","North Carolina",21.65,111.8,90.2,73.2,-0.009
"11","LSU",21.52,106.1,84.5,70.5,0.008
"12","Pittsburgh",21.19,108.4,87.2,68.2,-0.031
"13","Georgetown",20.74,112.1,91.4,61,-0.026
"14","Ohio St.",20.25,109.2,89,68,0.028
"15","Washington",19.69,111.3,91.6,73.7,0.008
"16","West Virginia",19.1,112.7,93.6,65.1,-0.047
"17","Tennessee",18.99,113.7,94.7,73.4,0.012
"18","Boston College",18.19,113.8,95.6,65.3,0.024
"19","Arkansas",18.07,108.5,90.4,69.6,-0.061
"20","South Carolina",18.02,110.5,92.5,63,-0.056
"21","George Mason",17.85,106.5,88.7,65.5,0.017
"22","Iowa",17.83,100.3,82.5,67.6,0.047
"23","Arizona",16.85,108.2,91.3,71,-0.038
"24","Kentucky",16.68,110.7,94,67.3,0
"25","Bradley",16.12,104.3,88.2,71.6,-0.019
"26","Michigan",15.69,109.7,94,68.7,0.012
"27","Michigan St.",15.67,111.9,96.2,67.6,0.004
"28","Wichita St.",15.66,107.8,92.2,65.7,0.032
"29","Notre Dame",15.57,113.2,97.6,67.4,-0.144
"30","Northern Iowa",15.52,105.8,90.3,62.3,-0.025
"31","Texas A&M",15.52,102.6,87.1,66.6,-0.008
"32","North Carolina St.",15.51,108.8,93.3,67.6,0.013
"33","Gonzaga",15.32,114.9,99.6,70,0.036
"34","Indiana",15.22,106.4,91.2,69.7,-0.011
"35","Missouri St.",15.18,107.2,92,71.5,0.04
"36","Marquette",15.03,108.6,93.5,71,-0.011
"37","Nevada",14.8,106,91.2,68.9,0.025
"38","Wisconsin",14.68,108,93.3,68.2,-0.023
"39","Florida St.",14.67,106.8,92.2,71.1,-0.032
"40","Air Force",14.63,110.3,95.7,58.1,-0.001
"41","UNC Wilmington",14.43,103.3,88.9,66.1,-0.005
"42","Saint Joseph's",14.42,105.6,91.2,65.2,-0.064
"43","George Washington",14.37,107.2,92.8,73.5,0.105
"44","Cincinnati",14,107.1,93.1,71.6,-0.001
"45","Louisville",13.86,105.3,91.4,67.3,-0.042
"46","Oklahoma",13.73,109.1,95.4,65.3,0.05
"47","California",13.39,107,93.6,65,0.021
"48","Southern Illinois",13.22,99.2,86,63.9,0.033
"49","Vanderbilt",13.17,110.5,97.4,65.3,-0.029
"50","Syracuse",12.86,106,93.1,71.6,0.077
"51","Creighton",12.83,103.4,90.6,65.7,0.001
"52","San Diego St.",12.51,109.2,96.7,69.2,0
"53","Xavier",12.5,107.2,94.7,67.8,-0.066
"54","Oklahoma St.",12.45,103.8,91.4,68.2,-0.096
"55","Miami FL",12.43,107.2,94.7,64.5,-0.039
"56","Bucknell",12.38,102.3,89.9,64.6,0.093
"57","UAB",12.33,105.3,93,71.5,0.059
"58","Maryland",12.31,103.3,91,76.3,-0.021
"59","Clemson",12.21,102.3,90.1,71.8,-0.049
"60","Alabama",12.15,109.1,96.9,66.2,0.005
"61","Butler",11.67,110.8,99.2,61.7,-0.073
"62","Milwaukee",11.59,104.6,93,70.7,0.017
"63","Hofstra",11.46,107.7,96.2,68.9,0.097
"64","Iona",11.1,105.8,94.7,73.2,0.024
"65","Oregon",11.04,108.1,97.1,66.2,-0.143
"66","Temple",11.03,105.1,94.1,62.9,-0.05
"67","Old Dominion",11,103.2,92.2,68.1,0.056
"68","Utah St.",10.59,109.3,98.8,64.7,0.026
"69","Pacific",10.59,106,95.4,66.1,0.011
"70","Kent St.",10.27,104.5,94.2,68.8,0.019
"71","Rutgers",10.14,105,94.8,67.2,-0.003
"72","Colorado",10.09,106.1,96,72.3,0.049
"73","Houston",10,99.8,89.8,71.4,-0.014
"74","Virginia Tech",9.97,104.6,94.7,66.5,-0.148
"75","Winthrop",9.9,100.5,90.6,67.4,-0.027
"76","Iowa St.",9.77,107.4,97.6,73.1,-0.051
"77","Kansas St.",9.39,102.2,92.8,66.7,-0.097
"78","Stanford",9.32,101.9,92.6,67.2,0.006
"79","Wake Forest",9.26,107,97.8,69.5,-0.034
"80","Providence",9.2,108.4,99.2,71.9,-0.057
"81","Minnesota",9.14,100.7,91.6,67.7,-0.016
"82","Virginia",9.12,102,92.9,67.8,-0.013
"83","Akron",9.04,107.5,98.5,67.3,0.037
"84","South Alabama",9.04,105.4,96.4,68.8,0.057
"85","UTEP",8.99,100.3,91.3,65,-0.023
"86","Montana",8.83,108.3,99.5,69.5,0.056
"87","Seton Hall",8.81,102.4,93.6,68.9,0.086
"88","Murray St.",8.36,100.7,92.3,66.9,0.009
"89","UNLV",8.31,101.2,92.9,69.9,-0.03
"90","DePaul",8.19,106.8,98.6,64.5,0.004
"91","Western Kentucky",7.67,107.9,100.2,71.4,0.08
"92","BYU",7.66,106.2,98.6,73.6,0.074
"93","Northwestern St.",7.32,103,95.7,70.7,0.017
"94","Charlotte",7.31,103.7,96.4,69,-0.003
"95","La Salle",7.3,103.6,96.3,67.3,0.036
"96","Louisiana Tech",7.22,96.8,89.6,68.7,0.03
"97","Penn",7.1,98.1,91,67.3,-0.029
"98","Washington St.",6.91,93.3,86.4,63.9,-0.109
"99","Hawaii",6.9,102.9,96,66.4,-0.023
"100","Drexel",6.79,95.9,89.1,66.4,-0.112
"101","Miami OH",6.78,101,94.2,63.1,0.018
"102","USC",6.57,101.1,94.5,70.3,0.021
"103","VCU",6.53,103.4,96.9,65.4,0.005
"104","Georgia Tech",6.47,101.1,94.6,72,-0.097
"105","Massachusetts",6.29,97,90.8,68.8,-0.068
"106","Saint Mary's",6.25,101.8,95.5,67.6,-0.031
"107","Georgia",6.18,99.1,92.9,72.1,0.024
"108","Marist",5.89,108.9,103,68.7,-0.014
"109","Ohio",5.88,103.2,97.4,66.6,0.022
"110","Northeastern",5.84,103.8,97.9,71.8,0.039
"111","Nebraska",5.67,99.2,93.6,68.3,0.057
"112","Oral Roberts",5.56,103.4,97.9,70.1,-0.034
"113","Auburn",5.43,100.5,95,68.2,-0.019
"114","Mississippi St.",5.42,98.8,93.4,69.9,0.026
"115","St. John's",5.22,93.7,88.5,66,-0.04
"116","New Mexico",5.12,101.4,96.3,63.8,-0.003
"117","Toledo",5.11,98.4,93.3,70,-0.023
"118","Penn St.",5.1,105.5,100.4,66.6,0.015
"119","San Diego",5.03,103.1,98.1,73,-0.034
"120","Northern Illinois",5.02,109.2,104.1,65.3,0.011
"121","Texas Tech",4.86,101.9,97,69,-0.012
"122","Davidson",4.79,106.6,101.8,69,-0.024
"123","Northwestern",4.76,99,94.3,61,0.003
"124","Texas A&M Corpus Chris",4.64,100.4,95.7,73,-0.054
"125","Saint Louis",4.47,95.2,90.7,64.3,0.029
"126","New Mexico St.",4.09,101.8,97.7,69.6,0.044
"127","Fordham",4.01,103.7,99.7,66,-0.014
"128","Colorado St.",3.95,103.9,99.9,71.3,-0.041
"129","Holy Cross",3.95,96.7,92.8,68.4,0.002
"130","UC Irvine",3.3,106.5,103.2,65.1,-0.025
"131","Dayton",3.14,99.2,96,65.1,-0.092
"132","Siena",3.03,100.8,97.8,70.8,-0.008
"133","Samford",3,106.8,103.8,58.9,0.044
"134","Manhattan",2.93,103.8,100.8,71.6,0.105
"135","Loyola Marymount",2.87,96.8,94,74,-0.044
"136","Drake",2.74,103.3,100.6,67.4,-0.063
"137","Fresno St.",2.73,102,99.3,72.5,0.038
"138","Albany",2.56,102.2,99.7,66.8,0.028
"139","Buffalo",2.47,102.2,99.7,70.3,0.03
"140","Utah",2.38,100.9,98.5,64,-0.026
"141","Arizona St.",2.23,101.3,99,67.9,-0.028
"142","Wyoming",1.81,94.5,92.7,71,-0.031
"143","Boise St.",1.8,98.4,96.6,72.7,-0.049
"144","Loyola Chicago",1.56,103.5,101.9,69,0.079
"145","Long Beach St.",1.51,104.1,102.6,76.8,0.028
"146","Saint Peter's",0.95,102.1,101.2,70.7,0.04
"147","Mississippi",0.9,98.1,97.2,67.4,0.029
"148","Eastern Washington",0.82,103.1,102.3,69.7,-0.006
"149","Oregon St.",0.61,99.9,99.3,68.4,0.031
"150","Rhode Island",0.54,99.7,99.2,65.5,0.043
"151","San Francisco",0.27,100.1,99.8,67.9,-0.018
"152","Missouri",0.25,100.2,99.9,68,0.034
"153","Louisiana Lafayette",0.25,94.9,94.6,69.5,0.02
"154","Purdue",0.17,97.9,97.7,69.2,-0.009
"155","Baylor",0.15,99.8,99.6,68,-0.046
"156","Northern Arizona",0,100.5,100.5,71.7,0.08
"157","Sacramento St.",-0.01,102.5,102.5,71.4,-0.031
"158","Central Connecticut",-0.06,106,106.1,65.5,-0.025
"159","Middle Tennessee",-0.12,101.6,101.7,67.7,0.064
"160","Santa Clara",-0.41,97.7,98.2,67.7,0.014
"161","Georgia Southern",-0.44,97.3,97.7,75.6,0.077
"162","Portland St.",-0.56,98.1,98.7,69.3,-0.094
"163","North Dakota St.",-0.62,99.6,100.2,67.8,-0.066
