"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","Duke","31-4","+34.14","118.9","84.7","75.9","-.027"
"2","Cincinnati","31-4","+30.15","116.0","85.9","68.6","+.002"
"3","Maryland","32-4","+29.24","117.2","88.0","74.7","+.025"
"4","Kansas","31-4","+28.95","116.7","87.8","78.4","+.023"
"5","Oklahoma","31-5","+26.02","113.0","87.0","68.2","+.044"
"6","Indiana","25-12","+24.80","112.0","87.2","66.8","-.049"
"7","Florida","22-9","+24.75","113.0","88.3","70.9","-.072"
"8","Illinois","26-9","+23.19","113.6","90.4","70.4","+.016"
"9","Oregon","25-9","+22.93","117.2","94.3","73.2","-.041"
"10","Kentucky","21-10","+22.21","111.4","89.2","69.8","-.028"
"11","Marquette","26-7","+21.42","111.3","89.8","66.4","+.007"
"12","USC","22-10","+20.66","110.7","90.0","71.8","-.051"
"13","Arizona","24-10","+20.52","117.2","96.7","73.0","+.080"
"14","Kent St.","29-6","+20.42","114.8","94.3","66.0","+.008"
"15","Stanford","20-10","+20.30","114.6","94.3","71.4","-.020"
"16","Pittsburgh","29-6","+19.94","110.1","90.2","65.5","+.001"
"17","Ohio St.","24-8","+19.77","114.4","94.6","67.6","+.005"
"18","Connecticut","27-7","+19.33","110.3","91.0","70.8","+.063"
"19","Notre Dame","21-11","+19.24","114.0","94.8","70.2","-.086"
"20","South Carolina","21-15","+19.16","105.1","85.9","67.0","-.073"
"21","North Carolina St.","23-11","+19.13","111.1","92.0","69.1","+.012"
"22","Alabama","27-8","+18.73","111.9","93.2","69.1","+.076"
"23","Xavier","26-6","+18.59","109.1","90.5","67.7","+.052"
"24","Gonzaga","28-4","+18.49","113.4","94.9","70.6","+.049"
"25","Georgia","22-9","+18.47","114.6","96.1","70.4","-.020"
"26","Mississippi St.","27-8","+18.25","109.3","91.0","69.2","+.107"
"27","Butler","26-6","+17.69","109.8","92.2","63.4","-.051"
"28","Texas","22-12","+17.64","113.9","96.3","70.0","-.021"
"29","Missouri","24-12","+17.43","114.2","96.7","71.4","-.010"
"30","Wake Forest","21-13","+17.36","116.5","99.1","71.9","+.007"
"31","Texas Tech","23-9","+17.17","112.4","95.3","71.8","+.062"
"32","Michigan St.","19-12","+16.85","110.8","94.0","65.2","-.026"
"33","Memphis","26-9","+16.68","110.5","93.9","71.8","-.008"
"34","Mississippi","19-11","+16.67","111.2","94.5","66.4","-.040"
"35","UCLA","21-12","+16.30","111.6","95.3","69.7","+.049"
"36","Georgetown","18-11","+16.10","108.5","92.4","73.0","-.093"
"37","California","23-9","+16.01","107.7","91.7","68.3","+.089"
"38","Miami FL","24-8","+15.77","108.3","92.5","70.6","+.017"
"39","Oklahoma St.","23-9","+15.74","105.7","90.0","67.9","+.048"
"40","Charlotte","18-12","+15.72","112.1","96.4","68.4","-.007"
"41","Tulsa","26-7","+15.59","114.0","98.4","71.0","+.001"
"42","Dayton","21-11","+15.57","110.9","95.3","67.4","-.042"
"43","Minnesota","18-13","+14.55","111.5","96.9","69.7","-.044"
"44","Western Kentucky","26-4","+14.50","108.3","93.8","69.0","+.060"
"45","Utah","19-9","+14.11","109.4","95.2","63.6","+.011"
"46","Iowa","19-16","+13.67","108.3","94.6","69.8","-.059"
"47","Valparaiso","24-8","+13.66","109.2","95.6","70.4","-.031"
"48","Temple","19-15","+13.59","112.1","98.5","64.3","-.037"
"49","Southern Illinois","28-8","+13.46","107.1","93.6","71.5","+.035"
"50","Wisconsin","19-13","+13.25","108.6","95.3","64.8","+.049"
"51","Hawaii","26-6","+13.12","108.1","95.0","67.6","+.007"
"52","Villanova","19-13","+13.08","104.6","91.5","68.6","-.055"
"53","Virginia","17-12","+12.94","110.1","97.1","71.7","-.016"
"54","Tennessee","14-16","+12.67","108.7","96.1","68.4","-.044"
"55","Ball St.","23-12","+12.66","111.3","98.6","70.4","+.012"
"56","Arkansas","14-15","+12.59","106.6","94.0","73.1","-.062"
"57","Syracuse","23-13","+12.58","104.0","91.4","70.5","-.004"
"58","Penn","25-7","+12.18","108.1","95.9","66.8","-.018"
"59","Creighton","23-9","+11.82","109.3","97.5","68.5","+.029"
"60","Bowling Green","23-9","+11.78","109.2","97.4","67.4","+.022"
"61","Louisville","19-13","+11.74","106.1","94.4","73.6","+.009"
"62","Pepperdine","21-9","+11.70","108.9","97.2","74.0","+.062"
"63","BYU","17-12","+11.57","107.2","95.6","66.6","-.044"
"64","Louisiana Tech","20-10","+11.40","108.0","96.6","68.0","+.002"
"65","UNC Wilmington","23-10","+11.37","105.4","94.0","65.3","-.002"
"66","LSU","18-15","+11.12","103.4","92.3","66.7","-.047"
"67","Wyoming","21-9","+11.02","105.7","94.6","69.5","+.032"
"68","Saint Joseph's","19-12","+10.78","112.3","101.5","69.1","-.008"
"69","Arizona St.","14-15","+10.56","106.4","95.9","73.1","-.090"
"70","Georgia Tech","15-16","+10.46","108.8","98.3","72.2","-.022"
"71","Boston College","20-12","+9.95","107.2","97.3","70.3","+.040"
"72","Tennessee Tech","24-7","+9.44","107.9","98.4","69.0","+.003"
"73","South Florida","19-13","+9.42","105.8","96.3","73.8","+.019"
"74","San Diego St.","20-12","+9.32","104.8","95.5","71.4","+.055"
"75","Utah St.","22-8","+9.21","104.2","95.0","64.0","-.024"
"76","St. John's","20-12","+9.03","100.6","91.6","70.9","+.089"
"77","UC Santa Barbara","19-11","+8.90","106.1","97.2","64.8","-.058"
"78","St. Bonaventure","17-13","+8.63","113.9","105.3","72.4","-.029"
"79","College of Charleston","20-8","+8.39","102.9","94.5","64.2","-.041"
"80","Richmond","22-14","+8.28","102.1","93.8","62.9","+.069"
"81","UNLV","21-11","+8.27","107.7","99.5","73.4","+.069"
"82","Fresno St.","19-15","+7.85","102.2","94.3","73.1","-.025"
"83","Purdue","13-18","+7.57","107.5","100.0","69.3","-.060"
"84","Seton Hall","11-18","+7.15","102.8","95.7","70.8","-.100"
"85","Vanderbilt","17-15","+7.15","105.5","98.3","70.2","+.060"
"86","Saint Louis","15-16","+6.89","95.9","89.1","66.8","-.022"
"87","Colorado","14-14","+6.69","109.2","102.5","73.6","-.027"
"88","Auburn","12-16","+6.64","96.5","89.8","71.1","-.049"
"89","East Tennessee St.","15-10","+6.59","104.0","97.4","75.3","-.022"
"90","Northwestern","16-13","+6.58","97.8","91.3","63.5","+.036"
"91","UC Irvine","20-11","+6.46","105.8","99.4","66.3","+.015"
"92","New Mexico","16-14","+6.38","108.1","101.7","67.8","-.022"
"93","Milwaukee","13-13","+6.33","102.6","96.3","72.5","-.087"
"94","Providence","15-16","+6.16","100.6","94.4","72.8","-.050"
"95","UAB","13-17","+6.16","100.3","94.2","69.5","-.142"
"96","New Mexico St.","18-11","+5.88","107.1","101.2","70.4","-.029"
"97","Pacific","18-10","+5.77","107.5","101.7","66.4","+.003"
"98","Arkansas Little Rock","16-11","+5.76","104.7","98.9","70.2","-.062"
"99","Washington","10-18","+5.41","103.0","97.6","72.8","+.010"
"100","McNeese St.","20-9","+5.38","101.1","95.7","68.3","+.023"
"101","San Diego","14-13","+5.19","105.6","100.4","70.5","-.070"
"102","Detroit","18-13","+5.03","101.9","96.9","65.1","+.052"
"103","Houston","17-15","+4.97","106.7","101.7","67.9","+.064"
"104","Nebraska","13-15","+4.94","103.6","98.7","68.5","-.019"
"105","Rutgers","18-13","+4.86","95.7","90.9","71.5","+.039"
"106","Baylor","12-16","+4.67","106.1","101.4","70.0","-.090"
"107","Louisiana Lafayette","19-11","+4.64","97.6","92.9","71.3","+.054"
"108","SMU","15-14","+4.44","105.5","101.0","69.8","-.025"
"109","Oral Roberts","17-13","+4.37","103.2","98.8","71.1","-.076"
"110","UNC Greensboro","20-11","+4.25","101.0","96.8","70.6","+.054"
"111","TCU","14-15","+4.20","107.8","103.6","78.3","-.029"
"112","Manhattan","20-9","+4.18","102.5","98.4","70.9","-.017"
"113","Ohio","17-11","+4.15","106.2","102.1","69.4","+.034"
"114","Southwest Missouri St.","17-15","+4.13","105.0","100.9","66.5","-.063"
"115","Iowa St.","12-19","+4.09","105.8","101.8","67.1","-.115"
"116","Hampton","25-7","+3.99","107.8","103.8","70.4","+.014"
"117","Marist","19-9","+3.98","104.5","100.6","70.1","-.058"
"118","Illinois Chicago","18-14","+3.88","106.9","103.0","69.2","+.040"
"119","Davidson","18-10","+3.66","99.4","95.7","67.5","+.143"
"120","Kansas St.","13-16","+3.59","101.8","98.2","67.6","-.005"
"121","Florida St.","12-17","+3.54","103.6","100.1","70.2","-.054"
"122","VCU","21-11","+3.53","100.7","97.1","72.3","+.010"
"123","Nevada","16-13","+3.42","101.8","98.4","73.0","+.034"
"124","Oregon St.","10-17","+3.35","101.2","97.8","63.9","-.051"
"125","Colorado St.","11-18","+3.33","101.7","98.3","67.7","-.110"
"126","Loyola Chicago","17-13","+3.20","101.4","98.2","70.7","+.010"
"127","Massachusetts","13-16","+3.17","99.8","96.7","65.9","+.002"
"128","Michigan","11-18","+3.16","103.3","100.2","67.3","-.038"
"129","Tulane","13-15","+3.08","102.7","99.6","70.8","+.041"
"130","Western Michigan","17-13","+2.99","105.4","102.4","68.8","+.030"
"131","Montana St.","18-10","+2.97","105.3","102.4","65.6","+.054"
"132","Clemson","13-17","+2.95","105.1","102.1","71.5","-.038"
"133","George Mason","19-10","+2.66","102.6","100.0","69.1","+.079"
"134","Wright St.","17-11","+2.65","108.8","106.2","66.8","+.034"
"135","Georgia St.","19-11","+2.62","105.7","103.1","70.9","+.010"
"136","Georgia Southern","14-12","+2.57","104.9","102.3","75.5","-.051"
"137","North Carolina","8-20","+2.53","103.6","101.1","71.6","-.066"
"138","Chattanooga","14-14","+2.37","101.5","99.1","71.0","-.011"
"139","Miami OH","13-18","+2.18","103.3","101.1","62.5","-.004"
"140","Illinois St.","17-14","+2.17","100.9","98.7","67.4","+.072"
"141","Arkansas St.","13-16","+2.11","103.1","100.9","65.7","-.134"
"142","Virginia Tech","10-18","+2.09","102.0","100.0","69.5","-.099"
"143","Oakland","16-13","+1.91","105.4","103.5","71.2","+.034"
"144","Weber St.","16-11","+1.78","103.9","102.1","69.6","-.011"
"145","Princeton","15-12","+1.47","101.5","100.0","59.9","+.023"
"146","La Salle","15-17","+1.37","101.8","100.4","67.1","+.034"
"147","Murray St.","17-13","+1.37","104.7","103.4","71.0","+.018"
"148","Yale","21-10","+1.11","100.8","99.7","73.6","+.040"
"149","UCF","16-12","+1.02","102.3","101.3","71.1","-.080"
"150","Central Connecticut","27-5","+0.90","98.5","97.6","66.2","+.138"
"151","The Citadel","13-12","+0.68","103.2","102.5","68.7","-.027"
"152","Wichita St.","15-15","+0.58","105.6","105.0","68.3","-.006"
"153","Toledo","16-14","+0.40","97.1","96.7","68.1","+.068"
"154","Rider","17-11","+0.34","98.0","97.7","70.1","-.033"
"155","Delaware","14-16","+0.34","100.6","100.2","67.8","-.027"
"156","San Francisco","12-15","+0.22","100.8","100.5","70.0","-.027"
"157","Troy St.","18-10","+0.15","102.1","102.0","70.4","+.044"
"158","Cal Poly","14-12","+0.00","100.4","100.4","69.2","+.006"
"159","Eastern Washington","15-13","-0.01","98.1","98.1","70.4","+.053"
"160","UTSA","19-10","-0.20","100.9","101.1","73.8","+.001"
"161","North Texas","13-14","-0.22","105.9","106.1","73.2","+.012"
"162","Holy Cross","18-15","-0.30","96.0","96.3","64.3","-.048"
"163","UMKC","17-11","-0.33","99.1","99.4","62.4","+.040"
"164","Old Dominion","13-16","-0.42","100.3","100.7","66.8","-.072"
"165","Southern Miss","9-17","-0.45","95.5","96.0","66.2","-.052"
"166","Marshall","13-15","-0.53","107.8","108.4","71.1","+.036"
"167","Texas Pan American","16-10","-0.58","98.9","99.5","73.4","+.051"
"168","Morehead St.","15-11","-0.93","103.4","104.4","70.0","+.072"
"169","IUPUI","13-15","-0.96","100.3","101.3","71.0","-.014"
"170","DePaul","9-19","-0.96","98.2","99.1","73.5","-.043"
"171","Furman","13-14","-1.00","98.1","99.1","67.3","+.021"
"172","New Orleans","14-14","-1.18","96.2","97.3","69.5","+.042"
"173","Siena","17-19","-1.20","98.6","99.8","68.9","-.070"
"174","James Madison","14-15","-1.20","104.4","105.6","67.8","-.035"
"175","Drake","14-15","-1.41","104.9","106.3","66.2","+.030"
"176","Long Beach St.","12-17","-1.43","100.8","102.3","71.4","-.022"
"177","Drexel","14-14","-1.45","102.2","103.7","72.1","+.015"
"178","Samford","15-14","-1.47","100.3","101.8","59.0","+.011"
"179","Northern Iowa","14-15","-1.53","106.0","107.6","68.0","+.055"
"180","Air Force","9-19","-1.58","101.6","103.2","56.5","-.015"
"181","Cal St. Northridge","11-16","-1.63","96.7","98.3","71.4","-.011"
"182","Niagara","18-14","-1.66","104.4","106.1","71.1","+.024"
