"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"1","North Carolina","33-4","+32.17","118.7","86.5","76.1","+.011"
"2","Illinois","37-2","+31.99","118.6","86.6","66.4","-.007"
"3","Duke","27-6","+26.79","111.8","85.0","71.1","-.002"
"4","Louisville","33-5","+25.23","114.9","89.7","69.3","+.046"
"5","Michigan St.","26-7","+25.22","116.1","90.8","69.0","-.012"
"6","Oklahoma St.","26-7","+24.47","117.4","92.9","68.8","-.015"
"7","Wake Forest","27-6","+24.35","120.2","95.9","71.7","+.046"
"8","Villanova","24-8","+24.28","110.2","85.9","69.7","-.054"
"9","Kentucky","28-6","+23.65","109.6","85.9","68.6","+.031"
"10","Florida","24-8","+23.31","111.9","88.6","68.3","-.027"
"11","Kansas","23-7","+22.61","111.9","89.3","68.9","+.009"
"12","Oklahoma","25-8","+22.01","110.6","88.5","68.4","-.005"
"13","Arizona","30-7","+21.79","112.6","90.8","71.3","+.027"
"14","Washington","29-6","+21.78","116.9","95.1","74.2","+.061"
"15","Connecticut","23-8","+21.39","107.5","86.2","73.2","-.031"
"16","Syracuse","27-7","+20.44","110.9","90.5","69.1","+.003"
"17","Wisconsin","25-9","+20.41","108.2","87.8","65.2","+.043"
"18","Alabama","24-8","+20.07","114.5","94.4","66.0","+.033"
"19","Cincinnati","25-8","+19.90","108.0","88.1","71.0","-.005"
"20","Utah","29-6","+19.87","109.2","89.3","61.9","+.033"
"21","Utah St.","24-8","+19.27","112.0","92.8","63.7","-.094"
"22","Georgia Tech","20-12","+18.87","104.9","86.1","71.8","-.037"
"23","North Carolina St.","21-14","+18.48","110.9","92.4","66.8","-.061"
"24","Pittsburgh","20-9","+17.98","110.6","92.6","67.0","-.057"
"25","Boston College","25-5","+17.83","109.9","92.1","68.1","+.080"
"26","Gonzaga","26-5","+17.54","115.7","98.1","69.4","+.013"
"27","Iowa","21-12","+16.84","107.9","91.0","70.4","-.034"
"28","Texas","20-11","+16.47","109.0","92.6","70.1","-.051"
